,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Drought in the Amazonas,Drought,BRA004,Brazil,BRA,5,0.18655538193904386,0.8,2.9,2,0.018209793828723512,0,1,2.1,2.1,0.1522456229383405,0.7,1.4,x,x,x,x,x,x,x,x,x,1.4
Floods in Rio Grande do Sul,Floods,BRA005,Brazil,BRA,4.1,0.033704508419337316,0.1,2.0999999999999996,3.5,0.050286015284952544,0.2,1.85,2,3.1,0.22034365524212074,1.1,2.1,3.8,0.17639699749791493,5,4.4,3.2,7.631359466221851e-05,3.8,3.5,4,3.2
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,4.7,1,5,4.85,2.6,1,5,3.8,4.4,3.7,0.8390163934426229,4.2,3.95,4.4,0.21824931613911686,5,4.7,3.8,8.8315748339195e-05,4.4,4.1,4.4,4.2
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,4.8,1,5,4.9,4.3,1,5,4.65,4.8,4.4,0.6689251146204789,3.3,3.85,3.9,0.03792551976239433,1.3,2.6,0.4,1.5231132434696519e-07,0,0.2,1.6,2.9
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,4.5,1.0057752110173257,5,4.75,4.5,0.8084965034965035,4,4.25,4.5,3.4,0.14617480430739957,0.7,2.05,4.8,0.6402366863905326,5,4.9,4.3,0.0003144970414201183,5,4.7,4.8,3.8
Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,2.6,0.07301093693808043,0.3,1.45,2.4,0.18108391608391608,0.9,1.65,1.6,2.6,0.22880865031859432,1.1,1.85,4.1,0.6624472573839663,5,4.6,3.8,0.000410126582278481,5,4.4,4.5,3.5
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,3.2,0.18620084195384062,0.8,2,3.7,0.44272727272727275,2.2,2.95,2.5,2.9,0.1437371663244353,0.7,1.7999999999999998,4.3,0.5934065934065934,5,4.7,3.9,0.00030934065934065934,5,4.5,4.6,3.5
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,3.9,0.48934441835374753,2.4,3.15,2.4,0.18468531468531468,0.9,1.65,2.5,1.8,0.07118515713744794,0.3,1.05,3.5,0.7925531914893617,5,4.3,1.5,3.1914893617021275e-05,1.6,1.6,3.2,2.3
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,5,1.0343221366974702,5,5,5,1,5,5,5,4.8,0.22359154929577466,1.1,2.95,5,0.40665354330708664,5,5,4.8,8.625984251968504e-05,4.3,4.6,4.8,4.1
Complex crisis in Congo,Conflict,COG001,Congo,COG,4.2,1.0014641288433381,5,4.6,2.6,1,5,3.8,4.2,2,0.08793969849246232,0.4,1.2,3.4,0.44,5,4.2,0,1.9047619047619047e-06,0.1,0.1,2.7,2
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,5,1,5,5,5,1,5,5,5,4.7,0.3828462998102467,1.9,3.3,5,0.34308088818398097,5,5,4.1,3.979976209357653e-05,2,3.1,4.3,3.9
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,2.6,0.031101397025687247,0.1,1.35,5,0.5883301707779887,2.9,3.95,2.9,4.5,0.4830188679245283,2.4,3.45,5,0.25707799145299143,5,5,0.9,2.670940170940171e-07,0,0.5,3.6,3.5
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,0,0.01964355660007834,0,0,1.3,0.4702609363008442,2.3,1.7999999999999998,1,1.5,0.09587923296613628,0.4,0.95,3.4,1,5,4.2,2.9,0.000425531914893617,5,4,4.1,2.9
Displacement from Russia-Ukraine conflict in Czechia,"Conflict,Displacement",CZE002,Czech Republic,CZE,3.1,1.0000025911166157,5,4.05,3.5,1,5,4.25,4.2,1.8,0.03359594313139545,0.1,0.9500000000000001,3.7,1,5,4.4,0,0,0,0,2.8,2
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.3,0.6700507614213198,3.3,2.8,2.2,0.04040404040404041,1.3,1.8,2.3,5.429292929292929e-05,2.7,2.5,2.2,2.5
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,1.4,0.31492666091458155,1.5,1.45,0,0.571912013536379,2.8,1.4,1.4,0,0.047337278106508875,0.2,0.1,2.2,1,5,3.6,2.3,0.00134375,5,3.7,3.7,2.3
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.3,0.6429780033840947,3.2,2.75,0,0,0,0,0,0,0,0,0,1.6
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,2.8,1.0163893038227683,5,3.9,3.5,1,5,4.25,4.1,1,0.011042835515183898,0,0.5,3,1,5,4,x,x,x,x,4,2.7
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.5,0.005559697518372563,0,0.75,3.5,1,5,4.3,4.2,0.0035019157088122606,5,4.6,4.5,3.1
