,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,2.215,0,0.235,0,0,2.3,0.9037127702978376,0,0.09587923296613628,0,0,3,2.65
Displacement from Russia-Ukraine conflict in Czechia,"Conflict,Displacement",CZE002,Czech Republic,CZE,10.672,0,0.371,0,0,2.6,0.9664040568686045,0,0.03359594313139545,0,0,1,1.8
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,0.39,0.475,0.264,0.053,0,2.5,0.3299492385786802,0.40186125211505924,0.2233502538071066,0.04483925549915398,0,3,2.75
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,0.644,0,0.032,x,x,0.8,0.9526627218934911,0,0.047337278106508875,x,x,1,0.9
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,0.422,0.475,0.232,0.053,0,2.4,0.3570219966159052,0.40186125211505924,0.19627749576988154,0.04483925549915398,0,3,2.7
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,11.105,0.007,0.117,0,0,1.8,0.9889571644848161,0.0006233858758571555,0.010419449639326743,0,0,1,1.4
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,46.684,0,0.261,x,x,2.4,0.9944403024816274,0,0.005559697518372563,x,x,1,1.7
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,0.049,0,0.174,x,x,2.1,0.21973094170403587,0,0.7802690582959642,x,x,3,2.55
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,46.51,0,0.435,x,x,2.7,0.990733837469379,0,0.00926616253062094,x,x,1,1.85
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,10.599,6.862,0.73,x,x,3.1,0.5826827927432655,0.37724024189114896,0.040131940626717974,x,x,2,2.55
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,116.171,0,0.761,x,x,3.1,0.99349194403585,0,0.006508055964150104,x,x,1,2.05
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,2.649,0,1.1,x,x,3.4,0.7065884235796213,0,0.2934115764203788,x,x,3,3.2
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,47.808,0,0.098,x,x,1.7,0.9979543272241473,0,0.0020456727758527116,x,x,1,1.35
