Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Drivers,First country,Website name,Crisis description,Connected crises,Starting date,Duration (days),Geoscope,ADM1,ADM1 name
CRI002,,,Costa Rica,Nicaraguan refugees in Costa Rica,CRI,Americas,Displacement,Costa Rica,Nicaraguan refugees,https://www.acaps.org/country/Costa Rica/crisis/Nicaraguan-refugees,NIC001,01/04/2019,1339,National,,
DJI001,,,Djibouti,Multiple crises in Djibouti,DJI,Africa,"Displacement,Drought",Djibouti,Country level,https://www.acaps.org/country/Djibouti/crisis/Country-level,,Before 2019,More than 2 years,National,,
DJI002,,,Djibouti,Mixed migration in Djibouti,DJI,Africa,Displacement,Djibouti,Mixed Migration,https://www.acaps.org/country/Djibouti/crisis/Mixed-Migration,,Before 2019,More than 2 years,National,,
DJI003,,,Djibouti,Drought in Djibouti,DJI,Africa,Drought,Djibouti,Drought,https://www.acaps.org/country/Djibouti/crisis/Drought,,Before 2019,More than 2 years,National,,
DOM002,,,Dominican Republic,Venezuela displacement in Dominican Republic,DOM,Americas,Displacement,Dominican Republic,Venezuelan refugees ,https://www.acaps.org/country/Dominican Republic/crisis/Venezuelan-refugees,VEN001,11/02/2022,292,National,,
DZA002,,,Algeria,Mixed migration flows in Algeria,DZA,Africa,Displacement,Algeria,Mixed Migration,https://www.acaps.org/country/Algeria/crisis/Mixed-Migration,,Before 2019,More than 2 years,National,,
DZA003,,,Algeria,Sahrawi refugees in Algeria,DZA,Africa,Displacement,Algeria,Sahrawi refugees,https://www.acaps.org/country/Algeria/crisis/Sahrawi-refugees,,Before 2019,More than 2 years,Subnational,DZA.44_1,Tindouf
DZA004,,,Algeria,Multiple crises in Algeria,DZA,Africa,Displacement,Algeria,Country level,https://www.acaps.org/country/Algeria/crisis/Country-level,,23/06/2020,890,National,,
ECU002,,,Ecuador,Venezuela displacement in Ecuador,ECU,Americas,Displacement,Ecuador,Venezuelan refugees ,https://www.acaps.org/country/Ecuador/crisis/Venezuelan-refugees,VEN001,Before 2019,More than 2 years,National,,
EGY002,,,Egypt,Syrian Refugee Crisis in Egypt,EGY,Africa,Displacement,Egypt,Refugee crisis,https://www.acaps.org/country/Egypt/crisis/Refugee-crisis,,Before 2019,More than 2 years,National,"EGY.8_1,EGY.12_1,EGY.6_1","Al Jizah,Al Qalyubiyah,Al Iskandariyah"
ERI001,,,Eritrea,Complex crisis in Eritrea,ERI,Africa,"Socio-political,Displacement",Eritrea,Complex crisis,https://www.acaps.org/country/Eritrea/crisis/Complex-crisis,"ETH004,ETH003",Before 2019,More than 2 years,National,,
ESP002,,,Spain,Mixed migration flows in spain,ESP,Europe,Displacement,Spain,Mixed Migration,https://www.acaps.org/country/Spain/crisis/Mixed-Migration,,Before 2019,More than 2 years,National,"ESP.13_1,ESP.14_1,ESP.1_1,ESP.7_1","Islas Baleares,Islas Canarias,Andalucía,Ceuta y Melilla"
ETH001,,,Ethiopia,Complex crisis in Ethiopia,ETH,Africa,"Displacement,Floods,Conflict",Ethiopia,Complex crisis,https://www.acaps.org/country/Ethiopia/crisis/Complex-crisis,ERI001,Before 2019,More than 2 years,National,,
ETH003,,,Ethiopia,International Displacement,ETH,Africa,Displacement,Ethiopia,International Displacement,https://www.acaps.org/country/Ethiopia/crisis/International-Displacement,,01/06/2020,912,National,,
ETH004,,,Ethiopia,Northern Ethiopia Conflict,ETH,Africa,"Conflict,Displacement",Ethiopia,Northern Ethiopia Conflict,https://www.acaps.org/country/Ethiopia/crisis/Northern-Ethiopia-Conflict,ERI001,04/12/2020,726,Subnational,"ETH.2_1,ETH.3_1,ETH.11_1","Afar,Amhara,Tigray"
ETH005,,,Ethiopia,Drought in Ethiopia,ETH,Africa,Drought,Ethiopia,Drought,https://www.acaps.org/country/Ethiopia/crisis/Drought,ETH001,08/02/2022,295,Subnational,"ETH.8_1,ETH.9_1,ETH.10_1","Oromia,Somali,Southern Nations, Nationalities and Peoples"
GMB002,,,Gambia,Flood crisis in Gambia ,GMB,Africa,Floods,Gambia,Floods in Gambia ,https://www.acaps.org/country/Gambia/crisis/Floods-in-Gambia,,29/08/2022,93,National,,
GRC002,,,Greece,Mixed migration flows in Greece,GRC,Europe,Displacement,Greece,Mixed Migration,https://www.acaps.org/country/Greece/crisis/Mixed-Migration,,Before 2019,More than 2 years,Subnational,GRC.1_1,Aegean
GTM001,,,Guatemala,Complex crisis in Guatemala,GTM,Americas,"Violence,Socio-political,Other seasonal event",Guatemala,Complex crisis,https://www.acaps.org/country/Guatemala/crisis/Complex-crisis,,Before 2019,More than 2 years,National,,
HND001,,,Honduras,Complex crisis in Honduras,HND,Americas,"Violence,Socio-political,Other seasonal event,Cyclone",Honduras,Complex crisis,https://www.acaps.org/country/Honduras/crisis/Complex-crisis,,Before 2019,More than 2 years,National,,
HTI001,,,Haiti,Complex crisis in Haiti,HTI,Americas,"Earthquake,Violence,Socio-political,Other seasonal event",Haiti,Complex crisis,https://www.acaps.org/country/Haiti/crisis/Complex-crisis,,Before 2019,More than 2 years,National,,
HTI002,,,Haiti,Nippes Earthquake ,HTI,Americas,Earthquake,Haiti,Earthquake,https://www.acaps.org/country/Haiti/crisis/Earthquake,,16/08/2021,471,Subnational,"HTI.10_1,HTI.2_1,HTI.4_1","Sud,Grand'Anse,Nippes"
HUN002,,,Hungary,Displacement from Ukraine conflict in Hungary,HUN,Europe,"Conflict,Displacement",Hungary,Displacement from Ukraine conflict,https://www.acaps.org/country/Hungary/crisis/Displacement-from-Ukraine-conflict,"UKR002,POL002,MDA002,ROU002,SVK002",28/02/2022,275,Subnational,HUN.16_1,Szabolcs-Szatmár-Bereg
IDN002,,,Indonesia,Papua Conflict,IDN,Asia,"Socio-political,Violence",Indonesia,Papua Conflict,https://www.acaps.org/country/Indonesia/crisis/Papua-Conflict,,01/07/2019,1248,Subnational,IDN.23_1,Papua
