Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Type of crisis,First country,Website name,Crisis description,Related crisis,Starting date,Duration (days)
IRQ003,,,Iraq,Syrian and Palestinian refugees in iraq,IRQ,Middle east,International displacement,Iraq,Syrian Refugees,https://www.acaps.org/country/Iraq/crisis/Syrian-Refugees,,Before 2019,More than 2 years
ITA002,,,Italy,Mixed migration flows in Italy,ITA,Europe,International displacement,Italy,Mixed Migration,https://www.acaps.org/country/Italy/crisis/Mixed-Migration,,Before 2019,More than 2 years
JOR002,,,Jordan,Syrian refugees in Jordan,JOR,Middle east,International displacement,Jordan,Syrian refugees,https://www.acaps.org/country/Jordan/crisis/Syrian-refugees,,Before 2019,More than 2 years
KEN001,,,Kenya,Multiple crisis in Kenya ,KEN,Africa,Multiple crises country,Kenya,Country level ,https://www.acaps.org/country/Kenya/crisis/Country-level,,01/06/2019,975
KEN002,,,Kenya,Refugee situation in Kenya,KEN,Africa,International displacement,Kenya,Refugee situation,https://www.acaps.org/country/Kenya/crisis/Refugee-situation,,Before 2019,More than 2 years
KEN003,,,Kenya,Drought in Kenya,KEN,Africa,Drought,Kenya,Drought,https://www.acaps.org/country/Kenya/crisis/Drought,,01/06/2019,975
LBN002,,,Lebanon,Syrian refugees in Lebanon,LBN,Middle east,International displacement,Lebanon,Syrian refugees,https://www.acaps.org/country/Lebanon/crisis/Syrian-refugees,,Before 2019,More than 2 years
LBN004,,,Lebanon,Socioeconomic crisis in Lebanon,LBN,Middle east,Political and economic crisis,Lebanon,Socioeconomic crisis,https://www.acaps.org/country/Lebanon/crisis/Socioeconomic-crisis,,01/04/2020,670
LBY001,,,Libya,Complex crisis in Libya,LBY,Africa,Multiple crises country,Libya,Complex crisis,https://www.acaps.org/country/Libya/crisis/Complex-crisis,,Before 2019,More than 2 years
LBY002,,,Libya,Mixed migration flows in Libya,LBY,Africa,International displacement,Libya,Mixed Migration,https://www.acaps.org/country/Libya/crisis/Mixed-Migration,,Before 2019,More than 2 years
LSO002,,,Lesotho,Drought in Lesotho,LSO,Africa,Drought,Lesotho,Drought,https://www.acaps.org/country/Lesotho/crisis/Drought,,Before 2019,More than 2 years
MAR002,,,Morocco,Mixed migration flows in Morocco,MAR,Africa,International displacement,Morocco,Mixed Migration,https://www.acaps.org/country/Morocco/crisis/Mixed-Migration,,Before 2019,More than 2 years
MDG001,,,Madagascar,Multiple crisis in Madagascar,MDG,Africa,Multiple crises country,Madagascar,Country level,https://www.acaps.org/country/Madagascar/crisis/Country-level,,Before 2019,More than 2 years
MDG002,,,Madagascar,Drought in Madagascar,MDG,Africa,Drought,Madagascar,Drought,https://www.acaps.org/country/Madagascar/crisis/Drought,,Before 2019,More than 2 years
MDG006,,,Madagascar,Tropical Cyclone Ana in Madagascar,MDG,Africa,Tropical cyclone,Madagascar,Tropical Cyclone Ana,https://www.acaps.org/country/Madagascar/crisis/Tropical-Cyclone-Ana,,25/01/2022,6
MEX001,,,Mexico,Multiple crisis in Mexico,MEX,Americas,Multiple crises country,Mexico,Country Level,https://www.acaps.org/country/Mexico/crisis/Country-Level,,01/11/2019,822
MEX002,,,Mexico,Criminal Violence in Mexico,MEX,Americas,Other type of violence,Mexico,Criminal Violence,https://www.acaps.org/country/Mexico/crisis/Criminal-Violence,,01/11/2019,822
MEX003,,,Mexico,Mixed Migration in Mexico,MEX,Americas,International displacement,Mexico,Mixed Migration,https://www.acaps.org/country/Mexico/crisis/Mixed-Migration,,01/11/2019,822
MLI001,,,Mali,Complex crisis in Mali,MLI,Africa,Complex crisis,Mali,Complex crisis,https://www.acaps.org/country/Mali/crisis/Complex-crisis,,Before 2019,More than 2 years
MMR001,,,Myanmar,Multiple crises in Myanmar,MMR,Asia,Multiple crises country,Myanmar,Country level,https://www.acaps.org/country/Myanmar/crisis/Country-level,,Before 2019,More than 2 years
MMR002,,,Myanmar,Rakhine Conflict,MMR,Asia,Conflict,Myanmar,Rakhine conflict,https://www.acaps.org/country/Myanmar/crisis/Rakhine-conflict,,Before 2019,More than 2 years
MMR003,,,Myanmar,Kachin and Shan Conflict,MMR,Asia,Conflict,Myanmar,Kachin and Shan conflict,https://www.acaps.org/country/Myanmar/crisis/Kachin-and-Shan-conflict,,Before 2019,More than 2 years
MMR004,,,Myanmar,Post-coup conflict in Myanmar,MMR,Asia,Conflict,Myanmar,Post-coup Violence,https://www.acaps.org/country/Myanmar/crisis/Post-coup-Violence,,17/06/2021,228
MOZ001,,,Mozambique,Multiple Crises in Mozambique,MOZ,Africa,Multiple crises country,Mozambique,Multiple Crises,https://www.acaps.org/country/Mozambique/crisis/Multiple-Crises,,01/04/2019,1036
MOZ004,,,Mozambique,Cabo Delgado Islamist Insurgency,MOZ,Africa,Other type of violence,Mozambique,Violent Insurgency in Cabo Delgado,https://www.acaps.org/country/Mozambique/crisis/Violent-Insurgency-in-Cabo-Delgado,,01/03/2019,1067
MOZ008,,,Mozambique,Tropical Cyclone Ana in Mozambique,MOZ,Africa,Tropical cyclone,Mozambique,Tropical Cyclone Ana,https://www.acaps.org/country/Mozambique/crisis/Tropical-Cyclone-Ana,,31/01/2022,0
MRT002,,,Mauritania,Refugees from Mali in Mauritania,MRT,Africa,International displacement,Mauritania,Malian refugees,https://www.acaps.org/country/Mauritania/crisis/Malian-refugees,,Before 2019,More than 2 years
MRT003,,,Mauritania,Food Security in Mauritania,MRT,Africa,Drought,Mauritania,Food security,https://www.acaps.org/country/Mauritania/crisis/Food-security,,Before 2019,More than 2 years
MWI002,,,Malawi,Complex crisis in Malawi,MWI,Africa,Complex crisis,Malawi,Complex,https://www.acaps.org/country/Malawi/crisis/Complex,,Before 2019,More than 2 years
MWI004,,,Malawi,Tropical Cyclone Ana in Malawi,MWI,Africa,Tropical cyclone,Malawi,Tropical Cyclone Ana,https://www.acaps.org/country/Malawi/crisis/Tropical-Cyclone-Ana,,31/01/2022,0
MYS001,,,Malaysia,International Refugees in Malaysia,MYS,Asia,International displacement,Malaysia,International Refugees,https://www.acaps.org/country/Malaysia/crisis/International-Refugees,,26/03/2021,311
NAM002,,,Namibia,Food Security Crisis in Namibia,NAM,Africa,Food Security,Namibia,Food Security Crisis,https://www.acaps.org/country/Namibia/crisis/Food-Security-Crisis,,01/01/2020,761
NER001,,,Niger,Multiple crises in Niger,NER,Africa,Multiple crises country,Niger,Country level,https://www.acaps.org/country/Niger/crisis/Country-level,,Before 2019,More than 2 years
NER002,,,Niger,Boko Haram in Niger,NER,Africa,Conflict,Niger,Boko Haram,https://www.acaps.org/country/Niger/crisis/Boko-Haram,,Before 2019,More than 2 years
NER003,,,Niger,Mali/Burkina Faso conflict,NER,Africa,Conflict,Niger,Cross-border violence ,https://www.acaps.org/country/Niger/crisis/Cross-border-violence,,Before 2019,More than 2 years
NER004,,,Niger,Nigerian Refugees,NER,Africa,International displacement,Niger,Nigerian Refugees,https://www.acaps.org/country/Niger/crisis/Nigerian-Refugees,,01/12/2019,792
NGA001,,,Nigeria,Complex crisis in Nigeria,NGA,Africa,Complex crisis,Nigeria,Complex crisis,https://www.acaps.org/country/Nigeria/crisis/Complex-crisis,,Before 2019,More than 2 years
NGA003,,,Nigeria,Middle belt conflict,NGA,Africa,Conflict,Nigeria,Middle Belt,https://www.acaps.org/country/Nigeria/crisis/Middle-Belt,,Before 2019,More than 2 years
NGA004,,,Nigeria,Boko Haram crisis in Nigeria,NGA,Africa,Conflict,Nigeria,Boko Haram ,https://www.acaps.org/country/Nigeria/crisis/Boko-Haram,,Before 2019,More than 2 years
NGA007,,,Nigeria,Northwest Banditry,NGA,Africa,Other type of violence,Nigeria,Northwest Banditry,https://www.acaps.org/country/Nigeria/crisis/Northwest-Banditry,,01/12/2019,792
NGA008,,,Nigeria,Cameroonian Refugees in Nigeria,NGA,Africa,International displacement,Nigeria,Cameroonian Refugees,https://www.acaps.org/country/Nigeria/crisis/Cameroonian-Refugees,,01/01/2020,761
NIC001,,,Nicaragua,Socioeconomic crisis in Nicaragua,NIC,Americas,Political and economic crisis,Nicaragua,Socioeconomic crisis,https://www.acaps.org/country/Nicaragua/crisis/Socioeconomic-crisis,,Before 2019,More than 2 years
PAK001,,,Pakistan,Complex crisis in Pakistan,PAK,Asia,Complex crisis,Pakistan,Complex crisis,https://www.acaps.org/country/Pakistan/crisis/Complex-crisis,,Before 2019,More than 2 years
PAK004,,,Pakistan,Kashmir conflict in Pakistan,PAK,Asia,Conflict,Pakistan,Kashmir conflict,https://www.acaps.org/country/Pakistan/crisis/Kashmir-conflict,,01/02/2019,1095
PER002,,,Peru,Venezuela displacement in Peru,PER,Americas,International displacement,Peru,Venezuelan refugees,https://www.acaps.org/country/Peru/crisis/Venezuelan-refugees,,Before 2019,More than 2 years
PHL001,,,Philippines,Multiple crises in the Philippines,PHL,Asia,Multiple crises country,Philippines,Country level,https://www.acaps.org/country/Philippines/crisis/Country-level,,Before 2019,More than 2 years
PHL003,,,Philippines,Mindanao conflict,PHL,Asia,Conflict,Philippines,Mindanao Conflict,https://www.acaps.org/country/Philippines/crisis/Mindanao-Conflict,,Before 2019,More than 2 years
PHL010,,,Philippines,Typhoon RAI,PHL,Asia,Tropical cyclone,Philippines,Typhoon RAI (Odette),https://www.acaps.org/country/Philippines/crisis/Typhoon-RAI-(Odette),,19/12/2021,43
PRK001,,,DPRK,Complex crisis in DPRK,PRK,Asia,Complex crisis,DPRK,Complex crisis,https://www.acaps.org/country/DPRK/crisis/Complex-crisis,,Before 2019,More than 2 years
PSE002,,,Palestine,Conflict in Palestine,PSE,Middle east,Conflict,Palestine,Conflict,https://www.acaps.org/country/Palestine/crisis/Conflict,,Before 2019,More than 2 years
REG001,,,"Nigeria,Niger,Chad,Cameroon",Regional Boko Haram Crisis,"NGA,NER,TCD,CMR","Africa,Africa,Africa,Africa",Regional crisis,Nigeria,Regional Boko Haram,https://www.acaps.org/country/Nigeria/crisis/Regional-Boko-Haram,,01/03/2019,1067
REG002,,,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago",Venezuela Regional Crisis,"VEN,BRA,COL,ECU,PER,TTO","Americas,Americas,Americas,Americas,Americas,Americas",Regional crisis,Venezuela,Venezuela Regional Crisis,https://www.acaps.org/country/Venezuela/crisis/Venezuela-Regional-Crisis,,01/04/2019,1036
REG003,,,"India,Pakistan",Regional Kashmir conflict,"IND,PAK","Asia,Asia",Regional crisis,India,Regional Kashmir conflict,https://www.acaps.org/country/India/crisis/Regional-Kashmir-conflict,,01/04/2019,1036
REG004,,,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon",Syrian Regional Crisis,"SYR,TUR,IRQ,EGY,JOR,LBN","Middle east,Middle east,Middle east,Africa,Middle east,Middle east",Regional crisis,Syria,Syrian Regional Crisis,https://www.acaps.org/country/Syria/crisis/Syrian-Regional-Crisis,,01/05/2019,1006
REG006,,,"Turkey,Greece",Eastern Mediterranean Route ,"TUR,GRC","Middle east,Europe",Regional crisis,Turkey,Eastern Mediterranean Route ,https://www.acaps.org/country/Turkey/crisis/Eastern-Mediterranean-Route,,01/05/2019,1006
REG007,,,"Algeria,Tunisia,Libya,Italy",Central Mediterranean Route,"DZA,TUN,LBY,ITA","Africa,Africa,Africa,Europe",Regional crisis,Algeria,Central Mediterranean Route,https://www.acaps.org/country/Algeria/crisis/Central-Mediterranean-Route,,01/04/2019,1036
REG008,,,"Algeria,Morocco,Spain",Western Mediterranean Route,"DZA,MAR,ESP","Africa,Africa,Europe",Regional crisis,Algeria,Western Mediterranean Route,https://www.acaps.org/country/Algeria/crisis/Western-Mediterranean-Route,,01/04/2019,1036
REG011,,,"Bangladesh,Myanmar",Rohingya Regional Crisis,"BGD,MMR","Asia,Asia",Regional crisis,Bangladesh,Rohingya Regional Crisis,https://www.acaps.org/country/Bangladesh/crisis/Rohingya-Regional-Crisis,,01/04/2019,1036
REG012,,,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe",Southern Africa Regional Food Security Crisis,"LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE","Africa,Africa,Africa,Africa,Africa,Africa,Africa",Regional crisis,Lesotho,Southern Africa Regional Food Security Crisis,https://www.acaps.org/country/Lesotho/crisis/Southern-Africa-Regional-Food-Security-Crisis,,01/02/2020,730
REG013,,,"Armenia,Azerbaijan",Nagorno-Karabakh Conflict,"ARM,AZE","Middle east,Middle east",Regional crisis,Armenia,Regional Nagorno-Karabakh Conflict,https://www.acaps.org/country/Armenia/crisis/Regional-Nagorno-Karabakh-Conflict,,29/10/2020,459
RWA002,,,Rwanda,Burundi and DRC refugees in Rwanda,RWA,Africa,International displacement,Rwanda,Refugees,https://www.acaps.org/country/Rwanda/crisis/Refugees,,Before 2019,More than 2 years
SDN001,,,Sudan,Complex crisis in Sudan,SDN,Africa,Multiple crises country,Sudan,Complex crisis,https://www.acaps.org/country/Sudan/crisis/Complex-crisis,,Before 2019,More than 2 years
SDN005,,,Sudan,Refugees in Sudan,SDN,Africa,International displacement,Sudan,Refugees,https://www.acaps.org/country/Sudan/crisis/Refugees,,01/01/2020,761
SDN007,,,Sudan,Refugees from Ethiopia,SDN,Africa,International displacement,Sudan,Refugee influx from Tigray,https://www.acaps.org/country/Sudan/crisis/Refugee-influx-from-Tigray,,07/01/2021,389
SDN008,,,Sudan,Violence West-Darfur,SDN,Africa,Other type of violence,Sudan,West-Darfur Violence,https://www.acaps.org/country/Sudan/crisis/West-Darfur-Violence,,27/04/2021,279
SEN002,,,Senegal,Drought in Senegal,SEN,Africa,Drought,Senegal,Drought,https://www.acaps.org/country/Senegal/crisis/Drought,,Before 2019,More than 2 years
SLV001,,,El Salvador,Complex crisis in El Salvador,SLV,Americas,Complex crisis,El Salvador,Complex crisis,https://www.acaps.org/country/El Salvador/crisis/Complex-crisis,,Before 2019,More than 2 years
SOM001,,,Somalia,Complex crisis in Somalia,SOM,Africa,Complex crisis,Somalia,Complex crisis,https://www.acaps.org/country/Somalia/crisis/Complex-crisis,,Before 2019,More than 2 years
SOM002,,,Somalia,Mixed Migration Flows in Somalia,SOM,Africa,International displacement,Somalia,Mixed Migration,https://www.acaps.org/country/Somalia/crisis/Mixed-Migration,,01/04/2019,1036
SOM005,,,Somalia,Drought in Somalia,SOM,Africa,Drought,Somalia,Drought,https://www.acaps.org/country/Somalia/crisis/Drought,,24/11/2021,68
SSD001,,,South Sudan,Complex crisis in South Sudan,SSD,Africa,Complex crisis,South Sudan,Complex crisis,https://www.acaps.org/country/South Sudan/crisis/Complex-crisis,,Before 2019,More than 2 years
SWZ001,,,Eswatini,Food Security Crisis in Eswatini,SWZ,Africa,Food Security,Eswatini,Food Security Crisis,https://www.acaps.org/country/Eswatini/crisis/Food-Security-Crisis,,11/11/2020,446
SYR001,,,Syria,Syrian conflict,SYR,Middle east,Complex crisis,Syria,Conflict,https://www.acaps.org/country/Syria/crisis/Conflict,,Before 2019,More than 2 years
TCD001,,,Chad,Complex crisis in Chad,TCD,Africa,Multiple crises country,Chad,Complex crisis,https://www.acaps.org/country/Chad/crisis/Complex-crisis,,Before 2019,More than 2 years
TCD003,,,Chad,Boko Haram in Chad,TCD,Africa,Conflict,Chad,Boko Haram ,https://www.acaps.org/country/Chad/crisis/Boko-Haram,,Before 2019,More than 2 years
TCD004,,,Chad,CAR refugees in Chad,TCD,Africa,International displacement,Chad,CAR refugees,https://www.acaps.org/country/Chad/crisis/CAR-refugees,,Before 2019,More than 2 years
TCD005,,,Chad,Darfur refugees in Chad,TCD,Africa,International displacement,Chad,Darfur refugees,https://www.acaps.org/country/Chad/crisis/Darfur-refugees,,Before 2019,More than 2 years
TCD006,,,Chad,Tibesti Conflict in Chad,TCD,Africa,Conflict,Chad,Tibesti conflict,https://www.acaps.org/country/Chad/crisis/Tibesti-conflict,,Before 2019,More than 2 years
THA001,,,Thailand,Multiple situations in Thailand,THA,Asia,Multiple crises country,Thailand,Country level,https://www.acaps.org/country/Thailand/crisis/Country-level,,Before 2019,More than 2 years
THA002,,,Thailand,Conflict in southern Thailand ,THA,Asia,Conflict,Thailand,Conflict,https://www.acaps.org/country/Thailand/crisis/Conflict,,Before 2019,More than 2 years
THA003,,,Thailand,Myanmar refugees in Thailand,THA,Asia,International displacement,Thailand,Refugees,https://www.acaps.org/country/Thailand/crisis/Refugees,,Before 2019,More than 2 years
TON002,,,Tonga,Tonga Volcano Eruption,TON,Pacific,Volcano,Tonga,Volcano Eruption,https://www.acaps.org/country/Tonga/crisis/Volcano-Eruption,,19/01/2022,12
TTO002,,,Trinidad and Tobago,Venezuelan refugees in Trinidad and Tobago,TTO,Americas,International displacement,Trinidad and Tobago,Venezuelan refugees,https://www.acaps.org/country/Trinidad and Tobago/crisis/Venezuelan-refugees,,01/02/2019,1095
TUN002,,,Tunisia,Mixed migration flows in Tunisia,TUN,Africa,International displacement,Tunisia,Mixed Migration,https://www.acaps.org/country/Tunisia/crisis/Mixed-Migration,,Before 2019,More than 2 years
TUR001,,,Turkey,Complex situation in Turkey,TUR,Middle east,Multiple crises country,Turkey,Country level,https://www.acaps.org/country/Turkey/crisis/Country-level,,Before 2019,More than 2 years
TUR002,,,Turkey,Syrian Refugees in Turkey,TUR,Middle east,International displacement,Turkey,Syrian refugees,https://www.acaps.org/country/Turkey/crisis/Syrian-refugees,,Before 2019,More than 2 years
TUR003,,,Turkey,Mixed Migration Flows in Turkey,TUR,Middle east,International displacement,Turkey,Mixed Migration,https://www.acaps.org/country/Turkey/crisis/Mixed-Migration,,Before 2019,More than 2 years
TUR004,,,Turkey,Kurdish Conflict,TUR,Middle east,Conflict,Turkey,Kurdish conflict,https://www.acaps.org/country/Turkey/crisis/Kurdish-conflict,,Before 2019,More than 2 years
TZA002,,,Tanzania,International Displacement in Tanzania,TZA,Africa,International displacement,Tanzania,Refugees,https://www.acaps.org/country/Tanzania/crisis/Refugees,,Before 2019,More than 2 years
UGA005,,,Uganda,International Displacement in Uganda,UGA,Africa,International displacement,Uganda,Refugees,https://www.acaps.org/country/Uganda/crisis/Refugees,,01/11/2019,822
UKR002,,,Ukraine,Conflict in Ukraine,UKR,Europe,Conflict,Ukraine,Conflict,https://www.acaps.org/country/Ukraine/crisis/Conflict,,Before 2019,More than 2 years
VEN001,,,Venezuela,Complex crisis in Venezuela,VEN,Americas,Complex crisis,Venezuela,Complex crisis,https://www.acaps.org/country/Venezuela/crisis/Complex-crisis,,Before 2019,More than 2 years
YEM001,,,Yemen,Conflict in Yemen,YEM,Middle east,Complex crisis,Yemen,Complex crisis,https://www.acaps.org/country/Yemen/crisis/Complex-crisis,,Before 2019,More than 2 years
YEM002,,,Yemen,Mixed migration flows in Yemen,YEM,Middle east,International displacement,Yemen,Mixed Migration,https://www.acaps.org/country/Yemen/crisis/Mixed-Migration,,01/02/2019,1095
ZMB002,,,Zambia,Drought in Zambia,ZMB,Africa,Drought,Zambia,Drought,https://www.acaps.org/country/Zambia/crisis/Drought,,Before 2019,More than 2 years
ZWE001,,,Zimbabwe,Complex crisis in Zimbabwe,ZWE,Africa,Complex crisis,Zimbabwe,Complex crisis,https://www.acaps.org/country/Zimbabwe/crisis/Complex-crisis,,Before 2019,More than 2 years
