Country,Crisis,Crisis ID,ISO3 code,Region,Drivers,Website name,Country level,Individual or aggregated,Indicator,Reliability,Type of entry
Haiti,Complex crisis in Haiti,HTI001,HTI,Americas,"Earthquake,Violence,Socio-political,Other seasonal event",Complex crisis,Yes,Individual,,,
Haiti,Nippes Earthquake ,HTI002,HTI,Americas,Earthquake,Earthquake,No,Individual,,,
Hungary,Displacement from Ukraine conflict in Hungary,HUN002,HUN,Europe,"Conflict,Displacement",Displacement from Ukraine conflict,Yes,Individual,,,
Indonesia,Papua Conflict,IDN002,IDN,Asia,"Socio-political,Violence",Papua Conflict,No,Individual,,,
Indonesia,Country Level,IDN007,IDN,Asia,"Earthquake,Socio-political,Violence",Country Level,Yes,Aggregated,,,
Indonesia,Earthquake in West Java province,IDN008,IDN,Asia,Earthquake,Earthquake in West Java,No,Individual,,,
India,Conflict in Jammu and Kashmir,IND002,IND,Asia,Socio-political,Kashmir conflict ,Yes,Individual,,,
Iran,Afghan Refugees in Iran,IRN004,IRN,Middle east,Displacement,Afghan Refugees,Yes,Individual,,,
Iraq,Multiple crises in Iraq,IRQ001,IRQ,Middle east,"Violence,Displacement,Socio-political,Conflict",Country level,Yes,Aggregated,,,
Iraq,Conflict  in Iraq,IRQ002,IRQ,Middle east,"Conflict,Socio-political,Violence",Conflict,No,Individual,,,
Iraq,Syrian and Palestinian refugees in iraq,IRQ003,IRQ,Middle east,Displacement,Syrian Refugees,No,Individual,,,
Italy,Mixed migration flows in Italy,ITA002,ITA,Europe,Displacement,Mixed Migration,Yes,Individual,,,
Jordan,Syrian refugees in Jordan,JOR002,JOR,Middle east,Displacement,Syrian refugees,Yes,Individual,,,
Kenya,Multiple crisis in Kenya ,KEN001,KEN,Africa,"Drought,Displacement",Country level ,Yes,Aggregated,,,
Kenya,Refugee situation in Kenya,KEN002,KEN,Africa,Displacement,Refugee situation,No,Individual,,,
Kenya,Drought in Kenya,KEN003,KEN,Africa,Drought,Drought,No,Individual,,,
Lebanon,Syrian refugees in Lebanon,LBN002,LBN,Middle east,Displacement,Syrian refugees,No,Individual,,,
Lebanon,Socioeconomic crisis in Lebanon,LBN004,LBN,Middle east,"Socio-political,Violence,Tecnological Disaster",Socioeconomic crisis,Yes,Individual,,,
Libya,Complex crisis in Libya,LBY001,LBY,Africa,"Conflict,Displacement,Socio-political",Complex crisis,Yes,Individual,,,
