INFORM Severity Index - all countries. Release: May 2023,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,DRIVERS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Malawi,MWI002,Malawi,MWI,"Drought,Socio-political,Cyclone",3.3,4,High,Increasing,Very High,3.6,4.4,3,3.8,4.6,3,2.4,2.3,2.5,Africa,2023-05-29 00:00:00
International Refugees in Malaysia,MYS001,Malaysia,MYS,Displacement,2.5,3,Medium,Increasing,High,3.7,1.7,4.3,2.05,2.1,2,2.1,1.7,2.5,Asia,2023-05-30 00:00:00
Food Security Crisis in Namibia,NAM002,Namibia,NAM,Drought,2.3,3,Medium,Decreasing,High,2.6,4.3,1.3,2.65,2.3,3,1.5,1.5,1.5,Africa,2023-05-29 00:00:00
Multiple crises in Niger,NER001,Niger,NER,"Conflict,Displacement",3.8,4,High,Increasing,Very High,3.9,4.9,3.1,4.1,4.2,4,3.2,2.8,3.5,Africa,2023-05-31 00:00:00
Complex crisis in Nigeria,NGA001,Nigeria,NGA,"Conflict,Displacement,Violence",4.2,5,Very High,Stable,High,4.5,5,4.1,4,5,3,4.4,3.4,5,Africa,2023-05-28 00:00:00
Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,NIC,Socio-political,x,x,x,-,High,2.9,4,2.1,x,x,x,2.9,2.7,3,Americas,2023-05-17 00:00:00
Complex crisis in Pakistan,PAK001,Pakistan,PAK,"Displacement,Conflict",3.9,4,High,Stable,High,4,5,3.2,4,5,3,3.7,3.3,4,Asia,2023-05-30 00:00:00
Venezuela displacement in Panama,PAN002,Panama,PAN,Displacement,2.3,3,Medium,Stable,Very High,2.9,2.6,3.1,2.2,1.4,3,2,1.9,2,Americas,2023-05-30 00:00:00
Venezuela displacement in Peru,PER002,Peru,PER,Displacement,3.1,4,High,Stable,Very High,4,5,3.3,2.7,3.4,2,2.8,2.6,3,Americas,2023-05-23 00:00:00
Multiple crises in the Philippines,PHL001,Philippines,PHL,"Conflict,Cyclone,Violence,Floods,Other seasonal event",2.6,3,Medium,Decreasing,High,3.5,4.8,2.4,2,2,2,2.7,2.9,2.5,Asia,2023-05-30 00:00:00
