,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,11.105,0.005,0.119,0,0,1.8,0.9889571644848161,0.00044527562561225397,0.010597559889571645,0,0,1,1.4
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,45.735,0,0.263,x,x,2.4,0.9942823601026132,0,0.005717639897386843,x,x,1,1.7
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,0.049,0.084,0.09,x,x,1.6,0.21973094170403587,0.37668161434977576,0.40358744394618834,x,x,3,2.3
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,45.784,0.084,0.353,x,x,2.6,0.990545423076091,0.001817355747387551,0.007637221176521495,x,x,1,1.8
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,10.409,7.189,0.403,x,x,2.7,0.5782456530192767,0.39936670184989725,0.022387645130826066,x,x,2,2.35
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,113.176,0,0.54,x,x,2.9,0.9952513278694292,0,0.004748672130570896,x,x,1,1.95
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,2.698,0,1.1,x,x,3.4,0.7103738809899948,0,0.2896261190100053,x,x,3,3.2
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,47.48,0,0.072,x,x,1.4,0.998485868102288,0,0.0015141318977119785,x,x,1,1.2
Displacement from Russia-Ukraine conflict in Estonia,"Conflict,Displacement",EST002,Estonia,EST,1.349,0,0.038,0,0,1,0.9726027397260274,0,0.0273972602739726,0,0,1,1
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,42.21,57.479,28.6,x,x,5,0.3290227533147815,0.44804309021038435,0.22293415647483417,x,x,3,4
International Displacement,Displacement,ETH003,Ethiopia,ETH,86.31,41.006,0.973,x,x,3.3,0.6727778687182845,0.3196376930212255,0.007584438260489988,x,x,2,2.65
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,0,21.8,8.8,x,x,4.9,0,0.7124183006535948,0.2875816993464052,x,x,3,3.95
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,38.3,4,20.1,x,x,5,0.6137820512820513,0.0641025641025641,0.32211538461538464,x,x,3,4
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,0.463,0,0.187,x,x,2.1,0.7123076923076923,0,0.2876923076923077,x,x,3,2.55
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,8.438,3.862,5.3,0,0,4.5,0.4794318181818182,0.21943181818181817,0.30113636363636365,0,0,3,3.75
