,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
GTM001,214,74,185,165,3,185,185,185,185,185,214,39,39,39,39,39,39,39,39,39,153.1,,
HND001,214,185,165,98,3,165,165,185,185,185,214,228,228,228,228,228,228,228,228,228,159.3,,
HTI001,242,242,242,242,3,242,242,242,242,242,242,34,34,34,34,34,34,34,34,34,197.3,,
HTI002,234,234,234,234,234,92,92,92,234,234,234,34,34,34,34,34,34,34,34,34,171.4,,
HUN002,9,9,9,9,9,9,9,9,9,9,9,37,37,37,37,37,37,37,37,37,11.8,,
IDN002,4,4,4,4,4,4,4,4,4,4,4,228,228,228,228,228,228,228,228,228,26.4,,
IND002,1068,215,1068,188,0,213,1068,1068,1068,1068,1495,34,34,34,228,228,34,34,228,228,727,,
IRN004,1021,1021,306,306,245,306,306,306,306,306,1021,34,34,34,34,34,34,34,34,34,344.2,,
IRQ001,153,2,2,2,2,2,2,2,2,2,1341,34,34,34,34,34,34,34,34,34,139.1,,
IRQ002,153,2,2,2,2,2,2,2,2,2,1424,34,34,34,34,34,34,34,34,34,147.4,,
IRQ003,153,2,2,2,31,2,2,2,2,2,1780,34,34,34,34,34,34,34,34,34,185.9,,
ITA002,518,31,31,31,31,31,31,31,31,31,518,48,48,48,48,48,48,48,48,48,81.4,,
JOR002,123,2,2,2,2,2,2,2,2,2,1276,34,34,34,34,34,34,34,34,34,132.6,,
KEN001,164,9,9,32,279,9,9,9,9,9,32,34,34,34,34,34,34,34,34,34,43.1,,
KEN002,164,32,32,32,555,32,32,32,32,32,32,34,34,34,34,34,34,34,34,34,84.5,,
KEN003,164,9,9,32,482,9,9,9,9,9,9,34,34,34,34,34,34,34,34,34,61.1,,
LAO003,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,,
LBN002,179,14,14,123,61,14,14,14,14,14,1304,39,39,39,39,39,39,39,39,39,161.1,,
LBN004,179,14,14,14,14,14,14,14,14,14,1341,39,39,39,39,39,39,39,39,39,149.2,,
LBY001,97,0,0,0,0,0,0,0,0,0,96,42,42,42,42,42,42,42,42,42,13.8,,
LBY002,97,0,0,0,0,0,0,0,0,0,518,42,42,42,42,42,42,42,42,42,56,,
LBY003,97,0,0,0,0,0,0,0,0,0,97,42,42,42,42,42,42,42,42,42,13.9,,
LKA001,67,67,67,67,4,67,67,67,67,67,67,34,34,34,34,34,34,34,34,34,57.4,,
LKA002,67,67,67,67,4,67,67,67,67,67,165,34,34,34,34,34,34,34,34,34,67.2,,
LKA003,67,67,67,67,67,67,67,67,67,67,67,34,34,34,34,34,34,34,34,34,63.7,,
LTU002,9,9,9,9,9,9,9,9,9,9,9,53,53,53,53,53,53,53,53,53,13.4,,
LVA002,9,9,9,9,9,9,9,9,9,9,9,53,53,53,53,53,53,53,53,53,13.4,,
MAR001,96,31,31,31,31,31,31,31,31,31,96,45,45,45,45,45,45,45,45,45,38.9,,
MAR002,518,31,31,31,31,31,31,31,31,31,518,45,45,45,45,45,45,45,45,45,81.1,,
MAR003,31,31,31,31,31,31,31,31,31,31,96,45,45,45,45,45,45,45,45,45,38.9,,
MDA002,9,9,9,9,9,9,9,9,9,9,9,37,37,37,37,37,37,37,37,37,11.8,,
MDG001,2,2,2,2,2,2,2,2,2,2,214,35,35,35,35,35,35,35,35,35,26.5,,
MDG002,2,2,2,2,2,2,2,2,2,2,214,35,35,35,35,35,35,35,35,35,26.5,,
MDG008,2,2,2,2,2,2,2,2,2,2,214,35,35,35,35,35,35,35,35,35,26.5,,
MEX001,278,278,62,62,3,95,62,62,278,278,278,34,34,34,34,34,34,34,34,34,121.4,,
MEX002,278,278,278,278,3,278,278,278,278,278,278,34,34,34,34,34,34,34,34,34,226.1,,
MEX003,95,3,95,95,3,3,3,62,95,95,278,34,34,34,34,34,34,34,34,34,76.3,,
MLI001,487,338,338,5,5,338,338,338,338,338,5,230,230,230,230,230,230,230,230,230,227.3,,
MMR001,66,66,66,4,4,66,66,66,66,66,66,34,34,34,34,34,34,34,34,34,50.4,,
MMR002,66,66,66,4,4,66,66,66,66,66,66,34,34,34,34,34,34,34,34,34,50.4,,
MMR003,66,66,66,4,4,66,66,66,66,66,66,34,34,34,34,34,34,34,34,34,50.4,,
MMR004,66,66,66,4,4,66,66,66,66,66,66,34,34,34,34,34,34,34,34,34,50.4,,
MMR005,66,66,66,66,66,66,66,66,66,66,66,34,34,34,34,34,34,34,34,34,62.8,,
MOZ001,214,2,2,2,2,2,2,2,2,2,214,34,34,34,34,34,34,34,34,34,26.4,,
MOZ004,214,2,2,2,2,2,2,2,2,2,214,34,34,34,34,34,34,34,34,34,26.4,,
MOZ010,214,2,2,2,2,2,2,2,2,2,214,34,34,34,34,34,34,34,34,34,26.4,,
MRT002,245,31,31,31,31,31,31,31,31,31,245,40,40,40,40,40,40,40,40,40,53.3,,
MRT003,1189,31,31,1222,31,31,31,31,31,31,353,40,40,40,40,40,40,40,40,40,183.2,,
MWI002,2,2,2,2,2,2,2,2,2,2,247,34,34,34,34,34,34,34,34,34,29.7,,
MWI005,2,2,2,2,2,2,2,2,2,2,247,34,34,34,34,34,34,34,34,34,29.7,,
MYS001,98,98,98,4,4,67,4,4,67,67,1007,34,34,34,34,34,34,34,34,34,135.6,,
NAM002,2,2,2,1423,2,2,2,2,2,2,903,35,35,35,35,35,35,35,35,35,237.5,,
NER001,180,180,180,5,5,180,180,180,180,180,5,228,228,228,228,228,228,228,228,228,132.3,,
NER002,180,180,180,5,5,180,180,180,180,180,5,228,228,228,228,228,228,228,228,228,132.3,,
NER003,180,180,180,5,5,180,180,180,180,180,5,228,228,228,228,228,228,228,228,228,132.3,,
NER004,180,180,180,5,5,180,180,180,180,180,5,228,228,228,228,228,228,228,228,228,132.3,,
NGA001,164,33,33,9,33,33,33,33,33,33,33,35,35,35,35,35,35,35,35,35,30.8,,
NGA003,164,164,164,125,9,164,164,164,164,164,1643,36,36,36,36,36,36,36,36,36,279.7,,
NGA004,164,164,164,9,9,164,164,164,164,164,1644,36,36,36,36,36,36,36,36,36,268.2,,
NGA007,164,164,164,9,9,164,164,164,164,164,1476,35,35,35,35,35,35,35,35,35,251.3,,
NGA008,164,164,9,9,524,9,9,9,9,9,33,35,35,35,35,35,35,35,35,35,65.5,,
NIC001,98,98,98,98,3,96,96,96,96,96,370,34,34,34,34,34,34,34,34,34,108.3,,
PAK001,733,245,31,0,0,31,31,188,188,245,1788,34,34,34,34,34,34,34,34,34,253.6,,
PAK004,491,214,733,733,0,214,733,733,733,733,1768,34,34,34,34,34,34,34,34,34,641.4,,
PAK005,306,188,188,61,396,188,188,188,188,188,521,34,34,34,34,34,34,34,34,34,214,,
PAN002,98,3,3,3,98,98,98,98,98,98,215,34,34,34,34,34,34,34,34,34,84.3,,
PER002,92,92,92,92,31,92,92,92,92,92,92,34,34,34,34,34,34,34,34,34,80.1,,
PHL003,65,65,4,4,4,4,65,65,65,65,65,34,34,34,34,34,34,34,34,34,37.5,,
PNG001,20,20,20,4,4,4,4,4,4,20,20,20,20,20,20,20,20,20,20,20,10.4,,
PNG003,20,20,20,4,4,4,4,4,4,20,20,34,34,34,34,34,34,34,34,34,11.8,,
PNG004,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
POL002,9,9,9,9,9,9,9,9,9,9,9,37,37,37,37,37,37,37,37,37,11.8,,
PRK001,1013,123,123,0,0,123,123,245,306,306,1798,34,34,34,34,34,34,34,34,34,305.8,,
