,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,3.623,0,0.493,1.063,x,3.7,0.6995558988221664,0,0.09519212203128016,0.20525197914655338,x,4,3.85
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,13.165,0,1.377,0.309,x,3.7,0.8864722914281866,0,0.09272102888694364,0.020806679684869704,x,3,3.35
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,5.043,0,0.607,x,x,3,0.892566371681416,0,0.10743362831858407,x,x,3,3
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,82.155,0.529,10.3,10.8,4.8,5,0.7566031827893612,0.004871804317394828,0.0948574375598615,0.09946216753849554,0.04420540779488691,4,4.5
Complex crisis in Congo,Conflict,COG001,Congo,COG,5.507,0.159,0.134,0,0,1.9,0.9494827586206896,0.027413793103448277,0.023103448275862068,0,0,2,1.95
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,41.8,2.1,4.206,3.1,0.394,4.8,0.810077519379845,0.040697674418604654,0.08151162790697675,0.060077519379844964,0.007635658914728683,4,4.4
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,3.222,16.918,2.95,2.174,0.276,4.6,0.12615011158529424,0.662385967659841,0.11550056771465488,0.08511804549547786,0.010806154809913473,4,4.3
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,2.215,0,0.235,x,x,2.3,0.9037127702978376,0,0.09587923296613628,x,x,3,2.65
Displacement from Russia-Ukraine conflict in Czechia,"Conflict,Displacement",CZE002,Czech Republic,CZE,10.526,0,0.373,0,0,2.6,0.9657766767593358,0,0.03422332324066428,0,0,1,1.8
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,0.472,0.402,0.208,0.1,0,2.5,0.3993231810490694,0.3401015228426396,0.17597292724196278,0.08460236886632826,0,4,3.25
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,0.653,0,0.023,x,x,0.6,0.9659763313609467,0,0.034023668639053255,x,x,1,0.8
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,0.495,0.402,0.185,0.1,0,2.4,0.41878172588832485,0.3401015228426396,0.15651438240270726,0.08460236886632826,0,4,3.2
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,11.105,0.005,0.119,0,0,1.8,0.9889571644848161,0.00044527562561225397,0.010597559889571645,0,0,1,1.4
