,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,2.6,0.07301093693808043,0.3,1.45,2.4,0.18437822635195272,0.9,1.65,1.6,2.8,0.30025101370921026,1.5,2.15,4.1,0.5144694533762058,5,4.6,3.5,0.00019614147909967846,5,4.3,4.5,3.6
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,3.2,0.18620084195384062,0.8,2,3.9,0.528712307308911,2.6,3.25,2.7,2.9,0.11352770857181335,0.5,1.7,4.4,0.693950177935943,5,4.7,3.3,0.00011447212336892052,5,4.2,4.5,3.4
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,3.9,0.48934441835374753,2.4,3.15,2.5,0.20114635622485671,1,1.75,2.5,2.1,0.10743362831858407,0.5,1.3,3.6,0.5848434925864909,5,4.3,1,8.237232289950576e-06,0.4,0.7,3,2.2
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,5,1.0343221366974702,5,5,5,1,5,5,5,4.9,0.24339681721063877,1.2,3.0500000000000003,5,0.4097393015248401,5,5,4.6,5.872337205342616e-05,2.9,3.8,4.5,3.9
Complex crisis in Congo,Conflict,COG001,Congo,COG,4.2,1,5,4.6,2.5,1,5,3.75,4.2,1.6,0.050517241379310344,0.2,0.9,3.4,0.7713310580204779,5,4.2,0,0,0,0,2.7,1.9
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,5,1,5,5,5,1,5,5,5,4.2,0.18992248062015504,0.9,2.5500000000000003,5,0.5558163265306122,5,5,3.5,2.8877551020408163e-05,1.4,2.5,4.1,3.4
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,2.6,0.031101397025687247,0.1,1.35,4.7,0.49498062015503874,2.4,3.55,2.6,4.7,0.8738107356798872,4.4,4.550000000000001,4.9,0.12949188995429697,4.3,4.6,1.5,4.928757057083968e-07,0,0.8,3.3,4
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,0,0.01965178221699961,0,0,1.3,0.4495597945707997,2.2,1.75,0.9,1.5,0.09587923296613628,0.4,0.95,3.4,1,5,4.2,x,x,x,x,4.2,3
Displacement from Russia-Ukraine conflict in Czechia,"Conflict,Displacement",CZE002,Czech Republic,CZE,3.1,0.9997021111255019,5,4.05,3.5,1,5,4.25,4.2,1.8,0.03422332324066428,0.1,0.9500000000000001,3.7,1,5,4.4,0,0,0,0,2.8,2
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.3,0.6006768189509306,3,2.65,2.1,0.04084507042253521,1.4,1.8,0,0,0,0,1,1.9
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,1.4,0.31492666091458155,1.5,1.45,0,0.571912013536379,2.8,1.4,1.4,0,0.034023668639053255,0.1,0.05,1.9,1,5,3.5,0,0,0,0,2.1,1.2
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.2,0.5812182741116751,2.9,2.55,1.1,0.008733624454148471,0.3,0.7,0,0,0,0,0.4,1.6
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,2.8,1,5,3.9,3.5,1,5,4.25,4.1,1,0.011042835515183898,0,0.5,3,1,5,4,x,x,x,x,4,2.7
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.5,0.0057444903129982745,0,0.75,3.5,1,5,4.3,2,9.505703422053231e-05,4.8,3.4,3.9,2.7
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.004870803573378765,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,x,x,x,x,0,0,0,0,0,1.4
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,5,1,5,5,5,1.0048708035733787,5,5,5,1.9,0.009498761031169848,0,0.95,3.5,0.6018306636155606,5,4.3,2,5.949656750572082e-05,3,2.5,3.5,2.4
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,4,1,5,4.5,4.2,1,5,4.6,4.6,4,0.4217543469807233,2.1,3.05,3.8,0.06256585879873551,2.1,3,0,0,0,0,1.7,2.4
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,5,1,5,5,3.9,1.9,0.003891598725105214,0,0.95,3.8,1,5,4.4,1.8,4.072398190045249e-05,2,1.9,3.4,2.4
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,3.3,1,5,4.15,1.9,1,5,3.45,3.8,2.6,0.2911593435680254,1.4,2,4,0.5381818181818182,5,4.5,x,x,x,x,4.5,3.5
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,3.3,0.1999160352651886,0.9,2.1,5,1,5,5,4,0.3,0.0010103561505430665,0,0.15,2.4,1,5,3.7,3,0.0025416666666666665,5,4,3.9,2.5
Displacement from Russia-Ukraine conflict in Estonia,"Conflict,Displacement",EST002,Estonia,EST,2.7,1.0084925690021231,5,3.85,0.5,1,5,2.75,3.4,0.3,0.035842293906810034,0.1,0.2,2.4,1,5,3.7,0,0,0,0,2.3,1.4
