,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,0.645,0,2.582,0,0,4,0.19987604586303068,0,0.8001239541369694,0,0,3,3.5
Food Security Crisis in Eswatini,Food Security,SWZ001,Eswatini,SWZ,0.379,0.385,0.307,0.06,0,2.6,0.33510167992926615,0.34040671971706454,0.27144120247568526,0.05305039787798409,0,4,3.3
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,10.455,10.296,6.497,1.977,0,4.9,0.35774165953806675,0.3523011120615911,0.22230966638152266,0.06764756201881951,0,4,4.45
Flood Crisis in Ethiopia,Flood,ETH002,Ethiopia,ETH,61.221,0.221,0.401,0,0,2.7,0.9882005423553719,0.0035672778925619833,0.006472753099173553,0,0,1,1.85
International Displacement,International displacement,ETH003,Ethiopia,ETH,71.612,0,0.769,0,0,3.1,0.989375664884431,0,0.010624335115569003,0,0,1,2.05
Crisis in Tigray,Conflict,ETH004,Ethiopia,ETH,0,0,4.899,0,0.5,4.6,0,0,0.9000551166636046,0,0.09186110600771634,5,4.8
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,0.214,0.101,0.02,0,0,0.5,0.6407185628742516,0.3023952095808383,0.059880239520958084,0,0,3,1.75
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,4.503,7.097,3.137,0.163,0,4.2,0.30221476510067113,0.47630872483221476,0.21053691275167785,0.010939597315436242,0,3,3.6
Hurricane Eta and Iota in Guatemala,Tropical cyclone,GTM003,Guatemala,GTM,12.491,2.105,0.304,0,0,2.5,0.8383221476510068,0.1412751677852349,0.020402684563758388,0,0,2,2.25
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,3.878,3.022,3.095,0.905,0,4.3,0.35577981651376145,0.27724770642201835,0.28394495412844034,0.08302752293577982,0,4,4.15
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,6.458,1.4,0.95,0.35,0,3.5,0.7051758025769819,0.15287180607119458,0.1037344398340249,0.038217951517798644,0,3,3.25
