,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Multiple crises in Chad,Multiple crises country,TCD001,Chad,TCD,5,1,5,5,4.1,1,5,4.55,4.8,4,0.45328327970444526,2.2,3.1,4.2,0.12067832259760747,4,4.1,3.4,3.049822531878533e-05,1.5,2.5,3.4,3.3
Boko Haram in Chad,Conflict,TCD003,Chad,TCD,2.2,0.015815597204574334,0,1.1,0,0.04081754260517221,0.2,0.1,0.6,2.2,1,5,3.6,3.7,0.5591240875912409,5,4.4,3,0.0001781021897810219,5,4,4.2,3.9
CAR refugees in Chad,International displacement,TCD004,Chad,TCD,3.6,0.12279463151207115,0.5,2.05,2.2,0.26552258372065307,1.3,1.75,1.9,2.5,0.2253141831238779,1.1,1.8,3.2,0.16334661354581673,5,4.1,x,x,x,x,4.1,3.2
Darfur refugees in Chad,International displacement,TCD005,Chad,TCD,3.9,0.16333465692503177,0.7,2.3,1.4,0.153557382910261,0.7,1.0499999999999998,1.7,2.6,0.4357780364765231,2.2,2.4000000000000004,3.7,0.3259127337488869,5,4.4,0.7,2.6714158504007123e-06,0.1,0.4,3,2.7
Tibesti Conflict in Chad,Conflict,TCD006,Chad,TCD,3.9,0.17471410419313851,0.8,2.35,0,0.002264330830651889,0,0,1.3,0.1,1,5,2.55,x,x,x,x,2.2,0.0009736842105263158,5,3.6,3.6,3.1
Floods in Chad,Flood,TCD008,Chad,TCD,4.7,0.5417725540025413,2.7,3.7,4,0.9750923608628292,4.9,4.45,4.1,1.8,0.023710584209239795,0.1,0.9500000000000001,3,0.30927835051546393,5,4,1.4,2.577319587628866e-05,1.3,1.4,2.9,2
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,5,1,5,5,5,1,5,5,5,4.4,0.2632612966601179,1.3,2.85,5,0.3005223880597015,5,5,3.8,3.171641791044776e-05,1.6,2.7,4.1,3.5
Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,3.4,0.10012888688598467,0.4,1.9,4.5,0.4360314341846758,2.2,3.35,2.7,3.3,0.13769487248805984,0.6,1.95,5,0.9803664921465969,5,5,x,x,x,x,5,3.9
Hurricane Eta and Iota in Colombia,Tropical cyclone,COL003,Colombia,COL,4.4,0.3952780531771068,1.9,3.1500000000000004,4.6,0.46998035363457763,2.3,3.4499999999999997,3.3,1.6,0.012666165036368197,0,0.8,x,x,x,x,2,8.580858085808581e-05,4.3,3.2,3.2,2.2
Floods in Congo,Flood,COG004,Congo,COG,3,0.19339385065885797,0.9,1.95,0,0.028408042796532005,0.1,0.05,1.1,0.7,0.564935064935065,2.8,1.75,x,x,x,x,x,x,x,x,x,1.75
Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,1.2,0.0972581276929103,0.4,0.8,0.8,0.33690360272638753,1.7,1.25,1,0.7,0.04682080924855491,0.2,0.44999999999999996,2.7,1,5,3.9,0,0,0,0,2.4,1.5
Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,2.3,1,5,3.65,0,1,5,2.5,3.1,2.2,0.6330365974282888,3.1,2.6500000000000004,x,x,x,x,0,0,0,0,0,1.5
Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,2.3,1,5,3.65,0,1,5,2.5,3.1,0,0.02967359050445104,0.1,0.05,2.1,1,5,3.6,2.4,0.0017,5,3.7,3.7,2.3
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0,1,5,2.5,3.1,2.2,0.6320474777448071,3.1,2.6500000000000004,x,x,x,x,x,x,x,x,x,2.6500000000000004
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,3.5,1,5,4.25,4.7,1,5,4.85,4.6,4.8,1,5,4.9,x,x,x,x,0.4,7.827788649706457e-08,0,0.2,0.2,3.4
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,5,0.999999117796255,5,5,5,1.0002010252286662,5,5,5,5,0.43457943925233644,2.1,3.55,5,0.19586079315527807,5,5,4.9,6.546421551624466e-05,3.3,4.1,4.6,4.1
Floods in south-eastern DRC,Flood,COD003,DRC,COD,4.6,0.25405218235151406,1.2,2.9,4.5,0.2319529600964921,1.1,2.8,2.9,2.1,0.025436581878060405,0.1,1.1,x,x,x,x,x,x,x,x,x,1.1
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,0.9,0.013887099371879529,0,0.45,2.3,0.32446450222282097,1.6,1.95,1.3,2.2,0.1299564044010795,0.6,1.4000000000000001,3.7,0.6661341853035144,5,4.4,0,1.597444089456869e-06,0.1,0.1,2.9,2.2
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,4.5,0.21799418257162212,1.1,2.8,2.4,3.3,0.14426064704807165,0.7,2,3.9,0.15932847640164713,5,4.5,3.4,8.14063984795692e-05,4.1,3.8,4.2,3.3
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,2.2,1,5,3.6,2.8,1,5,3.9,3.8,2.7,0.208955223880597,1,1.85,3.8,0.3242857142857143,5,4.4,4,0.00047357142857142856,5,4.5,4.5,3.5
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,3.3,1,5,4.15,1.7,1,5,3.35,3.8,3.3,1,5,4.15,3.5,0.09296560272699102,3.1,3.3,0,0,0,0,2,3.3
Food Security Crisis in Eswatini,Food Security,SWZ001,Eswatini,SWZ,2.1,1.0002325581395348,5,3.55,0.2,0.975,4.9,2.5500000000000003,3.1,2.3,0.6648983200707339,3.3,2.8,0,0,0,0,x,x,x,x,0,1.6
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,5,1,5,5,4.9,0.26581472554459046,1.3,3.1,4.3,4.6,0.6422583404619333,3.2,3.9,4.6,0.09243473628129995,3.1,3.9,4.4,6.537027171017581e-05,3.3,3.9,3.9,3.9
Flood Crisis in Ethiopia,Flood,ETH002,Ethiopia,ETH,4.8,0.742878,3.7,4.25,5,0.5634817408704352,2.8,3.9,4.1,2.5,0.01643207644628099,0,1.25,3.5,0.2888015717092338,5,4.3,1.5,1.1787819253438114e-05,0.6,1.1,3.1,2.3
International Displacement,International displacement,ETH003,Ethiopia,ETH,4.9,0.90705,4.5,4.7,5,0.6583382600391104,3.3,4.15,4.4,2.3,0.010624335115569003,0,1.15,4.1,1,5,4.6,x,x,x,x,4.6,3.3
Crisis in Tigray,Conflict,ETH004,Ethiopia,ETH,2.8,0.050079,0.2,1.5,2.5,0.049506571467551955,0.2,1.35,1.4,3.7,0.991916222671321,5,4.35,3.1,0.02685682533802556,0.9,2,x,x,x,x,2,3.4
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,0.9,0.02609829325058185,0,0.45,0,0.030698529411764704,0.1,0.05,0.3,1,0.3592814371257485,1.8,1.4,3,1,5,4,2,0.0002,5,3.5,3.8,2.8
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,3.4,1,5,4.2,3.9,1,5,4.45,4.3,3.7,0.3691275167785235,1.8,2.75,3.4,0.044,1.5,2.5,4.7,0.000338,5,4.9,4,3.4
Hurricane Eta and Iota in Guatemala,Tropical cyclone,GTM003,Guatemala,GTM,3.4,1.0161347517730497,5,4.2,3.9,1,5,4.45,4.3,3.1,0.1616778523489933,0.8,1.9500000000000002,3.5,0.1261934412619344,4.2,3.9,2.5,2.4906600249066003e-05,1.2,1.9,3.1,2.6
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,2.4,0.9857039187227866,4.9,3.6500000000000004,3.5,1,5,4.25,4,3.8,0.5779816513761468,2.9,3.3499999999999996,2.5,0.008412698412698413,0.3,1.4,3.3,3.19047619047619e-05,1.6,2.5,2,2.7
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,3.4,1,5,4.2,3.2,1,5,4.1,4.2,3.2,0.29482419742301813,1.4,2.3,3.4,0.09148148148148148,3,3.2,4.7,0.0006774074074074074,5,4.9,4.2,3.4
Hurricane Eta and Iota in Honduras,Tropical cyclone,HND002,Honduras,HND,3.4,1.0053624095093396,5,4.2,3.2,1,5,4.1,4.2,3.5,0.4518453810875737,2.2,2.85,3.8,0.1193813436442726,4,3.9,2.8,2.3682938617689704e-05,1.2,2,3.1,3
Multiple Crises in India,Multiple crises country,IND001,India,IND,5,0.712816537120063,3.5,4.25,5,0.6065710148353921,3,4,4.1,4.8,0.027545474698114265,0.1,2.4499999999999997,4.4,0.05160291841697988,1.7,3.1,4.7,8.58279902719434e-05,4.3,4.5,3.9,3.3
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.7,0.009265470772504286,0,1.85,2,x,x,x,x,x,x,x,x,3.5,x,x,3.5,3.5,3.5
Floods in India,Flood,IND005,India,IND,5,0.6380698845347926,3.2,4.1,5,0.6065710148353921,3,4,4.1,4.8,0.027545474698114265,0.1,2.4499999999999997,4.4,0.05160291841697988,1.7,3.1,4.6,7.349104576608446e-05,3.7,4.2,3.7,3.1
Regional Kashmir conflict,Regional crisis,REG003,"India, Pakistan","IND, PAK",4,0.3055378268991283,1.5,2.75,4.1,0.010877929793786052,0,2.05,2.4,4.6,1,5,4.8,x,x,x,x,3.6,1.8598081337178506e-05,0.9,2.3,2.3,3.9
Papua Conflict,Conflict,IDN002,Indonesia,IDN,4.4,0.2296681883669966,1.1,2.75,1.9,0.015122761986913804,0,0.95,1.9,3.4,1,5,4.2,x,x,x,x,2.2,1.0294936004451865e-05,0.5,1.4,1.4,3.1
