INFORM Severity Index - all countries. Release: November 2021,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Mixed migration flows in Tunisia,TUN002,Tunisia,TUN,International displacement,x,x,x,-,Low,4.2,4.3,4.2,x,x,x,2.1,2.9,1,Africa,2021-08-05 00:00:00
Complex situation in Turkey,TUR001,Turkey,TUR,Multiple crises country,3.4,4,High,Increasing,High,3.5,3.8,3.4,3,4,2,3.8,4.1,3.5,Middle east,2021-11-22 00:00:00
International Displacement in Tanzania,TZA002,Tanzania,TZA,International displacement,2.4,3,Medium,Increasing,Very High,3.1,2.3,3.4,2.15,2.3,2,2.3,3,1.5,Africa,2021-11-21 00:00:00
International Displacement in Uganda,UGA005,Uganda,UGA,International displacement,3.2,4,High,Stable,Medium,3.3,2.1,3.7,3.3,3.6,3,2.8,3.5,2,Africa,2021-09-17 00:00:00
Conflict in Ukraine,UKR002,Ukraine,UKR,Conflict,3.6,4,High,Stable,Medium,3.2,1.7,3.7,4.1,4.2,4,3,3,3,Europe,2021-05-30 00:00:00
Complex crisis in Venezuela,VEN001,Venezuela,VEN,Complex crisis,4.2,5,Very High,Stable,Medium,5,4.9,5,4,5,3,3.6,4.1,3,Americas,2021-06-09 00:00:00
Conflict in Yemen,YEM001,Yemen,YEM,Complex crisis,4.9,5,Very High,Decreasing,High,4.6,4.9,4.4,5,5,5,4.9,4.7,5,Middle east,2021-09-29 00:00:00
Drought in Zambia,ZMB002,Zambia,ZMB,Drought,3,3,Medium,Stable,Very High,3,4.3,2,3.35,3.7,3,2.3,2.1,2.5,Africa,2021-11-21 00:00:00
Complex crisis in Zimbabwe,ZWE001,Zimbabwe,ZWE,Complex crisis,3.5,4,High,Stable,High,3.6,4.6,2.8,3.85,4.7,3,3,3.4,2.5,Africa,2021-11-21 00:00:00
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
