,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,1.2,0.0972581276929103,0.4,0.8,0.8,0.33288435635943814,1.6,1.2000000000000002,1,0.7,0.04971098265895954,0.2,0.44999999999999996,2.8,1,5,3.9,0,0,0,0,2.4,1.5
Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,2.3,1,5,3.65,0,1,5,2.5,3.1,2.2,0.6330365974282888,3.1,2.6500000000000004,x,x,x,x,0,0,0,0,0,1.5
Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,2.3,1,5,3.65,0,1,5,2.5,3.1,0,0.02967359050445104,0.1,0.05,2.1,1,5,3.6,2.4,0.0017,5,3.7,3.7,2.3
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0,1,5,2.5,3.1,2.2,0.6320474777448071,3.1,2.6500000000000004,x,x,x,x,x,x,x,x,x,2.6500000000000004
Mixed migration flows in Algeria,International displacement,DZA002,Algeria,DZA,5,0.9996888830481568,5,5,5,1,5,5,5,x,x,x,x,x,x,x,x,4,x,x,4,4,4
Sahrawi refugees in Algeria,International displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.005174013921113689,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,3.2,1,5,4.1,0,0,0,0,2.6,2.6
Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,5,0.9996888830481568,5,5,5,1,5,5,5,x,x,x,x,x,x,x,x,4,x,x,4,4,4
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,0.9,0.013887099371879529,0,0.45,2.5,0.366496025865553,1.8,2.15,1.4,2.2,0.11486859033265943,0.5,1.35,3.7,0.6656,5,4.4,0,1.6e-06,0.1,0.1,2.9,2.2
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,4.5,0.21799418257162212,1.1,2.8,2.4,3.3,0.14412356059221348,0.7,2,3.9,0.15948002536461636,5,4.5,0,0,0,0,2.9,2.5
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,3.3,1,5,4.15,1.7,1,5,3.35,3.8,3.2,0.8001239541369694,4,3.6,3.6,0.12161115414407436,4.1,3.9,0,0,0,0,2.4,3.1
