,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
KEN005,240,240,240,240,240,240,240,240,240,240,277,277,277,277,277,277,277,277,277,277,247.4
LBN002,240,0,0,0,95,0,0,0,0,0,240,65,65,65,65,65,65,65,65,65,40
LBN004,277,0,123,277,0,123,123,123,123,123,277,65,65,65,65,65,65,65,65,65,135.7
LBY001,277,277,277,125,68,277,277,277,277,277,277,65,65,65,65,65,65,65,65,65,219.7
LBY002,125,125,114,114,68,116,125,125,125,125,277,65,65,65,65,65,65,65,65,65,125.4
LSO002,551,93,93,114,732,93,93,93,93,93,732,66,66,66,66,66,66,66,66,66,220.2
MAR002,124,235,235,235,68,429,429,429,429,429,716,65,65,65,65,65,65,65,65,65,346.4
MDG002,2,2,2,114,93,2,2,2,2,2,577,66,66,66,66,66,66,66,66,66,86.2
MEX001,429,416,429,215,3,416,429,416,429,429,429,429,429,429,429,429,429,429,429,429,362.4
MEX002,429,416,416,429,3,416,429,416,429,429,429,429,429,429,429,429,429,429,429,429,382.5
MEX003,429,416,416,416,3,416,416,416,429,429,429,429,429,429,429,429,429,429,429,429,379.9
MEX004,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
MLI001,118,2,212,2,2,212,212,212,212,520,738,62,62,62,62,62,62,62,62,62,238.4
MMR001,307,307,307,46,62,307,307,65,65,307,307,62,62,62,62,62,62,62,62,62,183.5
MMR002,307,307,307,46,62,108,307,307,307,307,307,62,62,62,62,62,62,62,62,62,212
MMR003,619,307,307,65,62,307,307,65,65,307,307,62,62,62,62,62,62,62,62,62,185.4
MOZ001,551,3,3,3,3,3,3,3,3,3,551,63,63,63,63,63,63,63,63,63,63.8
MOZ004,676,3,3,3,3,3,3,3,3,3,63,460,164,460,460,460,460,165,460,460,54.7
MOZ006,359,2,3,187,359,3,3,3,3,3,359,359,359,359,359,359,359,359,359,359,128.2
MRT002,717,97,97,97,583,97,97,97,97,97,717,65,65,65,65,65,65,65,65,65,204.4
MRT003,125,45,45,158,158,45,45,45,45,45,158,65,65,65,65,65,65,65,65,65,80.9
MWI002,678,93,2,521,2,2,2,2,2,2,520,66,66,66,66,66,66,66,66,66,112.1
NAM002,359,93,93,359,93,93,93,93,93,93,359,66,66,66,66,66,66,66,66,66,143.5
NER001,719,2,2,2,2,2,2,2,2,2,719,62,62,62,62,62,62,62,62,62,79.7
NER002,719,2,2,2,2,2,2,2,2,2,719,62,62,62,62,62,62,62,62,62,79.7
NER003,719,2,2,2,2,2,2,2,2,2,719,62,62,62,62,62,62,62,62,62,79.7
NER004,2,2,2,2,2,2,2,2,2,2,412,62,62,62,62,62,62,62,62,62,49
NER005,118,2,118,118,118,118,118,118,118,118,118,62,62,62,62,62,62,62,62,62,112.4
NGA001,578,2,2,2,2,2,2,2,2,2,578,66,66,66,66,66,66,66,66,66,66
NGA003,62,2,2,2,2,2,2,2,2,2,579,66,66,66,66,66,66,66,66,66,66.1
NGA004,580,248,278,2,2,278,278,278,278,278,580,66,66,66,66,66,66,66,66,66,231.8
NGA007,278,2,2,2,2,2,2,2,2,2,412,66,66,66,66,66,66,66,66,66,49.4
NGA008,387,62,62,62,62,62,62,62,62,62,368,66,66,66,66,66,66,66,66,66,93
NIC001,360,117,738,117,3,458,458,458,738,738,738,458,458,458,458,458,458,458,458,458,490.4
NIC002,62,62,3,62,62,3,3,62,62,62,62,62,62,62,62,62,62,62,62,62,44.3
PAK001,117,117,117,485,3,117,117,117,117,117,724,62,62,62,62,62,62,62,62,62,197.6
PAK004,622,622,704,368,3,431,704,704,704,704,704,62,62,62,62,62,62,62,62,62,508.8
PER002,360,360,3,3,117,3,2,2,2,2,716,457,62,457,457,457,62,457,457,457,130.7
PHL001,62,62,3,3,3,3,3,3,3,3,412,62,62,62,62,62,62,62,62,62,49.8
PHL003,429,429,3,3,3,3,3,3,3,3,429,62,62,62,62,62,62,62,62,62,51.5
PHL004,412,412,121,121,240,121,121,121,121,121,412,62,62,62,62,62,62,62,62,62,156.1
PHL009,46,3,3,3,3,3,3,3,3,3,3,62,62,62,62,62,62,62,62,62,8.9
PRK001,734,438,438,457,62,307,307,307,307,307,734,65,65,65,65,65,65,65,65,65,329.1
PSE002,124,116,158,68,0,158,158,158,158,158,724,65,65,65,65,65,65,65,65,65,180.5
REG001,248,2,2,2,2,2,2,2,2,2,641,66,66,66,66,66,66,66,66,66,72.3
REG002,360,3,3,3,429,3,3,3,3,3,642,457,457,457,457,457,457,457,457,457,154.9
REG003,440,440,117,440,62,440,647,647,647,647,647,62,62,62,62,62,62,62,62,62,435.6
REG004,0,0,0,0,62,0,0,0,0,0,621,65,65,65,65,65,65,65,65,65,74.8
REG006,624,624,624,624,45,624,624,624,624,624,624,62,62,62,62,62,62,62,62,62,509.9
REG007,646,646,646,646,45,646,646,646,646,646,646,62,62,62,62,62,62,62,62,62,527.5
REG008,646,646,646,646,45,646,646,646,646,646,646,62,62,62,62,62,62,62,62,62,527.5
REG011,307,46,46,46,62,46,46,46,46,46,95,62,62,62,62,62,62,62,62,62,54.1
REG012,2,2,2,62,62,2,2,2,2,2,353,66,66,66,66,66,66,66,66,66,55.5
REG013,67,4,4,4,88,88,88,88,88,88,88,67,67,67,67,67,67,67,67,67,69.1
RWA002,716,2,2,2,93,2,2,2,2,2,716,66,66,66,66,66,66,66,66,66,88.9
SDN001,359,359,3,3,3,188,188,359,359,359,359,63,63,63,63,63,63,63,63,63,188.4
SDN005,359,3,3,3,359,307,307,307,307,307,63,359,359,359,359,359,359,359,359,359,232.2
SDN006,117,107,3,117,87,107,107,107,107,107,163,163,163,163,163,163,163,163,163,163,106.8
SDN007,40,40,3,3,40,3,3,3,3,3,40,40,40,40,40,40,40,40,40,40,14.1
SEN002,118,2,2,416,738,2,2,2,2,2,738,62,62,62,62,62,62,62,62,62,196.6
SLV001,116,117,117,117,3,3,3,3,3,117,718,458,458,458,458,458,458,458,458,458,154.2
SOM001,468,359,359,191,87,63,63,63,63,63,731,63,63,63,63,63,63,63,63,63,174.6
SOM002,191,191,191,191,163,643,643,191,191,191,643,458,458,458,458,458,458,458,458,458,350.5
SOM004,191,191,191,191,191,191,191,191,276,276,276,276,276,276,276,276,276,276,276,276,225
SSD001,583,551,551,63,63,492,492,492,492,492,583,63,63,63,63,63,63,63,63,63,378.3
SWZ001,117,93,93,353,93,93,93,93,93,93,359,66,66,66,66,66,66,66,66,66,142.9
SYR001,124,163,163,68,0,0,0,0,0,0,732,65,65,65,65,65,65,65,65,65,102.8
TCD001,40,4,40,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,32.8
