,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,1.644,0.043,0.043,0,0,1.1,0.9502890173410404,0.02485549132947977,0.02485549132947977,0,0,1,1.05
Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,0.372,0.329,0.203,0.107,0,2.5,0.36795252225519287,0.3254203758654797,0.20079129574678536,0.10583580613254204,0,4,3.25
Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,0.981,0,0.03,0,0,0.8,0.9703264094955489,0,0.02967359050445104,0,0,1,0.9
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,0.372,0.329,0.203,0.107,0,2.5,0.36795252225519287,0.3254203758654797,0.20079129574678536,0.10583580613254204,0,4,3.25
Mixed migration flows in Algeria,International displacement,DZA002,Algeria,DZA,x,x,x,x,x,x,x,x,x,x,x,x,x
Sahrawi refugees in Algeria,International displacement,DZA003,Algeria,DZA,0.049,0.084,0.09,0,0,1.6,0.21973094170403587,0.37668161434977576,0.40358744394618834,0,0,3,2.3
Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,x,x,x,x,x,x,x,x,x,x,x,x,x
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,4.817,0.209,0.416,0,0,2.7,0.8853151994118729,0.03841205660724131,0.07645653372541812,0,0,3,2.85
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,18.731,3.03,3.03,0.087,0,4.2,0.8559221348930726,0.13845732041674283,0.13845732041674283,0.003975507219886675,0,3,3.6
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,0.645,0,2.582,0,0,4,0.19987604586303068,0,0.8001239541369694,0,0,3,3.5
Mixed migration flows in spain,International displacement,ESP002,Spain,ESP,11.943,0,0.04,0,0,1,0.9966619377451389,0,0.003338062254861053,0,0,1,1
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,10.455,10.296,6.497,1.977,0,4.9,0.35774165953806675,0.3523011120615911,0.22230966638152266,0.06764756201881951,0,4,4.45
Flood Crisis in Ethiopia,Flood,ETH002,Ethiopia,ETH,61.221,0.221,0.401,0,0,2.7,0.9882005423553719,0.0035672778925619833,0.006472753099173553,0,0,1,1.85
International Displacement,International displacement,ETH003,Ethiopia,ETH,71.612,0,0.769,0,0,3.1,0.989375664884431,0,0.010624335115569003,0,0,1,2.05
Crisis in Tigray,Conflict,ETH004,Ethiopia,ETH,0,0,5.126,0,0.03,4.5,0,0,0.9941815360744763,0,0.0058184639255236615,3,3.75
Tropical cyclone Yasa in Fiji,Tropical cyclone,FJI002,Fiji,FJI,0.797,0.08,0.013,0,0,0.2,0.895505617977528,0.0898876404494382,0.014606741573033709,0,0,2,1.1
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,0.214,0.101,0.02,0,0,0.5,0.6407185628742516,0.3023952095808383,0.059880239520958084,0,0,3,1.75
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,4.931,6.669,2.872,0.428,0,4.2,0.33093959731543626,0.4475838926174497,0.192751677852349,0.0287248322147651,0,3,3.6
Hurricane Eta and Iota in Guatemala,Tropical cyclone,GTM003,Guatemala,GTM,7.101,0.639,1.8,0,0,3.8,0.4765771812080537,0.04288590604026846,0.12080536912751678,0,0,3,3.4
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,6.458,1.4,0.95,0.35,0,3.5,0.7051758025769819,0.15287180607119458,0.1037344398340249,0.038217951517798644,0,3,3.25
Hurricane Eta and Iota in Honduras,Tropical cyclone,HND002,Honduras,HND,2.79,1.9,2.8,0,0,4.1,0.30465167067045207,0.2074688796680498,0.30574361214238915,0,0,3,3.55
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,0.6,2.3,3.083,0.905,0,4.3,0.05504587155963303,0.21100917431192662,0.2828440366972477,0.08302752293577982,0,4,4.15
