,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
JOR002,62,0,0,0,0,0,0,0,0,0,1215,166,166,166,166,166,166,166,166,166,138.1,,
KEN001,103,3,3,3,218,3,3,3,3,3,3,167,167,167,167,167,167,167,167,167,40.9,,
KEN002,103,103,3,3,494,3,3,3,3,3,103,167,167,167,167,167,167,167,167,167,78.5,,
KEN003,103,3,3,494,421,3,3,3,3,3,494,168,168,168,168,168,168,168,168,168,159.5,,
LAO003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
LBN002,118,0,0,62,0,0,0,0,0,0,1243,166,166,166,166,166,166,166,166,166,147.1,,
LBN004,118,62,62,0,0,62,62,62,62,62,1280,166,166,166,166,166,166,166,166,166,181.8,,
LBY001,36,3,3,3,3,3,3,3,3,3,35,36,36,36,36,36,36,36,36,36,9.5,,
LBY002,36,3,3,3,3,3,3,3,3,3,457,167,167,167,167,167,167,167,167,167,64.8,,
LBY003,36,3,3,3,3,3,3,3,3,3,36,36,36,36,36,36,36,36,36,36,9.6,,
LKA001,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
LKA002,6,6,6,6,6,6,6,6,6,6,104,167,167,167,167,167,167,167,167,167,31.9,,
LKA003,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
MAR001,35,3,3,3,3,3,3,3,3,3,35,35,35,35,35,35,35,35,35,35,9.4,,
MAR002,457,3,3,3,3,3,3,3,3,3,457,167,167,167,167,167,167,167,167,167,64.8,,
MAR003,35,3,3,3,3,3,3,3,3,3,35,35,35,35,35,35,35,35,35,35,9.4,,
MDA002,7,7,7,7,7,7,7,7,7,7,457,170,170,170,170,170,170,170,170,170,68.3,,
MDG001,0,0,0,0,0,0,0,0,0,0,153,167,167,167,167,167,167,167,167,167,32,,
MDG002,0,0,0,0,0,0,0,0,0,0,153,167,167,167,167,167,167,167,167,167,32,,
MDG008,0,0,0,0,0,0,0,0,0,0,153,167,167,167,167,167,167,167,167,167,32,,
MEX001,217,217,1,1,1,34,1,1,217,217,217,167,167,167,167,167,167,167,167,167,85.7,,
MEX002,217,217,217,217,1,217,217,217,217,217,217,167,167,167,167,167,167,167,167,167,190.4,,
