,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,5,1.0343221366974702,5,5,5,1,5,5,5,4.9,0.24339681721063877,1.2,3.0500000000000003,5,0.3970638313973287,5,5,4.6,6.610163078436565e-05,3.3,4,4.6,4
Complex crisis in Congo,Conflict,COG001,Congo,COG,4.2,1,5,4.6,2.5,1,5,3.75,4.2,1.6,0.050517241379310344,0.2,0.9,3,0.45733788395904434,5,4,0,3.4129692832764506e-06,0.2,0.1,2.5,1.8
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,5,1,5,5,5,1,5,5,5,4.2,0.18992248062015504,0.9,2.5500000000000003,5,0.5558163265306122,5,5,3.4,2.6020408163265307e-05,1.3,2.4,4.1,3.4
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,2.6,0.031101397025687247,0.1,1.35,4.7,0.49498062015503874,2.4,3.55,2.6,4.7,0.8738107356798872,4.4,4.550000000000001,4.9,0.12949188995429697,4.3,4.6,1.4,4.480688233712698e-07,0,0.7,3.2,4
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,0,0.01965178221699961,0,0,1.3,0.4495597945707997,2.2,1.75,0.9,1.4,0.09098327213382293,0.4,0.8999999999999999,3.4,1,5,4.2,x,x,x,x,4.2,2.9
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.2,0.5922165820642978,2.9,2.55,1.8,0.027142857142857142,0.9,1.4,0.9,5.7142857142857145e-06,0.3,0.6,1,1.8
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,1.4,0.31492666091458155,1.5,1.45,0,0.571912013536379,2.8,1.4,1.4,0,0.019230769230769232,0,0,1.6,1,5,3.3,0.9,0.0003076923076923077,5,3,3.2,1.9
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.2,0.5812182741116751,2.9,2.55,1.1,0.008733624454148471,0.3,0.7,0,0,0,0,0.4,1.6
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,2.8,1,5,3.9,3.5,1.2529569292568623,5,4.25,4.1,0.9,0.010241339389081842,0,0.45,3,1.0782608695652174,5,4,x,x,x,x,4,2.6
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.5,0.0057444903129982745,0,0.75,3.5,1,5,4.3,2.1,0.00011787072243346008,5,3.6,4,2.7
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.004870803573378765,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,x,x,x,x,0,0,0,0,0,1.4
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,5,1,5,5,5,1.0048708035733787,5,5,5,1.9,0.009498761031169848,0,0.95,3.5,0.6018306636155606,5,4.3,2.2,7.780320366132724e-05,3.9,3.1,3.8,2.6
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,4,1,5,4.5,4.2,1,5,4.6,4.6,4,0.4217543469807233,2.1,3.05,3.8,0.06256585879873551,2.1,3,0,0,0,0,1.7,2.4
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,3.9,0.12672758120957195,0.6,2.25,2.1,1.8,0.027194756293145526,0.1,0.9500000000000001,3.7,1,5,4.4,0,0,0,0,2.8,2
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,3.3,1,5,4.15,1.9,1,5,3.45,3.8,2.6,0.2920870950610728,1.4,2,3.6,0.3209090909090909,5,4.3,0,0,0,0,2.8,2.4
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,3.3,0.1999160352651886,0.9,2.1,3.6,0.25736718026437655,1.2,2.4,2.3,1.4,0.017093318066573975,0,0.7,3.3,1,5,4.2,3.2,0.0008899521531100478,5,4.1,4.2,2.9
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,5,1.128571,5,5,5,1,5,5,5,5,0.6759511563076681,3.4,4.2,5,0.06194309878135201,2.1,3.6,4.8,2.4744711253615865e-05,1.2,3,3.3,3.8
International Displacement,Displacement,ETH003,Ethiopia,ETH,5,1.128571,5,5,5,1,5,5,5,5,0.32964780713808944,1.6,3.3,4.3,0.022558898496867482,0.8,2.6,x,x,x,x,2.6,3
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,4.1,0.299,1.4,2.75,5,0.24029211983195256,1.2,3.1,2.9,5,1,5,5,5,0.09545751633986928,3.2,4.1,4.8,6.96078431372549e-05,3.5,4.2,4.2,4.6
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,4.8,0.784308,3.9,4.35,5,0.49000746004947193,2.4,3.7,4,4.8,0.38621794871794873,1.9,3.3499999999999996,4.2,0.03377593360995851,1.1,2.7,2,9.95850622406639e-07,0,1,1.9,2.7
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,1.7,0.07584173778122576,0.3,1,0,0.052805905176492855,0.2,0.1,0.6,1.2,0.3100358422939068,1.5,1.35,2.8,0.5491329479768786,5,3.9,2.9,0.0006647398843930636,5,4,4,2.9
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,3.4,1,5,4.2,4.1,1,5,4.55,4.4,3.7,0.28901734104046245,1.4,2.55,3.4,0.0484,1.6,2.5,3.4,4.66e-05,2.3,2.9,2.7,2.6
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,3.4,1,5,4.2,3.3,1,5,4.15,4.2,3.3,0.3333333333333333,1.6,2.45,3.4,0.0771875,2.6,3,3.6,0.000104375,5,4.3,3.7,3.1
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.4,1,5,3.7,3.5,1,5,4.25,4,4,0.6578947368421053,3.3,3.65,3.1,0.021066666666666668,0.7,1.9,4.1,9.28e-05,4.6,4.4,3.4,3.5
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,1.8,0.46629172714078376,2.3,2.05,2.7,0.5639473684210526,2.8,2.75,2.4,2.2,0.10732617825478301,0.5,1.35,1.8,0.02463768115942029,0.8,1.3,4.8,0.0032579710144927535,5,4.9,3.7,2.7
Displacement from Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,1.8,0.13613166905998011,0.6,1.2,1.9,0.3766047037075074,1.9,1.9,1.6,0.4,0.014453231524406873,0,0.2,2.5,1,5,3.8,0,0,0,0,2.3,1.4
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,4.4,0.23294214410704528,1.1,2.75,2.5,0.020124864458778816,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.018389113644722323,0.6,1.8,2.5,1.0114012504597279e-05,0.5,1.5,1.7,3.3
Country Level,"Earthquake,Socio-political,Violence",IDN007,Indonesia,IDN,4.4,0.2402992983986266,1.1,2.75,4.5,0.08252378679042088,0.4,2.45,2.6,3.9,0.32458854657159514,1.6,2.75,3.3,0.029704338214976513,1,2.2,2.5,7.5987841945288756e-06,0.4,1.5,1.9,2.3
Earthquake in West Java province,Earthquake,IDN008,Indonesia,IDN,1.9,0.007357154291581336,0,0.95,4.1,0.06239892233164208,0.3,2.1999999999999997,1.6,2.9,0.10675523397188778,0.5,1.7,2.9,0.06388888888888888,2.1,2.5,0,0,0,0,1.4,1.6
Conflict in Jammu and Kashmir,Socio-political,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.9,0.010486413246761056,0,1.95,2,x,x,x,x,3.6,x,x,3.6,2.7,x,x,2.7,3.2,3.2
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,4,0.1470818291215403,0.6,2.3,4.6,0.27806965463934846,1.4,3,2.7,3.6,0.18035692704346776,0.9,2.25,5,1,5,5,x,x,x,x,5,4
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,1,5,5,4.7,3.7,0.12535958288385474,0.6,2.15,5,1.1875224094657584,5,5,3.7,6.937970598780926e-05,3.5,3.6,4.4,3.5
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,0.9817062207838907,4.9,4.95,4.7,3.7,0.12133144086809212,0.6,2.15,5,1.1988679245283018,5,5,3.7,7.30188679245283e-05,3.7,3.7,4.5,3.6
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,2.6,0.08288819303739178,0.3,1.45,2.7,0.14324883135562747,0.7,1.7000000000000002,1.6,2.2,0.10903671164104173,0.5,1.35,3.5,0.4,5,4.3,0,0,0,0,2.8,2.1
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,2.7,0.13957639219419324,0.6,1.6500000000000001,2.8,0.1152276668820349,0.5,1.65,1.7,1.8,0.05636712409620776,0.2,1,3.7,1,5,4.4,4.6,0.00468848167539267,5,4.8,4.6,3.3
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,2.7,0.4557670646542014,2.2,2.45,3.2,0.7916558018252934,3.9,3.55,3,2.9,0.20191040843214755,1,1.95,4.5,0.7172376291462752,5,4.8,0.9,2.175095160413268e-06,0.1,0.5,3.4,2.7
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5366100287102075,2.7,3.8000000000000003,4.3,4.9,0.9811898512685914,4.9,4.9,4,0.02122843718920402,0.7,2.4,x,x,x,x,2.4,4
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.2,0.020729130929380113,0.1,0.15000000000000002,0.8,2.1,0.5130662020905923,2.5,2.3,4,1,5,4.5,x,x,x,x,4.5,3.6
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5158989545150864,2.6,3.75,4.3,4.9,1,5,4.95,x,x,x,x,x,x,x,x,x,4.95
2023 Floods in Laos,Floods,LAO003,Laos,LAO,3.7,0.7311525129982669,3.6,3.6500000000000004,2.6,0.7964530431277711,4,3.3,3.5,0.9,0.018556005398110663,0,0.45,0,0,0,0,1.1,5.4545454545454546e-05,2.7,1.9,1,0.7
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,4.5,0.2631578947368421,5,4.8,0,0,0,0,3.2,3.9
