,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,0.049,0.084,0.09,x,x,1.6,0.21973094170403587,0.37668161434977576,0.40358744394618834,x,x,3,2.3
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,45.569,0.084,0.353,x,x,2.6,0.9905012389688301,0.0018258488023301309,0.007672912228839717,x,x,1,1.8
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,10.409,7.189,0.403,x,x,2.7,0.5782456530192767,0.39936670184989725,0.022387645130826066,x,x,2,2.35
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,13.951,0,0.39,x,x,2.7,0.9728052437068545,0,0.027194756293145526,x,x,1,1.85
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,2.666,0,1.1,x,x,3.4,0.7079129049389272,0,0.2920870950610728,x,x,3,3.2
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,12.018,0,0.209,x,x,2.2,0.982906681933426,0,0.017093318066573975,x,x,1,1.6
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,41.266,57.479,28.6,x,x,5,0.32404884369233183,0.45136440378499354,0.22458675252267463,x,x,3,4
International Displacement,Displacement,ETH003,Ethiopia,ETH,85.366,41.032,0.947,x,x,3.3,0.6703521928619106,0.32221131571714634,0.0074364914209431076,x,x,2,2.65
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,0,21.8,8.8,x,x,4.9,0,0.7124183006535948,0.2875816993464052,x,x,3,3.95
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,38.3,6.9,17.2,x,x,5,0.6137820512820513,0.11057692307692307,0.27564102564102566,x,x,3,4
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,0.385,0.078,0.095,x,x,1.6,0.6899641577060932,0.13978494623655913,0.17025089605734767,x,x,3,2.3
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,12.3,0,4.55,0.45,0,4.5,0.7109826589595376,0,0.2630057803468208,0.02601156069364162,0,3,3.75
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,6.4,0,1.632,1.568,0,4.2,0.6666666666666666,0,0.17,0.16333333333333333,0,4,4.1
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,3.9,2.6,2.7,1.4,0.8,4.5,0.34210526315789475,0.22807017543859648,0.23684210526315788,0.12280701754385964,0.07017543859649122,5,4.75
