,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,2.4,1,5,3.7,3.5,1,5,4.25,4,4,0.6578947368421053,3.3,3.65,2.8,0.011333333333333334,0.4,1.6,3.4,3.226666666666667e-05,1.6,2.5,2.1,3
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,1.8,0.46629172714078376,2.3,2.05,2.7,0.5639473684210526,2.8,2.75,2.4,2.3,0.1244361487011977,0.6,1.45,2.3,0.04875,1.6,2,4.8,0.00281,5,4.9,3.9,2.9
Displacement from Ukraine conflict in Hungary,International displacement,HUN002,Hungary,HUN,0,0.003037667071688943,0,0,0,0.05121134528264723,0.2,0.1,0.1,1.8,0.7769230769230769,3.9,2.85,3.7,1,5,4.4,0,0,0,0,2.8,2.8
Papua Conflict,Conflict,IDN002,Indonesia,IDN,4.4,0.23294214410704528,1.1,2.75,2.5,0.020124864458778816,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.018389113644722323,0.6,1.8,2.2,6.4361897756528135e-06,0.3,1.3,1.6,3.3
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.7,0.009265470772504286,0,1.85,2,x,x,x,x,x,x,x,x,0.7,x,x,0.7,0.7,0.7
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,4,0.1470818291215403,0.6,2.3,4.6,0.29933916986228687,1.5,3.05,2.7,3.4,0.13696974580026589,0.6,2,5,1,5,5,x,x,x,x,5,3.9
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,0.9850695540287927,4.9,4.95,4.7,3.7,0.137766167192429,0.6,2.15,5,1.5198568872987477,5,5,4.5,0.00026153846153846154,5,4.8,4.9,3.9
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,0.9850695540287927,4.9,4.95,4.7,3.7,0.13061908517350157,0.6,2.15,5,1.5545283018867924,5,5,4.5,0.0002758490566037736,5,4.8,4.9,3.9
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,2.7,0.09357846748940873,0.4,1.55,2.4,0.12502731179141074,0.6,1.5,1.5,2,0.10135922330097087,0.5,1.25,3.4,0.49233716475095785,5,4.2,x,x,x,x,4.2,3
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,2.7,0.1395729924525736,0.6,1.6500000000000001,2.8,0.10906319506011541,0.5,1.65,1.7,1.4,0.02966343411294923,0.1,0.75,3.3,1,5,4.2,4.1,0.0033461538461538464,5,4.6,4.4,3.1
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,2.7,0.4557670646542014,2.2,2.45,3.1,0.8058486026281695,4,3.55,3,2.9,0.2111851171336702,1,1.95,4.5,0.7172376291462752,5,4.8,0,0,0,0,3.2,2.6
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,4.5,0.9123238570474751,4.6,4.55,4.1,0.3098882074516087,1.5,2.8,3.8,4.5,0.9362296445976465,4.7,4.6,3.9,0.03453310480543389,1.2,2.6,0,0,0,0,1.5,3.5
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.1,0.02031419783781793,0.1,0.1,0.8,2.1,0.4932003626473255,2.4,2.25,3.9,1,5,4.5,0,0,0,0,2.9,2.6
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.5,0.9123238570474751,4.6,4.55,4.1,0.3098882074516087,1.5,2.8,3.8,4.5,0.9311779389040771,4.7,4.6,0,0,0,0,0,0,0,0,0,3
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.8,0.9204395604395604,4.6,4.199999999999999,4.5,0.24339382362304998,5,4.8,x,x,x,x,4.8,4.5
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.8,0.9204395604395604,4.6,4.199999999999999,x,x,x,x,1.8,2.7061445399554283e-06,0.1,1,1,3
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,5,1,5,5,3,1,5,4,4.6,2.8,0.18292682926829268,0.9,1.8499999999999999,4.6,1.03,5,4.8,4.2,0.0006166666666666666,5,4.6,4.7,3.6
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,5,1,5,5,3,1,5,4,4.6,2.2,0.08280487804878049,0.4,1.3,4,1,5,4.5,4.2,0.0013136966126656847,5,4.6,4.6,3.4
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,2.5,0.9998353096179183,5,3.75,0.6,0.7028571428571428,3.5,2.05,3,2.4,0.5867208672086721,2.9,2.65,x,x,x,x,0,0,0,0,0,1.5
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,x,x,x,x,x,x,x,x,2.8,x,x,2.8,2.8,2.8
DIsplacement from Ukraine conflict in Moldova,International displacement,MDA002,Moldova,MDA,0.3,0.04852449041679343,0.1,0.2,0,0.07547864506627393,0.3,0.15,0.2,0.8,0.4682926829268293,2.3,1.5499999999999998,2.8,1,5,3.9,0,0,0,0,2.4,2
Multiple crisis in Madagascar,Multiple crises country,MDG001,Madagascar,MDG,4.6,1,5,4.8,4.8,1,5,4.9,4.9,3.6,0.167,0.8,2.2,2,0.005544466622310933,0.2,1.1,3.4,5.744067420714127e-05,2.9,3.2,2.3,2.3
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,2.7,0.2351111111111111,1.1,1.9000000000000001,2.2,3.4,0.5590737240075614,2.8,3.0999999999999996,0.7,0.0008453085376162299,0,0.4,2.5,1.4933784164553396e-05,0.7,1.6,1,2.2
Tropical Cyclones Season in 2022 in Madagascar,Tropical cyclone,MDG006,Madagascar,MDG,4.6,1,5,4.8,4.8,1,5,4.9,4.9,2.5,0.035555555555555556,0.1,1.3,1.9,0.022916666666666665,0.8,1.4,3.3,0.00021458333333333334,5,4.2,3.1,2.3
