,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.06283891547049442,0.3,0.15,1.2,1.7,0.399746192893401,2,1.85,3.4,0.819047619047619,5,4.2,2.8,0.0002888888888888889,5,3.9,4.1,3.2
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.16627615062761505,0.7,2.3,2.9,0.60207336523126,3,2.95,2.6,2.9,0.23165562913907284,1.1,2,3.6,0.1926815323041738,5,4.3,4.2,0.0004894225271583762,5,4.6,4.5,3.5
Nigerian Refugees,Displacement,NER004,Niger,NER,2.7,0.03299597379016342,0.1,1.4000000000000001,2.1,0.3350877192982456,1.6,1.85,1.6,2.4,0.19585911470728223,0.9,1.65,2.7,0.0959902794653706,3.2,3,1.4,1.0935601458080194e-05,0.5,1,2.1,1.9
Complex crisis in Nigeria,"Conflict,Displacement,Violence",NGA001,Nigeria,NGA,4.9,1,5,4.95,5,0.8516538163638924,4.3,4.65,4.8,5,0.4587155015166156,2.3,3.65,5,0.0660455999639526,2.2,3.6,5,4.416933267246429e-05,2.2,3.6,3.6,3.6
Middle belt conflict,Violence,NGA003,Nigeria,NGA,3.6,0.15697047553169297,0.7,2.15,4.2,0.07921419518377694,0.3,2.25,2.2,4,0.4691666666666667,2.3,3.15,3.8,0.055654233274126705,1.9,2.9,4,7.613972764949674e-05,3.8,3.9,3.4,3.3
Lake Chad basin crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,3.7,0.17338954950206967,0.8,2.25,4,0.07085269680326714,0.3,2.15,2.2,4.5,1,5,4.75,5,0.28645962732919256,5,5,4.6,0.0001,5,4.8,4.9,4.8
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,4,0.26099673902302445,1.2,2.6,5,0.18812491198422757,0.9,2.95,2.8,4.8,0.5436277720595115,2.7,3.75,4.1,0.029863591376565257,1,2.6,4.5,6.166358277034295e-05,3.1,3.8,3.3,3.5
Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,3.4,0.11953511863587953,0.5,1.95,3.7,0.055779995775242924,0.2,1.9500000000000002,2,0.7,0.006863905325443787,0,0.35,2.8,1,5,3.9,x,x,x,x,3.9,2.5
Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,3.5,1,5,4.25,2.9,1,5,3.95,4.1,1.5,0.03473186996387886,0.1,0.8,3.4,1,5,4.2,0.7,1.2e-05,0.6,0.7,2.9,2
Karnali Earthquake,Earthquake,NPL003,Nepal,NPL,3.3,0.6370073247296826,3.1,3.2,3.6,0.41049202811589236,2,2.8,3,2.9,0.1364851319746074,0.6,1.75,2.5,0.03549571603427173,1.2,1.9,3.1,9.363525091799266e-05,4.7,3.9,3.1,2.5
Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,4.8,1,5,4.9,5,0.9837514522293517,4.9,4.95,4.9,5,0.3939983224347231,1.9,3.45,5,0.03810835142720966,1.3,3.2,4.4,1.3472435524016312e-05,0.7,2.6,2.9,3.2
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,1.9,0.01724911789124118,0,0.95,2.1,0.017902960289994295,0,1.05,1,x,x,x,x,x,x,x,x,0.4,x,x,0.4,0.4,0.4
Floods in Pakistan ,Other seasonal event,PAK005,Pakistan,PAK,4.7,0.8689173412204234,4.3,4.5,5,0.13547298545512765,0.6,2.8,3.8,5,1,5,5,3.5,0.00909090909090909,0.3,1.9,4.6,5.26969696969697e-05,2.6,3.6,2.9,4.2
Venezuela displacement in Panama,Displacement,PAN002,Panama,PAN,3.1,1,5,4.05,0,0.013404206147446267,0,0,2.5,0.4,1,5,2.7,2.5,1,5,3.8,1.3,0.00013793103448275863,5,3.2,3.5,3.1
Venezuela displacement in Peru,Displacement,PER002,Peru,PER,3.8,0.14790234375,0.7,2.25,5,1,5,5,4,4.4,0.42939794419970634,2.1,3.25,4.6,0.11011558716914027,3.7,4.2,0.9,2.7357909855687027e-07,0,0.5,2.8,3
Mindanao conflict,"Conflict,Violence",PHL003,Philippines,PHL,3.3,0.3352081027601704,1.6,2.45,4.7,0.24077114268157346,1.2,2.95,2.7,1.1,0.005561481030016761,0,0.55,3.1,1,5,4.1,3.3,0.0014589041095890412,5,4.2,4.2,2.8
Multiple crises in Papua New Guinea,0,PNG001,Papua New Guinea,PNG,3.1,0.1580333878019697,0.7,1.9,3.2,0.7751655067051434,3.9,3.55,2.8,1.7,0.03405233767655754,0.1,0.9,2.2,0.1189710610932476,4,3.1,3.2,0.000572347266881029,5,4.1,3.6,2.5
Highlands Violence,Earthquake,PNG003,Papua New Guinea,PNG,3,0.14061520116592324,0.6,1.8,2.2,0.3875403157358683,1.9,2.05,1.9,1.5,0.05803766973280771,0.2,0.85,2.1,0.1169811320754717,3.9,3,3.2,0.0006716981132075472,5,4.1,3.6,2.5
2023 Ulawun Volcano Eruption in Papua New Guinea,Volcano Eruption,PNG004,Papua New Guinea,PNG,1.5,0.01741818663604646,0,0.75,2.2,0.3875403157358683,1.9,2.05,1.4,0.3,0.01029347349978099,0,0.15,1.8,0.3617021276595745,5,3.4,0,0,0,0,2,1.2
Displacement from Russia-Ukraine conflict in Poland,"Displacement,Conflict",POL002,Poland,POL,4.1,1,5,4.55,5,1,5,5,4.8,2.5,0.02533220392821219,0.1,1.3,4.3,1,5,4.7,0,0,0,0,3.1,2.3
Complex crisis in DPRK,"Socio-political,Floods,Other seasonal event,Food Security",PRK001,DPRK,PRK,3.5,1,5,4.25,4.7,1,5,4.85,4.6,4.9,1,5,4.95,2.2,0.0012990982729634724,0,1.1,0,3.8208772734219774e-08,0,0,0.6,3.5
Conflict in Palestine,"Conflict,Socio-political,Violence",PSE002,Palestine,PSE,1.3,1,5,3.15,2.5,0.9891323712809549,4.9,3.7,3.4,3.6,0.8503242074927954,4.2,3.9000000000000004,5,1.3857233636941326,5,5,5,0.006337004871849184,5,5,5,4.5
Conflict in West Bank,"Conflict,Displacement,Socio-political,Violence",PSE003,Palestine,PSE,1.3,0.9394190871369295,4.7,3,1.7,0.5925530019597364,2.9,2.3,2.7,3.2,0.7498496692723993,3.7,3.45,5,1.1896551724137931,5,5,3.7,0.0001615878107457899,5,4.4,4.7,4.2
Conflict in Gaza,"Conflict,Displacement,Socio-political,Violence",PSE004,Palestine,PSE,0,0.06058091286307054,0.2,0.1,1.2,0.3967575271690718,2,1.6,0.9,3.1,1,5,4.05,5,1.6052986079928155,5,5,5,0.01325280646609789,5,5,5,4.6
Lake Chad basin regional crisis,0,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",4.3,0.09438095043203781,0.4,2.35,4.4,1,5,4.7,3.8,4.2,0.5153217568947907,2.6,3.4000000000000004,5,0.4655374358050275,5,5,4.7,0.0001884854491395621,5,4.9,5,4.4
Venezuela Regional Crisis,0,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",5,0.4558411656092679,2.2,3.6,5,0.25611645544821754,1.2,3.1,3.4,5,0.3012705105362823,1.5,3.25,5,0.18571671852987165,5,5,3.9,7.926555509110894e-06,0.4,2.2,4,3.7
Syrian Regional Crisis,0,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",4.6,0.22815732703913433,1.1,2.8499999999999996,5,0.3457699236756052,1.7,3.35,3.1,5,0.35713693805676405,1.8,3.4,5,0.716978943094147,5,5,4.9,7.407622251870758e-05,3.7,4.3,4.7,4.1
Eastern Mediterranean Route ,0,REG006,"Türkiye,Greece","TUR,GRC",3.6,0.16715635538045473,0.8,2.2,4,0.1707841143731592,0.8,2.4,2.3,2.3,0.045047256658892844,0.2,1.25,3.7,0.5653950953678474,5,4.4,1.8,2.316076294277929e-05,1.2,1.5,3.3,2.4
Central Mediterranean Route,0,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",5,1.0017964627322173,5,5,5,1,5,5,5,2.7,0.010234929006737526,0,1.35,4.4,1,5,4.7,3.9,0.0004076983503534957,5,4.5,4.6,3.4
Western Mediterranean Route,0,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",5,0.9999999398997684,5,5,5,1,5,5,5,1.7,0.002689867406253562,0,0.85,3.6,1,5,4.3,3.2,0.0005,5,4.1,4.2,2.9
Rohingya Regional Crisis,0,REG011,"Bangladesh,Myanmar","BGD,MMR",2.6,0.04791272801594196,0.1,1.35,2.3,0.02198320721102115,0.1,1.2,1.3,3.7,1,5,4.35,4.4,0.25857572718154465,5,4.7,3.7,8.184553660982949e-05,4.1,3.9,4.3,4.3
Southern Africa Regional Food Security Crisis,0,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",5,0.5601924798693225,2.8,3.9,5,0.4933495898913766,2.4,3.7,3.8,5,0.7772909957812227,3.9,4.45,3.8,0.006776395022079486,0.2,2,4.8,3.974307507025291e-05,2,3.4,2.8,3.8
Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",2.5,0.2971022318214543,1.4,1.95,1.6,0.23348084846635128,1.1,1.35,1.7,2,0.16601307189542483,0.8,1.4,3.1,0.2795275590551181,5,4.1,3.9,0.001108267716535433,5,4.5,4.3,3.2
Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",5,0.8409577887593277,4.2,4.6,5,0.5393740659167781,2.7,3.85,4.3,5,0.5725574909080966,2.8,3.9,4.9,0.03970262826941751,1.3,3.1,3.2,2.7699508094942453e-06,0.1,1.7,2.5,3.3
Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",3.7,0.1629954052409626,0.7,2.2,4.8,0.251999664000448,1.2,3,2.6,4.6,0.662962962962963,3.3,3.9499999999999997,5,0.17446927374301677,5,5,0,0,0,0,3.5,3.7
Displacement from Russia-Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,4,1.036143949930459,5,4.5,4.3,1,5,4.65,4.6,0.7,0.004130502980236327,0,0.35,2.7,1,5,3.9,0,0,0,0,2.4,1.5
Displacement from Russia-Ukraine conflict in Russia,"Conflict,Displacement",RUS002,Russia,RUS,5,1,5,5,5,1,5,5,5,2.6,0.008339635613612926,0,1.3,4.4,1,5,4.7,0,0,0,0,3.1,2.3
Burundi and DRC refugees in Rwanda,Displacement,RWA002,Rwanda,RWA,2.2,0.8319416295095258,4.1,3.15,1.3,0.17441618737440232,0.8,1.05,2.2,1.1,0.05363528009535161,0.2,0.65,3,1,5,4,x,x,x,x,4,2.7
Complex crisis in Sudan,"Displacement,Violence,Floods",SDN001,Sudan,SDN,5,0.9853784796573876,4.9,4.95,5,1,5,5,5,5,1,5,5,5,0.23180722891566266,5,5,5,0.00013801204819277108,5,5,5,5
Refugees in Sudan,Displacement,SDN005,Sudan,SDN,3.3,0.04778533190578158,0.1,1.7,3.9,0.2965863453815261,1.4,2.65,2.2,4.4,1,5,4.7,4.3,0.06513202437373053,2.2,3.3,1.5,8.124576844955992e-07,0,0.8,2.2,3.7
Drought in Senegal,Drought,SEN002,Senegal,SEN,3.8,1.0217109021970603,5,4.4,4.2,1,5,4.6,4.5,3.3,0.1675354924578527,0.8,2.05,0.9,0.0013240648791790798,0,0.5,1.7,4.965243296921549e-06,0.2,1,0.8,1.5
Complex crisis in El Salvador,"Displacement,Violence,Floods,Drought",SLV001,El Salvador,SLV,2.2,1,5,3.6,2.7,1,5,3.85,3.7,2.6,0.176984126984127,0.8,1.7000000000000002,2.7,0.06547085201793722,2.2,2.5,2,2.1524663677130043e-05,1.1,1.6,2.1,1.9
Complex crisis in Somalia,"Conflict,Displacement,Floods,Drought",SOM001,Somalia,SOM,4.7,1,5,4.85,4.1,1,5,4.55,4.7,4.5,1,5,4.75,5,0.46331360946745564,5,5,5,0.0002509467455621302,5,5,5,4.9
Mixed Migration Flows in Somalia,Displacement,SOM002,Somalia,SOM,3.3,0.157688016067842,0.7,2,1.4,0.15940828402366863,0.8,1.1,1.6,0.1,0.014105419450631032,0,0.05,2.3,1,5,3.7,1.4,0.00023684210526315788,5,3.2,3.5,2.1
Complex crisis in South Sudan,"Conflict,Floods,Displacement",SSD001,South Sudan,SSD,4.7,1.0196208440808316,5,4.85,3.7,1,5,4.35,4.6,4.3,1,5,4.65,5,0.5473898411207638,5,5,3.7,2.9662675119355092e-05,1.5,2.6,4.1,4.4
Displacement from Russia-Ukraine conflict in Slovakia,"Displacement,Conflict",SVK002,Slovakia,SVK,2.8,1,5,3.9,2.5,1,5,3.75,3.8,0.9,0.02090843547224225,0.1,0.5,2.9,1,5,4,0,0,0,0,2.5,1.6
Food Security Crisis in Eswatini,Drought,SWZ001,Eswatini,SWZ,2.1,1,5,3.55,0.2,0.9761709120788825,4.9,2.5500000000000003,3.1,2.3,0.601010101010101,3,2.65,x,x,x,x,0,0,0,0,0,1.5
Syrian conflict,"Conflict,Displacement,Violence",SYR001,Syria,SYR,3.8,1.008440886565376,5,4.4,4.5,1,5,4.75,4.6,4.7,1,5,4.85,5,0.6894463276836158,5,5,4.6,8.103954802259887e-05,4.1,4.4,4.7,4.8
Türkiye / Syria earthquake in Syria,Earthquake,SYR002,Syria,SYR,2.9,0.311958830256494,1.5,2.2,3.8,0.6136949152542372,3,3.4,2.9,4.1,0.648107232287524,3.2,3.65,4.9,0.3068181818181818,5,5,0,0,0,0,3.5,3.6
Complex crisis in Chad,"Conflict,Displacement",TCD001,Chad,TCD,5,1.0196950444726811,5,5,4.2,1,5,4.6,4.8,3.7,0.2937028533945556,1.4,2.55,4.6,0.2860599292760097,5,4.8,1.8,3.3500837520938024e-06,0.2,1,3.5,3.1
Lake Chad basin crisis,Conflict,TCD003,Chad,TCD,2.2,0.01772554002541296,0,1.1,0,0.04963375970263474,0.2,0.1,0.6,2.3,0.8491189427312775,4.2,3.25,3.4,0.33722438391699094,5,4.2,0.4,2.594033722438392e-06,0.1,0.3,2.8,3
CAR refugees in Chad,Displacement,TCD004,Chad,TCD,3.6,0.11814247141041931,0.5,2.05,1.8,0.18853175904668198,0.9,1.35,1.7,2.7,0.36561322122354306,1.8,2.25,3.3,0.1625693893735131,5,4.2,1.4,7.930214115781126e-06,0.4,0.9,2.9,2.6
Darfur refugees in Chad,Displacement,TCD005,Chad,TCD,4.3,0.29709021601016516,1.4,2.8499999999999996,1.3,0.13714879195364602,0.6,0.95,2,2.8,0.5715424471901156,2.8,2.8,4.3,0.7475592747559274,5,4.7,1.1,4.184100418410042e-06,0.2,0.7,3.3,3.1
Multiple situations in Thailand,"Conflict,Displacement",THA001,Thailand,THA,2.5,0.059390475444812,0.2,1.35,1.9,0.0594883997620464,0.2,1.05,1.2,0.8,0.02394736842105263,0.1,0.45,2.8,1,5,3.9,1.8,0.0001868131868131868,5,3.4,3.7,2.4
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,2.1,0.035878564857405704,0.1,1.1,1.8,0.05413444378346222,0.2,1,1.1,x,x,x,x,x,x,x,x,1.8,x,x,1.8,1.8,1.8
Myanmar refugees in Thailand,Conflict,THA003,Thailand,THA,1.8,0.02351191058740629,0,0.9,0,0.005353955978584176,0,0,0.5,0.8,0.26608187134502925,1.3,1.05,2.8,1,5,3.9,0,0,0,0,2.4,1.8
Food Security Crisis in Timor-Leste,Food Security,TLS003,Timor Leste,TLS,2,1.0053799596503026,5,3.5,0.4,1,5,2.7,3.1,2.4,0.6688741721854304,3.3,2.8499999999999996,0,0,0,0,0,0,0,0,0,1.6
Venezuelan refugees in Trinidad and Tobago,Displacement,TTO002,Trinidad and Tobago,TTO,1.2,1,5,3.1,0.6,1,5,2.8,3,1.4,0.13847158719790986,0.6,1,2.2,0.16981132075471697,5,3.6,0,0,0,0,2.2,1.6
Mixed migration flows in Tunisia,Displacement,TUN002,Tunisia,TUN,3.7,1.0531024716786819,5,4.35,3.7,1,5,4.35,4.4,0.7,0.006549520766773163,0,0.35,2.7,1,5,3.9,3.9,0.006329268292682927,5,4.5,4.2,2.8
Complex situation in Türkiye,"Displacement,Conflict",TUR001,Türkiye,TUR,4.2,0.43271182256408924,2.1,3.1500000000000004,5,0.612497058131325,3,4,3.6,4.5,0.3192507204610951,1.6,3.05,5,0.48998014081964253,5,5,2.3,2.587711379912138e-06,0.1,1.2,3.7,3.4
Syrian Refugees in Türkiye,Displacement,TUR002,Türkiye,TUR,3.8,0.26388004625599315,1.2,2.5,5,0.4976465050600141,2.5,3.75,3.2,3.9,0.1709624024592102,0.8,2.35,5,0.5009681881051176,5,5,0,0,0,0,3.5,3
Mixed Migration Flows in Türkiye,Displacement,TUR003,Türkiye,TUR,3.6,0.18245000844561673,0.8,2.2,4,0.18517298187808895,0.9,2.45,2.3,2.2,0.04060752414844942,0.2,1.2000000000000002,3.6,0.5007824726134585,5,4.3,0,1.564945226917058e-06,0.1,0.1,2.8,2.1
Kurdish Conflict,Conflict,TUR004,Türkiye,TUR,3.2,0.10584046879669451,0.4,1.8,2.6,0.06863967992468817,0.3,1.45,1.6,x,x,x,x,4.4,x,x,4.4,0,x,x,0,2.8,2.8
Türkiye / Syria earthquake in Türkiye,Earthquake,TUR005,Türkiye,TUR,3.3,0.12745345165858918,0.5,1.9,3.8,0.15794304542245236,0.7,2.25,2.1,4.1,0.6779913574728058,3.4,3.75,5,0.32967032967032966,5,5,0,0,0,0,3.5,3.6
Multiple Crises in Tanzania,"Displacement,Drought",TZA001,Tanzania,TZA,4.4,0.49834612779408444,2.4,3.4000000000000004,4.5,0.32183472879504915,1.6,3.05,3.2,4.6,0.8201067776671794,4.1,4.35,3.4,0.013406156901688183,0.4,1.9,0,0,0,0,1,3.1
International Displacement in Tanzania,Displacement,TZA002,Tanzania,TZA,3.8,0.2112248814630842,1,2.4,3.9,0.21863851474335638,1.1,2.5,2.5,4.5,1,5,4.75,3.4,0.016183816183816185,0.5,2,0,0,0,0,1.1,3.5
Food Security Crisis in North-East Tanzania,Drought,TZA003,Tanzania,TZA,4.3,0.4032050124181531,2,3.15,2.8,0.10319621405169276,0.5,1.65,2.5,3.3,0.438972767038239,2.2,2.75,x,x,x,x,0,0,0,0,0,1.6
International Displacement in Uganda,Displacement,UGA005,Uganda,UGA,2.4,0.13222122481547977,0.6,1.5,3,0.15328824855434675,0.7,1.85,1.7,2.9,0.20792838874680306,1,1.95,4.6,1,5,4.8,x,x,x,x,4.8,3.8
Russia-Ukraine conflict,"Conflict,Displacement",UKR002,Ukraine,UKR,4.6,1.0418156713841906,5,4.8,5,1,5,5,4.9,4.7,0.5567882907518816,2.8,3.75,5,0.6533514196173815,5,5,5,0.002285186397867066,5,5,5,4.5
Complex crisis in Venezuela,"Socio-political,Violence,Floods",VEN001,Venezuela,VEN,4.9,1,5,4.95,4.8,1,5,4.9,4.9,4.5,0.5999929333615999,3,3.75,5,0.4534479712619987,5,5,3.5,1.5429008892291384e-05,0.8,2.2,4,3.9
Conflict in Yemen,Conflict,YEM001,Yemen,YEM,4.5,1,5,4.75,5,0.9763480428524794,4.9,4.95,4.9,4.9,0.8480243161094225,4.2,4.550000000000001,5,0.2217562724014337,5,5,4.5,4.7132616487455197e-05,2.4,3.5,4.4,4.5
Mixed migration flows in Yemen,Displacement,YEM002,Yemen,YEM,2.8,0.08881186431047218,0.4,1.5999999999999999,2.7,0.18817698904947028,0.9,1.8,1.7,1.6,0.044314776849077434,0.2,0.9,3.5,1,5,4.3,2.8,0.0003096085409252669,5,3.9,4.1,2.9
Drought in Zambia,Drought,ZMB002,Zambia,ZMB,4.8,1.0124134034625163,5,4.9,3.2,0.43651059352431965,2.2,2.7,4.1,4.1,0.9371096745918702,4.7,4.4,x,x,x,x,4,7.623056237577458e-05,3.8,3.9,3.9,4.2
Complex crisis in Zimbabwe,"Socio-political,Drought",ZWE001,Zimbabwe,ZWE,4.3,1,5,4.65,4.1,1,5,4.55,4.6,4.5,1,5,4.75,2,0.0014218851827714912,0,1,2.7,4.7988624918537824e-06,0.2,1.5,1.3,3.5
