,,,,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected,,,
Mixed migration flows in Algeria,International displacement,DZA002,Algeria,DZA,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
Sahrawi refugees in Algeria,International displacement,DZA003,Algeria,DZA,0.049,0.084,0.09,0,0,1.6,0.21973094170403587,0.37668161434977576,0.40358744394618834,0,0,3,2.3,,,
Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,4.817,0.209,0.416,0,0,2.7,0.8853151994118729,0.03841205660724131,0.07645653372541812,0,0,3,2.85,,,
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,21.861,0.936,0.165,0.338,0,2.8,0.9382403433476395,0.04017167381974249,0.007081545064377683,0.014506437768240343,0,2,2.4,,,
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,0.645,0,2.582,0,0,4,0.19987604586303068,0,0.8001239541369694,0,0,3,3.5,,,
Mixed migration flows in spain,International displacement,ESP002,Spain,ESP,11.868,0,0.115,0,0,1.8,0.9904030710172744,0,0.009596928982725527,0,0,1,1.4,,,
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,0,80.2,0.925,17.15,5.425,5,0,0.7733847637415622,0.008919961427193828,0.16538090646094503,0.05231436837029894,5,5,,,
Flood Crisis in Ethiopia,Flood,ETH002,Ethiopia,ETH,87.383,0.477,0.14,0,0,1.9,0.9929886363636363,0.005420454545454545,0.001590909090909091,0,0,1,1.45,,,
International Displacement,International displacement,ETH003,Ethiopia,ETH,86,16.883,0.817,0,0,3.2,0.8293153326904532,0.16280617164898747,0.007878495660559306,0,0,2,2.6,,,
Northern Ethiopia Conflict,Conflict,ETH004,Ethiopia,ETH,0,21.1,6.899,2.1,0.401,5,0,0.6918032786885245,0.22619672131147542,0.06885245901639345,0.013147540983606557,4,4.5,,,
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,0.245,0.151,0.018,0,0,0.4,0.5917874396135265,0.3647342995169082,0.043478260869565216,0,0,2,1.2,,,
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,11.4,1.9,3.3,0.174,0.326,4.3,0.6666666666666666,0.1111111111111111,0.19298245614035087,0.010175438596491228,0.019064327485380117,3,3.65,,,
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,5.4,0.706,2.679,0.615,0,4.2,0.574468085106383,0.07510638297872341,0.285,0.06542553191489361,0,4,4.1,,,
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,3.948,1.9,2.55,1.5,1,4.5,0.3622683061112131,0.17434391631492016,0.2339878876858139,0.13763993393283172,0.09175995595522114,5,4.75,,,
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,5.629,0.15,0.65,0,0,3,0.8755638512988023,0.02333177788147457,0.10110437081972314,0,0,3,3,,,
Papua Conflict,Conflict,IDN002,Indonesia,IDN,3.534,0,0.06,0,0,1.3,0.9833055091819699,0,0.01669449081803005,0,0,1,1.15,,,
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,12.541,x,x,x,x,x,1,x,x,x,x,x,x,,,
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,21.423,0,0.8,2.6,0,4.2,0.8630302541997341,0,0.0322281754824155,0.10474157031785038,0,4,4.1,,,
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,33.84,2.03,1.393,2.858,0.102,4.4,0.8413096984312458,0.050468637346791634,0.03463192700693633,0.07105387464883275,0.0025358625661934713,4,4.2,,,
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,34.093,2.03,1.312,2.706,0.082,4.4,0.847599632051314,0.050468637346791634,0.03261815379260622,0.06727494219725033,0.002038634612037889,4,4.2,,,
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,4.661,0,0.313,0.152,0.02,2.8,0.906280381100525,0,0.06085942057165079,0.029554734590705813,0.0038887808671981333,3,2.9,,,
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,6.804,0,0.208,0,0,2.2,0.9703365658870508,0,0.02966343411294923,0,0,1,1.6,,,
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,6.87,1.149,0.53,0.159,0,3.1,0.788929719797887,0.13194763435920992,0.06086357372531006,0.018259072117593016,0,3,3.05,,,
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,13.467,0,3.073,0.368,0,4.2,0.7965339800082806,0,0.181759034719347,0.021766132371207194,0,3,3.6,,,
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,0.559,0,0.54,0,0,2.9,0.5086442220200182,0,0.4913557779799818,0,0,3,2.95,,,
Drought in Kenya,Drought,KEN003,Kenya,KEN,13.91,0,2.532,0.368,0,4.1,0.8274836406900654,0,0.1506246281975015,0.021891731112433074,0,3,3.55,,,
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,3.798,1.5,0.105,1.363,0.06,3.6,0.5564835164835165,0.21978021978021978,0.015384615384615385,0.1997069597069597,0.008791208791208791,4,3.8,,,
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,3.028,0.37,1.321,2.047,0.06,4.2,0.44366300366300365,0.054212454212454214,0.19355311355311355,0.29992673992673996,0.008791208791208791,4,4.1,,,
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,4.9,1.2,0.871,0.273,0.156,3.5,0.6621621621621622,0.16216216216216217,0.11770270270270271,0.03689189189189189,0.02108108108108108,4,3.75,,,
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,6.766,0.286,0.065,0.277,0.006,2.6,0.9143243243243243,0.03864864864864865,0.008783783783783784,0.03743243243243243,0.0008108108108108108,2,2.3,,,
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,0.602,0.561,0.312,0,0,2.5,0.408135593220339,0.38033898305084746,0.21152542372881356,0,0,3,2.75,,,
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,1.304,0.066,0.801,0.484,0.028,3.5,0.48602310846067837,0.024599329109206113,0.29854640327991055,0.18039508013417815,0.010436079016026835,4,3.75,,,
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,124.227,0.321,x,x,x,x,1,0.002583979328165375,x,x,x,x,x,,,
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,124.227,0.321,x,x,x,x,0.9632090686350526,0.0024889123220543995,x,x,x,x,x,,,
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,124.227,0.321,x,x,x,x,1,0.002583979328165375,x,x,x,x,x,,,
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,8.691,5.812,3.7,2.2,0,4.6,0.4259876482697775,0.2848740319576512,0.18135476914028037,0.1078325654347613,0,4,4.3,,,
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,36.702,3.619,3.047,0.498,0.15,4.3,0.8374480901747821,0.08257655273125541,0.06952493953361019,0.011363117783963856,0.0034226258385433306,3,3.65,,,
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.318,0.729,0.247,0.437,0.15,3.2,0.5971148892323545,0.18778979907264295,0.06362699639361154,0.11257083977331273,0.03863987635239567,4,3.6,,,
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,2.953,2.699,0.8,0.061,0,3.2,0.453400890526639,0.4144019653001689,0.12283126055581145,0.009365883617380623,0,3,3.1,,,
Post-coup Violence in Myanmar,Conflict,MMR004,Myanmar,MMR,31.431,0.19,2,0,0,3.8,0.9401752864108163,0.005683347790972451,0.05982471358918369,0,0,3,3.4,,,
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,7.969,1.033,1.2,0.1,0,3.5,0.7735391186177442,0.10027179188507085,0.11648223645894001,0.009706853038245,0,3,3.25,,,
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,0.011,0,0.085,0,0,1.5,0.11578947368421053,0,0.8947368421052632,0,0,3,2.25,,,
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,2.632,1.036,0.476,0,0,2.8,0.6320845341018252,0.24879923150816521,0.1143131604226705,0,0,3,2.9,,,
