Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Type of crisis,First country,Website name,Crisis description,Related crisis,Starting date,Duration (days)
NGA008,,,Nigeria,Cameroonian Refugees in Nigeria,NGA,Africa,International displacement,Nigeria,Cameroonian Refugees,https://www.acaps.org/country/Nigeria/crisis/Cameroonian-Refugees,,01/01/2020,546
NIC001,,,Nicaragua,Socioeconomic crisis in Nicaragua,NIC,Americas,Political and economic crisis,Nicaragua,Socioeconomic crisis,https://www.acaps.org/country/Nicaragua/crisis/Socioeconomic-crisis,,Before 2019,More than 2 years
NIC002,,,Nicaragua,Hurricane Eta and Iota in Nicaragua,NIC,Americas,Tropical cyclone,Nicaragua,Hurricane Eta and Iota,https://www.acaps.org/country/Nicaragua/crisis/Hurricane-Eta-and-Iota,,04/12/2020,208
PAK001,,,Pakistan,Complex crisis in Pakistan,PAK,Asia,Complex crisis,Pakistan,Complex crisis,https://www.acaps.org/country/Pakistan/crisis/Complex-crisis,,Before 2019,More than 2 years
PAK004,,,Pakistan,Kashmir conflict in Pakistan,PAK,Asia,Conflict,Pakistan,Kashmir conflict,https://www.acaps.org/country/Pakistan/crisis/Kashmir-conflict,,01/02/2019,880
PER002,,,Peru,Venezuela displacement in Peru,PER,Americas,International displacement,Peru,Venezuelan refugees,https://www.acaps.org/country/Peru/crisis/Venezuelan-refugees,,Before 2019,More than 2 years
PHL003,,,Philippines,Mindanao conflict,PHL,Asia,Conflict,Philippines,Mindanao Conflict,https://www.acaps.org/country/Philippines/crisis/Mindanao-Conflict,,Before 2019,More than 2 years
PRK001,,,DPRK,Complex crisis in DPRK,PRK,Asia,Complex crisis,DPRK,Complex crisis,https://www.acaps.org/country/DPRK/crisis/Complex-crisis,,Before 2019,More than 2 years
PSE002,,,Palestine,Conflict in Palestine,PSE,Middle east,Conflict,Palestine,Conflict,https://www.acaps.org/country/Palestine/crisis/Conflict,,Before 2019,More than 2 years
REG001,,,"Nigeria,Niger,Chad,Cameroon",Regional Boko Haram Crisis,"NGA,NER,TCD,CMR","Africa,Africa,Africa,Africa",Regional crisis,Nigeria,Regional Boko Haram,https://www.acaps.org/country/Nigeria/crisis/Regional-Boko-Haram,,01/03/2019,852
REG002,,,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago",Venezuela Regional Crisis,"VEN,BRA,COL,ECU,PER,TTO","Americas,Americas,Americas,Americas,Americas,Americas",Regional crisis,Venezuela,Venezuela Regional Crisis,https://www.acaps.org/country/Venezuela/crisis/Venezuela-Regional-Crisis,,01/04/2019,821
REG003,,,"India,Pakistan",Regional Kashmir conflict,"IND,PAK","Asia,Asia",Regional crisis,India,Regional Kashmir conflict,https://www.acaps.org/country/India/crisis/Regional-Kashmir-conflict,,01/04/2019,821
