,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,5,1,5,5,4.7,0.5149411764705882,2.6,3.6500000000000004,4.4,3.7,0.21148427385576118,1,2.35,4.8,0.44616492617933023,5,4.9,x,x,x,x,4.9,4
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,1.1,0.08738738738738738,0.3,0.7000000000000001,0.2,0.21118359739049394,1,0.6,0.7,1.4,0.2003530450132392,1,1.2,3.2,0.7929515418502202,5,4.1,x,x,x,x,4.1,3
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.2,0.5575296108291032,2.8,2.5,2.5,0.07890743550834597,2.6,2.6,1.4,1.5174506828528072e-05,0.8,1.1,1.9,2.2
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,1.4,0.31492666091458155,1.5,1.45,0,0.5761421319796954,2.9,1.45,1.5,0.4,0.0763582966226138,0.3,0.35,2.5,1,5,3.8,1.4,0.0001923076923076923,5,3.2,3.5,2.2
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.1,0.5135363790186125,2.5,2.3,x,x,x,x,x,x,x,x,x,2.3
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,2.8,1,5,3.9,3.3,1,5,4.15,4,4.1,0.9440142942227516,4.7,4.4,2.9,0.012092534174553101,0.4,1.7,x,x,x,x,1.7,3.3
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.5,0.005778434529454577,0,0.75,3.5,1,5,4.3,3.6,0.0012137404580152673,5,4.3,4.3,3
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.004918285878123553,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,x,x,x,x,0.9,2.2988505747126437e-05,1.1,1,1,1.8
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,5,0.9996888830481568,5,5,5,1.0049182858781236,5,5,5,1.9,0.009568957949258187,0,0.95,3.5,0.6009174311926605,5,4.3,3.6,0.0007775229357798165,5,4.3,4.3,3
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,4,1,5,4.5,4.2,1,5,4.6,4.6,4,0.47066825369835064,2.3,3.15,4.1,0.09670038535645473,3.2,3.7,1.4,1.0838150289017341e-06,0.1,0.8,2.5,2.8
Syrian Refugee Crisis in Egypt,Displacement,EGY002,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,3.8,0.12611873042500601,0.6,2.1999999999999997,2,1.1,0.010258950049525966,0,0.55,3.1,1,5,4.1,0,0,0,0,2.6,1.7
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,3.3,1,5,4.15,1.9,1,5,3.45,3.8,2.6,0.2953813104189044,1.4,2,3.6,0.3054545454545455,5,4.3,0,0,0,0,2.8,2.4
Mixed migration flows in spain,Displacement,ESP002,Spain,ESP,3.3,0.1999160352651886,0.9,2.1,3.6,0.2557219791316055,1.2,2.4,2.3,1.1,0.011434682461335966,0,0.55,3.1,1,5,4.1,3.6,0.0024532374100719426,5,4.3,4.2,2.8
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,5,1.128571,5,5,5,1,5,5,5,5,0.6867475646825112,3.4,4.2,5,0.049442953565910386,1.6,3.3,4.9,3.16453490398355e-05,1.6,3.3,3.3,3.8
International Displacement,Displacement,ETH003,Ethiopia,ETH,5,1.128571,5,5,5,0.9938648348930534,5,5,5,5,0.3369804293030648,1.7,3.35,4.2,0.021058148121679887,0.7,2.5,x,x,x,x,2.5,3
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,4.1,0.299,1.4,2.75,4.9,0.24014105295070326,1.2,3.0500000000000003,2.9,5,1,5,5,4.9,0.08637873754152824,2.9,3.9,4.2,2.7142857142857144e-05,1.4,2.8,3.4,4.4
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,4.8,0.7843,3.9,4.35,5,0.47868648428711613,2.4,3.7,4,4.8,0.40166666666666667,2,3.4,4.1,0.03203319502074689,1.1,2.6,2,9.95850622406639e-07,0,1,1.9,2.7
Flood crisis in Gambia ,Floods,GMB002,Gambia,GMB,1.8,1.116600790513834,5,3.4,1.3,0.9968,5,3.15,3.3,0.2,0.01765650080256822,0,0.1,0,0,0,0,0,2.2727272727272726e-05,1.1,0.6,0.3,0.2
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,0.9,0.026097750193948797,0,0.45,0,0.038822852760736194,0.1,0.05,0.3,1.2,0.3950617283950617,1.9,1.5499999999999998,3.1,1,5,4.1,0.4,1.25e-05,0.6,0.5,2.7,2.2
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,3.4,1,5,4.2,4.1,1,5,4.55,4.4,3.8,0.32947976878612717,1.6,2.7,3.4,0.04245614035087719,1.4,2.4,4,0.00010508771929824562,5,4.5,3.7,3.2
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event,Cyclone",HND001,Honduras,HND,3.4,1,5,4.2,3.3,1,5,4.15,4.2,3.5,0.4166666666666667,2.1,2.8,3.4,0.06175,2.1,2.8,4,0.00016875,5,4.5,3.8,3.3
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.4,1,5,3.7,3.5,1,5,4.25,4,4,0.7192982456140351,3.6,3.8,2.8,0.011707317073170732,0.4,1.6,4.8,0.0002996341463414634,5,4.9,3.7,3.8
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,1.8,0.46629172714078376,2.3,2.05,2.7,0.5639473684210526,2.8,2.75,2.4,2.2,0.10732617825478301,0.5,1.35,1.8,0.02463768115942029,0.8,1.3,4.8,0.0032579710144927535,5,4.9,3.7,2.7
Displacement from Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,1.3,0.06556942450016569,0.2,0.75,0,0.057419544165117874,0.2,0.1,0.4,0.1,0.05792163543441227,0.2,0.15000000000000002,2.2,1,5,3.6,0,0,0,0,2.2,1.3
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,4.4,0.23294214410704528,1.1,2.75,2.5,0.020124864458778816,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.018389113644722323,0.6,1.8,2,4.965060684075028e-06,0.2,1.1,1.5,3.2
Country Level,"Earthquake,Socio-political,Violence",IDN007,Indonesia,IDN,4.4,0.2402992983986266,1.1,2.75,4.5,0.08252378679042088,0.4,2.45,2.6,3.9,0.32458854657159514,1.6,2.75,3.2,0.02238187344570323,0.7,2,3.7,5.042829510914617e-05,2.5,3.1,2.6,2.7
Earthquake in West Java province,Earthquake,IDN008,Indonesia,IDN,1.9,0.007357154291581336,0,0.95,4.1,0.06239892233164208,0.3,2.1999999999999997,1.6,2.9,0.10675523397188778,0.5,1.7,2.7,0.04055555555555555,1.4,2.1,3.6,0.00018777777777777779,5,4.3,3.4,2.6
Conflict in Jammu and Kashmir,Socio-political,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.7,0.009265470772504286,0,1.85,2,x,x,x,x,x,x,x,x,2.8,x,x,2.8,2.8,2.8
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,4,0.1470818291215403,0.6,2.3,4.6,0.28856236122897366,1.4,3,2.7,3.6,0.18035692704346776,0.9,2.25,5,1,5,5,x,x,x,x,5,4
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,1.1101696972639654,5,5,4.7,3.8,0.12731527039734086,0.6,2.1999999999999997,5,1.4623840604603229,5,5,4.7,0.000325833047062865,5,4.9,5,4
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,0.9850695540287927,4.9,4.95,4.7,3.7,0.13061908517350157,0.6,2.15,5,1.5569811320754716,5,5,4.7,0.0003579245283018868,5,4.9,5,4
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,2.6,0.08898968502486646,0.4,1.5,2.4,0.1251244203830934,0.6,1.5,1.5,2,0.10128055878928988,0.5,1.25,3.4,0.49808429118773945,5,4.2,0,0,0,0,2.7,2
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,2.7,0.13957639219419324,0.6,1.6500000000000001,2.7,0.11042669765897394,0.5,1.6,1.6,1.5,0.03728762592091415,0.1,0.8,3.4,1,5,4.2,3.9,0.002213709677419355,5,4.5,4.4,3.1
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,2.7,0.4557670646542014,2.2,2.45,3.1,0.8058486026281695,4,3.55,3,2.9,0.2111851171336702,1,1.95,4.5,0.7172376291462752,5,4.8,0,0,0,0,3.2,2.6
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,4.6,1.0223741083037565,5,4.8,4.6,0.4529250457038391,2.2,3.4,4.2,4.8,1,5,4.9,4,0.026680121089808273,0.9,2.5,x,x,x,x,2.5,4
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.3,0.02230347349177331,0.1,0.2,0.8,2.2,0.5418032786885246,2.7,2.45,4,1,5,4.5,x,x,x,x,4.5,3.7
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.6,0.45126142595978064,2.2,3.4,4.1,4.8,1,5,4.9,x,x,x,x,x,x,x,x,x,4.9
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.8,0.9227360023637169,4.6,4.199999999999999,4.5,0.24511687479987193,5,4.8,x,x,x,x,4.8,4.5
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.8,0.9227360023637169,4.6,4.199999999999999,x,x,x,x,1.6,2.0813320525136087e-06,0.1,0.9,0.9,2.9
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,3.9,1,5,4.45,4.6,0.22682215743440234,5,4.8,4,9.358600583090379e-05,4.7,4.4,4.6,4.5
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,2.3,0.10583090379008746,0.5,1.4,4.1,1,5,4.6,3.9,0.000756198347107438,5,4.5,4.6,3.4
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,3,0.9999202678998564,5,4,4.5,1,5,4.75,4.4,4.7,1,5,4.85,0,0,0,0,0.4,9.026900162484203e-08,0,0.2,0.1,3.3
