Country,ISO3,Ethnic Fractionalisation Index,Empowerment Rights Index,size of excluded ethnic groups,BTI - Democracy Status,Gender Inequality Index,Income Gini coefficient,Conflict Intensity (HIIK),People killed in all crises,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World Index,CPI,Total Population,Land area (sq. km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,2017,2011,2004 - 2006,2020,2018,2006 - 2018,2019,2020,2019,2020,2020,2019,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measurement,,Index,Index,%,Index,Index,Index,Index,Number,Index,Index,Index,Index,Number,sq. Km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,0.8118749868999999,9,0.33,5.483333333,0.6125146689,47.8,0,98,-0.6641258597,6.5,61,43,13700000,112760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,0.5510999776,11,0,3.883333333,0.6115691587,35.3,5,4605,-0.4262591004,4.25,27,41,23300000,273600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,0.1888710338,7,0.122,4.033333333,0.5358462135,32.4,3,67,-0.636308372,3.5,40,24,170818000,130170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,0.2983070273,9,0.05,7.2,0.217756103,41.3,2,0,0.0358965732,7.5,78,45,6527000,108560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,0.8550000024,3,0,3.216666667,0.2072959705,x,2,x,0.4943777919,2.75,12,42,x,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,BHS,0.2752909596,12,0,x,0.3525419084,x,0,x,0.0765318796,x,91,64,x,10010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,0.6303190142,6,0.01,5.55,0.1620850103,33,1,x,-0.233541593,6,51,35,x,51200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,0.3724950447,2,0.041,3.466666667,0.1190763397,25.3,3,1,-0.7944577931999999,4,8,37,9279000,202950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,0.6365880153,14,0,x,0.3914097942,53.3,0,x,-0.7755124568999999,x,87,x,x,22810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,0.6724000015,11,0.035,7,0.4461371293,41.6,3,x,-1.1213886738,5.25,66,29,x,1083300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,0.5154059723,12,0.0663,6.9,0.3855407685,53.4,3,0,-0.1809039712,7.5,72,36,215313000,8358140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,0,12,0,x,0.2560242744,x,0,x,0.3570292294,x,94,69,x,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,BRN,0.6545000071,3,0,x,0.2335159327,x,0,x,0.6142666936,x,28,60,x,5270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,0.7599999928,6,0,7.2,0.4363777708,37.4,0,x,0.5897077322,7.25,63,68,x,38140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,0.6670790085,10,0.02,8.1,0.4642659722,53.3,0,x,0.4984392226,8,72,59,x,566730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,CAF,0.8778909912,4,0.183,3.55,0.6820786626,56.2,5,419,-1.7283856869,3.25,5,24,6100000,622980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,0.5971510289,12,0.028,x,0.0827164247,33.3,0,x,1.7599397898,x,97,76,x,8788700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,0.5450100068,11,0,x,0.0367187222,33.1,0,x,1.9066414833,x,96,82,x,39509.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,0.1660499518,12,0.04,9.25,0.2878536748,44.4,3,1,1.0736131668,9.5,94,66,19604000,743532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,0.1604016243,0,0.4343,3.183333333,0.1626424804,38.5,3,x,-0.2747186124,2.5,9,42,x,9388210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,CIV,0.7738999967,4,0.34,4.883333333,0.6570481398,41.5,3,x,-0.5669065714,3.75,49,40,x,318000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,0.8582999984999999,5,0,3.566666667,0.5664572455,46.6,5,1166,-1.1189085245,3.25,15,27,28600000,472710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,COD,0.9341550009999999,3,0.613,3.666666667,0.6547315942,42.1,5,2314,-1.786087513,2.75,19,20,113600000,2267050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,COG,0.8790999934,10,0.72,3.35,0.5790102619,48.9,1,1,-1.1497093439,2.5,17,22,5970000,341500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,0.4130439701,10,0.247,6.5,0.4105022635,51.3,4,807,-0.4169288576,6.25,70,40,52700000,1109500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM,0.5460220146,10,0,x,x,45.3,0,x,-1.0875025988,x,42,20,x,1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,CPV,0,13,0,x,0.3719692627,42.4,0,x,0.5153446198,x,92,64,x,4030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,0.292770979,11,0.02,9.05,0.2851407965,48.2,0,100,0.5440922378999999,9.5,91,55,5212000,51060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,0.4602380367,0,0,3.266666667,0.3124915803,x,3,x,-0.3224890828,3.25,12,42,x,103800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,0.3275999784,11,0,x,0.0861246992,32.7,2,x,0.7598993778,x,92,53,x,9240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,0.0552159944,11,0.057,9.2,0.1374148355,25,0,0,1.0465040207,9,94,57,11043000,77186.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,0,11,0,x,0.0835378874,31.9,3,x,1.618773222,x,93,78,x,349390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,0.5678999765999999,6,0,3.616666667,x,41.6,1,43,-0.914403379,3,24,30,1182000,23180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,0,13,0,x,x,x,0,x,0.6863382459,x,93,56,x,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,0,12,0,x,0.0395971736,28.2,0,x,1.8984570503,x,97,90,x,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,0,7,0.07,7.25,0.4532722515,41.9,0,x,-0.3476974964,5.25,68,35,11229000,47531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,0.4031999581,3,0.27,4.6,0.4430680424,27.6,2,1051,-0.8154637814,4.25,32,36,46896000,2381741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,0.3265999967,9,0.31,6.6,0.3888686001,45.7,3,0,-0.5773570538,6.5,67,34,18001000,248360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,EGY,0.1637999516,3,0.09,3.416666667,0.4497359069,31.5,3,8,-0.4208459854,3,18,35,116785000,995450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,0.6130000215,0,0,2.016666667,x,x,5,0,-1.5954957008,1.25,3,21,3749000,121040.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,ESH,x,x,x,x,x,x,x,x,x,x,4,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,0.5021619904,11,0.302,x,0.0741102508,34.7,1,156,0.979052186,x,90,60,48000000,499733.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,0.4728129665999999,13,0.29,9.75,0.0912578624,30.3,0,0,1.2812571526,10,95,76,1384000,42750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,0.7601580606999999,3,0.2734,3.716666667,0.5079633465,35,5,5388,-0.4734781981,3.25,20,37,132489000,1128571.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,0.1314999869,11,0,x,0.0503954369,27.3,0,x,2.0221455097,x,100,87,x,303947.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,0.5323829677,3,0,x,0.3565591899,36.7,2,x,-0.0257588495,x,66,52,x,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,0.0473559786,10,0.023,x,0.051375861,32.4,3,x,1.4120583534,x,89,71,x,547557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia,FSM,0,11,0,x,x,40.1,0,x,0.0241156537,x,92,x,x,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,0.7774000055,9,0.01,4.7,0.5343015211,38,1,x,-0.7328509688,3.75,20,28,x,257670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,0.3249610041,13,0.07,x,0.1191900699,35.1,3,x,1.6009106636,x,91,71,x,241930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,0.3252870461,5,0.304,5.65,0.350774648,35.9,2,x,0.3099792302,6.25,58,53,x,69490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,GHA,0.7799500008,11,0,7.85,0.5410356042,43.5,2,x,0.0468897372,7,80,43,x,227533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,0.7099999869,6,0.6,4.366666667,x,33.7,3,x,-1.2090275288,4.75,30,26,x,245720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,GMB,0.7754249943000001,8,0,7.2,0.6204455403,35.9,2,x,-0.3715760708,5.5,50,37,x,10120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,0.8450999915,11,0.14,5.15,x,50.7,3,x,-1.2640448809,5,43,22,x,28120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,0.2599240119,4,0,2.883333333,x,x,0,x,-1.4223147631,1.75,5,17,x,28050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,0.0778420412,9,0.027,x,0.1223017302,32.9,3,5,0.1988379508,x,85,49,10427000,128900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,0,13,0,x,x,x,0,x,0.1758632958,x,89,53,x,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,0.504362025,11,0.392,3.9,0.4921464493,48.3,3,78,-1.0522887707,3.25,46,23,17600000,107160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,0.7111070062,10,0,x,0.4923310846,45.1,0,x,-0.431348145,x,73,40,x,196850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,HKG,x,x,x,x,x,x,x,x,x,x,41,75,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,0.1667439522,9,0.068,4.75,0.4792870515,48.2,3,225,-1.0090796947,3.25,48,23,9745000,111890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,0.1808372083,11,0.0168,8.55,0.1224165438,29.7,1,x,0.3661346138,7.25,83,50,x,55960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,HTI,0,8,0,2.483333333,0.6195436689,41.1,5,376,-0.9711014031999999,3,30,17,11700000,27560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,0.1875000428,11,0.05,6.3,0.2584541298,29.6,1,0,0.4931344986,5.75,65,42,9705000,91260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,0.774848922,5,0.1068,6.3,0.4512916537,38.2,3,50,-0.3425302207,6,57,34,275787000,1892555.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,0.8794837631999999,7,0.007,6.1,0.5010283036,35.7,3,x,-0.0307583995,7,66,39,x,2973190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,0,12,0,x,0.0929025287,31.4,0,x,1.3942295313,x,97,77,x,68890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
