INFORM Severity Index - all countries. Release: September 2022,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
International Refugees in Malaysia,MYS001,Malaysia,MYS,International displacement,2.3,3,Medium,Stable,High,2.9,1.7,3.4,2.05,2.1,2,2.2,1.9,2.5,Asia,2022-09-26 00:00:00
Food Security Crisis in Namibia,NAM002,Namibia,NAM,Food Security,2.5,3,Medium,Stable,Medium,2.8,4.3,1.7,3.05,3.1,3,1.3,1.5,1,Africa,2022-09-19 00:00:00
Multiple crises in Niger,NER001,Niger,NER,Complex crisis,3.6,4,High,Stable,Very High,4.1,4.9,3.6,3.6,4.2,3,3.2,2.8,3.5,Africa,2022-09-21 00:00:00
Complex crisis in Nigeria,NGA001,Nigeria,NGA,Complex crisis,4.1,5,Very High,Increasing,High,4.5,5,4.1,4,5,3,4,3.4,4.5,Africa,2022-09-29 00:00:00
Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,NIC,Political and economic crisis,x,x,x,Increasing,High,3.1,4,2.6,x,x,x,2.9,2.8,3,Americas,2022-09-27 00:00:00
Complex crisis in Pakistan,PAK001,Pakistan,PAK,Complex crisis,4,4,High,Increasing,High,4.2,5,3.6,4,5,3,3.7,3.3,4,Asia,2022-09-26 00:00:00
Venezuela displacement in Panama,PAN002,Panama,PAN,International displacement,2.2,3,Medium,Increasing,Very High,2.9,2.6,3.1,2.3,1.6,3,1.4,1.8,1,Americas,2022-09-27 00:00:00
Venezuela displacement in Peru,PER002,Peru,PER,International displacement,3.1,4,High,Increasing,Very High,3.9,5,3.1,3.35,3.7,3,1.9,2.3,1.5,Americas,2022-08-31 00:00:00
Multiple crises in the Philippines,PHL001,Philippines,PHL,Multiple crises country,2.9,3,Medium,Decreasing,High,3.1,4.2,2.4,3,4,2,2.7,2.8,2.5,Asia,2022-09-19 00:00:00
Highlands Violence,PNG003,Papua New Guinea,PNG,Other type of violence,2.6,3,Medium,-,Very High,2.3,1.4,2.7,2.7,2.4,3,2.7,2.4,3,Pacific,2022-09-19 00:00:00
Displacement from Ukraine conflict in Poland,POL002,Poland,POL,International displacement,2.9,3,Medium,Increasing,Very High,3.5,2.4,3.9,3.85,4.7,3,1.1,0.7,1.5,Europe,2022-09-27 00:00:00
Complex crisis in DPRK,PRK001,DPRK,PRK,Complex crisis,3.8,4,High,Stable,Medium,4,4.6,3.6,4.5,5,4,2.4,2.7,2,Asia,2022-09-22 00:00:00
Conflict in Palestine,PSE002,Palestine,PSE,Conflict,3.7,4,High,Stable,High,3.8,3.4,4,4,4,4,3.3,2.3,4,Middle east,2022-09-27 00:00:00
Displacement from Ukraine conflict in Romania,ROU002,Romania,ROU,International displacement,2.5,3,Medium,Increasing,Very High,2.4,2.2,2.5,3.25,3.5,3,1.2,1.3,1,Europe,2022-09-27 00:00:00
Burundi and DRC refugees in Rwanda,RWA002,Rwanda,RWA,International displacement,2.4,3,Medium,Stable,Medium,2.5,2.2,2.7,2.4,1.8,3,2.3,3,1.5,Africa,2022-09-14 00:00:00
Complex crisis in Sudan,SDN001,Sudan,SDN,Complex crisis,4.4,5,Very High,Stable,High,4.4,4.8,4.2,4.5,5,4,4.4,4.2,4.5,Africa,2022-09-21 00:00:00
Drought in Senegal,SEN002,Senegal,SEN,Drought,2.4,3,Medium,Stable,Very High,2.9,4.5,1.7,2.55,3.1,2,1.9,2.2,1.5,Africa,2022-08-31 00:00:00
Complex crisis in El Salvador,SLV001,El Salvador,SLV,Complex crisis,3.2,4,High,Stable,Very High,3.4,3.8,3.2,3.35,3.7,3,2.7,2.4,3,Americas,2022-09-27 00:00:00
Complex crisis in Somalia,SOM001,Somalia,SOM,Complex crisis,4.4,5,Very High,Increasing,High,4.8,4.7,4.9,4.4,4.8,4,4.2,3.9,4.5,Africa,2022-09-17 00:00:00
Complex crisis in South Sudan,SSD001,South Sudan,SSD,Complex crisis,4.4,5,Very High,Decreasing,Very High,4.6,4.6,4.6,4.45,4.9,4,4.2,3.8,4.5,Africa,2022-09-23 00:00:00
Displacement from Ukraine conflict in Slovakia,SVK002,Slovakia,SVK,International displacement,2.3,3,Medium,Increasing,Very High,2.3,1.7,2.5,3.1,3.2,3,1.1,1.1,1,Europe,2022-09-27 00:00:00
Food Security Crisis in Eswatini,SWZ001,Eswatini,SWZ,Food Security,2.1,3,Medium,Decreasing,High,2,3.1,1.3,2.55,2.1,3,1.6,2.5,0.5,Africa,2022-09-19 00:00:00
Syrian conflict,SYR001,Syria,SYR,Complex crisis,4.6,5,Very High,Stable,High,4.8,4.6,4.9,4.5,5,4,4.5,4.4,4.5,Middle east,2022-09-27 00:00:00
Complex crisis in Chad,TCD001,Chad,TCD,Complex crisis,4.4,5,Very High,Increasing,Medium,3.9,4.7,3.4,4.8,4.6,5,4.2,3.8,4.5,Africa,2022-07-27 00:00:00
Multiple situations in Thailand,THA001,Thailand,THA,Multiple crises country,1.8,2,Low,Stable,High,2,1.2,2.4,1.3,1.6,1,2.5,2.5,2.5,Asia,2022-09-22 00:00:00
Tonga Volcano Eruption,TON002,Tonga,TON,Volcano,1.2,2,Low,Stable,High,1.7,2.5,1.3,1,0,2,1,0.9,1,Pacific,2022-09-23 00:00:00
Venezuelan refugees in Trinidad and Tobago,TTO002,Trinidad and Tobago,TTO,International displacement,1.9,2,Low,Increasing,Very High,2.6,2.9,2.5,1.45,0.9,2,1.9,1.7,2,Americas,2022-08-31 00:00:00
Mixed migration flows in Tunisia,TUN002,Tunisia,TUN,International displacement,1.8,2,Low,-,Very High,3.2,4.3,2.5,0.55,0.1,1,2.2,2.4,2,Africa,2022-09-17 00:00:00
Complex situation in Turkey,TUR001,Turkey,TUR,Multiple crises country,3.1,4,High,Stable,High,3.8,4.3,3.5,2.5,4,1,3.4,3.2,3.5,Middle east,2022-09-27 00:00:00
Multiple Crises in Tanzania,TZA001,Tanzania,TZA,Multiple crises country,2.7,3,Medium,Increasing,Very High,2.9,2.3,3.2,3.1,3.2,3,1.8,2.1,1.5,Africa,2022-09-09 00:00:00
Multiple crises in Uganda,UGA001,Uganda,UGA,Multiple crises country,3.3,4,High,-,Very High,3.4,1.9,4,3.4,3.8,3,2.9,3.6,2,Africa,2022-09-27 00:00:00
Conflict in Ukraine,UKR002,Ukraine,UKR,Conflict,4.2,5,Very High,Decreasing,Very High,5,4.9,5,4.5,5,4,3.1,2.6,3.5,Europe,2022-09-27 00:00:00
Complex crisis in Venezuela,VEN001,Venezuela,VEN,Complex crisis,4,4,High,Decreasing,High,4.2,4.9,3.8,4,5,3,4,3.3,4.5,Americas,2022-08-31 00:00:00
Conflict in Yemen,YEM001,Yemen,YEM,Complex crisis,4.7,5,Very High,Decreasing,Very High,4.6,4.9,4.5,5,5,5,4.2,3.9,4.5,Middle east,2022-09-29 00:00:00
Drought in Zambia,ZMB002,Zambia,ZMB,Drought,2.8,3,Medium,Decreasing,Very High,3,4.4,2,3.3,3.6,3,1.9,1.8,2,Africa,2022-09-07 00:00:00
Complex crisis in Zimbabwe,ZWE001,Zimbabwe,ZWE,Complex crisis,3.8,4,High,Stable,High,3.4,4.6,2.6,4.35,4.7,4,3,2.9,3,Africa,2022-09-14 00:00:00
