,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Empowerment,BTI - Democracy Status,Trust in society,Ethnic Fractionalisation,size of excluded ethnic groups,Ethnic fractionalisation,Gender Inequality,Income Gini coefficient,Inequality,Social cohesion,Conflict Intensity,Total killed in all crisis,Safety and security,Corruption Perception,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World,Rule of Law,Society and safety,# of different types of affected population groups,Diversity of groups affected,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Access of Humanitarian Actors to Affected Populations,Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Access of People in need to Aid,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Physical and Security Constraints,Humanitarian access,Operating environment
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,3.2,3.2,3.2,4.3,0,2.15,3.8,2.7,3.25,2.8666666666666667,5,3.9,4.45,3.8,3.6,3.4,4.1,3.7,3.7,3,3,1,3,3,0,3,0,3,3,3,0,1,3,3,3
CAR refugees in Cameroon,International displacement,CMR004,Cameroon,CMR,3.2,3.2,3.2,4.3,0,2.15,3.8,2.7,3.25,2.8666666666666667,5,3.9,4.45,3.8,3.6,3.4,4.1,3.7,3.7,3,3,1,2,1,0,2,0,1,1,1,0,1,2,2,2.5
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,3.9,3.2,3.55,4.7,5,4.85,4.4,2.1,3.25,3.883333333333333,5,5,5,4.1,4.3,3.6,4.1,4,4.3,5,5,1,3,2,3,4,0,2,2,3,1,3,5,4,4.5
Complex crisis in Congo,Complex crisis,COG001,Congo,COG,1.4,3.4,2.4,4.4,5,4.7,3.9,3,3.45,3.516666666666667,1,0.7,0.85,4.1,3.6,3.8,4,3.9,2.8,2,2,0,1,0,0,1,0,1,1,0,0,1,1,1,1.5
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,1.4,1.7,1.5499999999999998,2.1,2.5,2.3,2.7,3.3,3,2.283333333333333,4,4.3,4.15,3.2,2.9,1.9,1.7,2.4,2.9,3,3,0,2,1,0,2,2,2,4,3,2,3,5,4,3.5
Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,1.4,1.7,1.5499999999999998,2.1,2.5,2.3,2.7,3.3,3,2.283333333333333,4,4.3,4.15,3.2,2.9,1.9,1.7,2.4,2.9,3,3,0,2,1,0,2,2,2,4,3,2,3,5,4,3.5
Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,1.1,0.5,0.8,1.5,0.2,0.85,1.9,2.9,2.4,1.3499999999999999,0,x,0,2.2,2,0.3,0.5,1.3,0.9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,2.9,3.1,3,2.8,0,1.4,x,2.1,2.1,2.1666666666666665,3,0.7,1.85,3.5,3.4,3.5,3.8,3.6,2.5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,2.9,3.1,3,2.8,0,1.4,x,2.1,2.1,2.1666666666666665,3,0.7,1.85,3.5,3.4,3.5,3.8,3.6,2.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.9,3.1,3,2.8,0,1.4,x,2.1,2.1,2.1666666666666665,3,0.7,1.85,3.5,3.4,3.5,3.8,3.6,2.5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
