,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
KEN003,99,99,99,341,268,77,77,77,77,77,341,15,15,15,15,15,15,15,15,15,144.9,,
LBN002,36,36,1,1,36,36,36,36,36,36,1090,13,13,13,13,13,13,13,13,13,132.1,,
LBN004,36,36,1,36,1,36,36,36,36,36,1127,13,13,13,13,13,13,13,13,13,135.8,,
LBY001,121,0,0,0,0,0,0,0,0,0,304,14,14,14,14,14,14,14,14,14,31.8,,
LBY002,121,0,0,0,0,0,0,0,0,0,304,14,14,14,14,14,14,14,14,14,31.8,,
LKA002,345,188,188,345,32,345,188,153,153,153,345,14,14,14,14,14,14,14,14,14,191.6,,
MAR002,304,0,304,304,0,0,304,304,304,304,304,14,14,14,14,14,14,14,14,14,214.2,,
MDA002,77,0,0,0,0,0,0,0,0,0,304,17,17,17,17,17,17,17,17,17,32.1,,
MDG001,0,0,0,61,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,7.5,,
MDG002,112,0,0,64,112,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,19,,
MDG008,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,1.4,,
MEX001,64,64,64,64,64,64,64,64,64,64,64,14,14,14,14,14,14,14,14,14,59,,
MEX002,64,64,64,64,64,64,64,64,64,64,64,14,14,14,14,14,14,14,14,14,59,,
MEX003,64,64,64,64,64,64,64,64,64,64,64,14,14,14,14,14,14,14,14,14,59,,
MLI001,273,124,124,0,0,124,124,124,124,124,0,16,16,16,16,16,16,16,16,16,76,,
MMR001,121,1,1,1,1,1,1,1,1,1,1,14,14,14,14,14,14,14,14,14,2.3,,
MMR002,121,121,121,1,1,121,121,121,121,493,849,14,14,14,14,14,14,14,14,14,196.3,,
MMR003,121,121,121,1,1,121,121,121,121,121,849,14,14,14,14,14,14,14,14,14,159.1,,
MMR004,121,121,121,1,1,121,121,121,121,121,707,14,14,14,14,14,14,14,14,14,144.9,,
MMR005,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.9,,
MNG002,1,1,1,58,1,58,58,58,58,58,58,14,14,14,14,14,14,14,14,14,42.2,,
MOZ001,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,1.4,,
MOZ004,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,1.4,,
MOZ009,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,1.4,,
MOZ010,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,1.4,,
