,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,12.018,0,0.142,0,0,1.9,0.9883223684210526,0,0.011677631578947368,0,0,1,1.45
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,39.264,59.695,13.984,11.195,1.205,5,0.3132524353174888,0.4762531613253233,0.11156586327118387,0.08931491985990442,0.009613620226099583,4,4.5
International Displacement,Displacement,ETH003,Ethiopia,ETH,82.595,41.089,0.89,0,0,3.2,0.6630195706969352,0.3298360813652929,0.007144347937771927,0,0,2,2.6
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,0,16.7,3.7,9.2,0.5,5,0,0.5548172757475083,0.12292358803986711,0.30564784053156147,0.016611295681063124,4,4.5
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,35.9,12.1,9.3,1.995,0.705,5,0.5983333333333334,0.20166666666666666,0.155,0.03325,0.01175,3,4
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,0.245,0.154,0.019,0,0,0.5,0.5861244019138756,0.3684210526315789,0.045454545454545456,0,0,2,1.25
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,11.6,0.7,5,0,0,4.5,0.6705202312138728,0.04046242774566474,0.28901734104046245,0,0,3,3.75
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event,Cyclone",HND001,Honduras,HND,5.6,0.8,3.2,0,0,4.2,0.5833333333333334,0.08333333333333333,0.3333333333333333,0,0,3,3.6
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,3.9,2.6,2.7,1.4,0.8,4.5,0.34210526315789475,0.22807017543859648,0.23684210526315788,0.12280701754385964,0.07017543859649122,5,4.75
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,5.739,0.04,0.65,0,0,3,0.892673821745217,0.006221807435059885,0.10110437081972314,0,0,3,3
Displacement from Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,0.553,0,0.036,0,0,0.9,0.9388794567062818,0,0.06112054329371817,0,0,3,1.95
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,0,5.338,0.1,0,0,1.7,0,0.9816108863552777,0.018389113644722323,0,0,2,1.85
Country Level,"Earthquake,Socio-political,Violence",IDN007,Indonesia,IDN,15.061,7.023,0.215,0,0,2.2,0.6754114534284048,0.31494685860352484,0.009641687968070318,0,0,2,2.1
Earthquake in West Java province,Earthquake,IDN008,Indonesia,IDN,15.061,1.685,0.115,0,0,1.8,0.8932447660281122,0.09993476069035051,0.006820473281537276,0,0,2,1.9
Conflict in Jammu and Kashmir,Socio-political,IND002,India,IND,12.541,x,x,x,x,x,0.8361224081605441,x,x,x,x,x,x
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,20.346,0,1.377,3.1,0,4.4,0.8196430729565323,0,0.05547274704910768,0.12488417999436006,0,4,4.2
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,39.909,2.828,2.466,0.382,0.146,4.1,0.8727093811502296,0.06184124207303739,0.05392521320795977,0.008353378526131642,0.0031926525256942926,3,3.55
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,35.276,2.8,2.15,0.225,0.125,4,0.8693809148264984,0.06900630914826499,0.05298698738170347,0.005545149842271294,0.0030806388012618296,3,3.5
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,4.633,0.028,0.316,0.157,0.021,2.8,0.8987390882638215,0.005431619786614937,0.061299709020368576,0.030455868089233753,0.004073714839961203,3,2.9
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,6.402,0,0.288,0,0,2.4,0.95695067264574,0,0.04304932735426009,0,0,1,1.7
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,6.869,1.062,0.622,0.155,0,3.2,0.7888148828663298,0.1219568213137345,0.07142857142857142,0.017799724391364263,0,3,3.1
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,0,18.748,4.802,1.225,0,4.6,0,0.7567305751765893,0.19382441977800202,0.04944500504540868,0,3,3.8
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,0.559,0,0.589,0,0,3,0.48693379790940766,0,0.5130662020905923,0,0,3,3
Drought in Kenya,Drought,KEN003,Kenya,KEN,0,19.246,4.214,1.225,0,4.6,0,0.7796953492140658,0.17071787392643006,0.04962728893210177,0,3,3.8
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,0.523,4.715,0.781,0.704,0.046,3.6,0.07726399763628305,0.6965578371989954,0.11537893337272861,0.10400354557541734,0.006795686216575565,4,3.8
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,0.523,3.035,1.89,1.275,0.046,4.2,0.07726399763628305,0.44836755798493133,0.2792140641158221,0.18835869404638794,0.006795686216575565,4,4.1
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,0,5.831,1.026,0.024,0,3.4,0,0.8474059003051883,0.14910623455893038,0.0034878651358814126,0,3,3.2
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,6.134,0,0.747,0,0,3.1,0.891440197645691,0,0.10855980235430897,0,0,3,3.05
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,0,15.156,3.6,3.382,0.018,4.7,0,0.6840584943130529,0.16248420292471566,0.15264488174760787,0.0008124210146235783,4,4.35
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,37.764,0,0.021,0,0,0.5,0.9994442238983724,0,0.00055577610162763,0,0,1,0.75
DIsplacement from Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,0.11,0,0.109,0,0,1.7,0.5045871559633027,0,0.5,0,0,3,2.35
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,0,4.597,3.84,0.05,0,4.3,0,0.541651938258513,0.4524566984800283,0.005891363261458701,0,3,3.65
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,1.923,2.772,1.485,0.05,0,3.6,0.3086677367576244,0.4449438202247191,0.23836276083467095,0.008025682182985553,0,3,3.3
Tropical cyclone Freddy in Madagascar,Cyclone,MDG008,Madagascar,MDG,0,6.132,2.355,0,0,4,0,0.7225167903852951,0.27748320961470485,0,0,3,3.5
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,117.806,0.502,0.106,0,0,1.7,0.9948654719881095,0.004239363588764842,0.000895164423125644,0,0,1,1.35
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,118.035,0.379,x,x,x,x,0.9967993649399565,0.003200635060043576,x,x,x,x,x
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,113.953,0.123,0.106,0,0,1.7,0.9980031704048835,0.0010772370184181255,0.0009283506012383847,0,0,1,1.35
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,8.8,4.1,6.8,1.8,0.2,4.9,0.4055299539170507,0.1889400921658986,0.31336405529953915,0.08294930875576037,0.009216589861751152,4,4.45
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,1.1,36.838,13.349,4.457,0,5,0.019733065442020668,0.6608424225028703,0.2394697187141217,0.07995479334098737,0,4,4.5
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,0,1.8,0.434,1.238,0,3.7,0,0.5184331797235023,0.125,0.3565668202764977,0,4,3.85
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,0,3.4,1.165,0.308,0,3.6,0,0.697722142417402,0.2390724399753745,0.06320541760722348,0,4,3.8
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,1.1,32.138,11.25,2.911,0,5,0.023207240659085634,0.6780311820924492,0.23734677946792127,0.061414797780543894,0,4,4.5
Cyclone Mocha in Myanmar,"Cyclone,Floods",MMR005,Myanmar,MMR,10.143,0,0.5,0,0,2.8,0.9530207648219488,0,0.046979235178051304,0,0,1,1.9
Dzud in Mongolia,Other seasonal event,MNG002,Mongolia,MNG,0.184,0.475,0.16,0.053,0,2.2,0.21125143513203215,0.5453501722158438,0.18369690011481057,0.060849598163030996,0,4,3.1
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,20.909,10.724,2.092,0,0,3.9,0.6199851742031134,0.31798369162342477,0.06203113417346182,0,0,3,3.45
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,0,9.584,2,0,0,3.8,0,0.8273480662983426,0.17265193370165746,0,0,3,3.4
Floods in Maputo province in Mozambique,Floods,MOZ009,Mozambique,MOZ,3.309,0.015,0.017,0,0,0.4,0.9901256732495511,0.004488330341113106,0.005086774386594853,0,0,1,0.7
Tropical Cyclone Freddy in Mozambique,Cyclone,MOZ010,Mozambique,MOZ,16.825,1.125,0.075,0,0,1.5,0.9334257975034674,0.06241331484049931,0.004160887656033287,0,0,2,1.75
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,0,1.926,0.098,0,0,1.7,0,0.9515810276679841,0.04841897233201581,0,0,2,1.85
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,2.578,1.099,0.588,0.106,0,3.1,0.5897963852665294,0.2514298787462823,0.13452299245024021,0.024250743536948068,0,3,3.05
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,8.511,6.869,5.9,0,0,4.6,0.399953007518797,0.32279135338345866,0.27725563909774437,0,0,3,3.8
Tropical Cyclone Freddy in Malawi,Cyclone,MWI005,Malawi,MWI,5.484,0.967,1.3,0,0,3.5,0.7075216101148238,0.12475809572958328,0.16772029415559284,0,0,3,3.25
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,0,9.905,0.186,0,0,2.1,0,0.9816650148662042,0.018434093161546084,0,0,2,2.05
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,1.501,0.856,0.234,0.006,0,2.3,0.5779745860608394,0.32961108971890646,0.09010396611474779,0.0023103581055063534,0,3,2.65
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,21.68,0.85,2.03,1.44,0,4.2,0.8338461538461538,0.032692307692307694,0.07807692307692307,0.055384615384615386,0,4,4.1
Boko Haram in Niger,Conflict,NER002,Niger,NER,0,0.048,0.589,0.014,0.003,3,0,0.0732824427480916,0.899236641221374,0.021374045801526718,0.004580152671755725,3,3
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.64,0.45,1.599,0.304,0.057,3.8,0.6016528925619835,0.0743801652892562,0.264297520661157,0.05024793388429752,0.009421487603305785,4,3.9
