,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
AFG001,609,-15,582,-2,-2,-15,-15,-15,-15,-15,-2,337,337,337,337,337,337,337,337,337,83.8
DZA002,306,237,112,112,1,306,306,306,306,306,112,337,337,337,337,337,337,337,337,337,220.4
DZA003,237,593,306,306,1,306,306,306,306,306,593,337,337,337,337,337,337,337,337,337,307.3
DZA004,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,89.2
REG008,523,523,523,523,-5,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,470.2
REG007,523,523,523,523,-5,523,523,523,523,523,523,337,337,337,337,337,337,337,337,337,451.6
BGD001,117,-2,-2,-2,-2,-2,-2,-2,-2,117,117,89,89,89,89,89,89,89,89,89,30.9
BGD002,496,-15,-2,-2,-2,-15,-15,-15,-15,-15,184,337,337,337,337,337,337,337,337,337,44
BGD003,16,16,16,16,-2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14.2
BGD006,117,-2,-2,117,117,-2,-2,117,117,117,117,89,89,89,89,89,89,89,89,89,78.5
REG011,184,-6,-6,-6,-6,-6,-6,-6,-6,-6,184,337,337,337,337,337,337,337,337,337,47.3
BRA002,306,-6,-6,-6,-6,-6,-6,-6,-6,-6,593,334,334,334,334,334,334,334,334,334,87.9
BFA002,103,1,1,1,1,-15,-15,-15,-15,-15,593,-2,-2,-2,-2,-2,-2,-2,-2,-2,51.9
BFA003,1,1,1,1,1,-15,-15,-15,-15,-15,1,1,1,1,1,1,1,1,1,1,-7
BDI001,-6,-5,-5,-5,-5,-5,-5,-5,-5,-5,581,337,337,337,337,337,337,337,337,337,87.8
CMR001,407,35,35,35,-5,35,35,35,35,35,595,337,337,337,337,337,337,337,337,337,117.2
CMR002,407,35,35,35,-5,35,35,35,35,35,520,337,337,337,337,337,337,337,337,337,109.7
CMR003,595,35,35,35,-5,35,35,35,35,35,407,337,337,337,337,337,337,337,337,337,98.4
CMR004,595,35,35,35,407,35,35,35,35,35,595,337,337,337,337,337,337,337,337,337,158.4
CAF001,596,334,334,1,1,525,334,334,334,525,184,334,334,334,334,334,334,334,334,334,290.6
TCD001,-2,-2,63,-2,-2,63,63,63,63,63,593,335,335,335,335,335,335,335,335,335,130.2
TCD003,593,-2,-2,-2,-2,-15,-15,-15,-15,-15,593,335,335,335,335,335,335,335,335,335,84.7
TCD004,190,190,190,-2,593,190,190,190,190,190,593,335,335,335,335,335,335,335,335,335,265.9
TCD005,190,190,190,-2,-2,190,190,190,190,190,593,335,335,335,335,335,335,335,335,335,206.4
TCD006,593,190,190,593,-2,63,63,63,63,63,335,335,335,335,335,335,335,335,335,335,176.6
TCD008,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
CHN002,62,62,-2,-2,-2,-2,-2,-2,-2,-2,89,86,86,86,86,86,86,86,86,86,15.9
COL001,-7,154,154,-6,364,-15,-15,-15,-15,-15,594,334,334,334,334,334,334,334,334,334,136.5
COL002,519,519,-6,-6,237,-6,-6,-6,-6,-6,594,334,334,334,334,334,334,334,334,334,112.3
COG002,594,594,289,289,-2,-15,-15,-15,-15,-15,594,334,334,334,334,334,334,334,334,334,142.9
