INFORM Severity Index - all countries. Release: June 2022,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Food Security Crisis in Namibia,NAM002,Namibia,NAM,Food Security,2.5,3,Medium,Increasing,Medium,2.8,4.2,1.7,3.05,3.1,3,1.3,1.5,1,Africa,2022-06-19 00:00:00
Multiple crises in Niger,NER001,Niger,NER,Multiple crises country,3.5,4,High,Decreasing,Very High,4.1,4.9,3.5,3.65,4.3,3,2.9,2.8,3,Africa,2022-06-30 00:00:00
Complex crisis in Nigeria,NGA001,Nigeria,NGA,Complex crisis,3.5,4,High,Decreasing,High,4.5,5,4.1,2.3,3.6,1,4,3.4,4.5,Africa,2022-06-29 00:00:00
Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,NIC,Political and economic crisis,x,x,x,-,High,3.1,4,2.6,x,x,x,3,2.9,3,Americas,2022-06-29 00:00:00
Complex crisis in Pakistan,PAK001,Pakistan,PAK,Complex crisis,3.7,4,High,Increasing,High,4.2,5,3.7,3.5,5,2,3.6,3.2,4,Asia,2022-06-22 00:00:00
Venezuela displacement in Panama,PAN002,Panama,PAN,International displacement,2.2,3,Medium,Stable,Very High,3,2.6,3.2,2.3,1.6,3,1.4,1.8,1,Americas,2022-06-29 00:00:00
Venezuela displacement in Peru,PER002,Peru,PER,International displacement,2.9,3,Medium,Stable,Medium,3.3,2.4,3.7,3.35,3.7,3,1.9,2.7,1,Americas,2022-05-02 00:00:00
Multiple crises in the Philippines,PHL001,Philippines,PHL,Multiple crises country,3.2,4,High,Decreasing,High,3.1,3.7,2.7,3.5,4,3,2.7,2.9,2.5,Asia,2022-06-27 00:00:00
Displacement from Ukraine conflict in Poland,POL002,Poland,POL,International displacement,1.7,2,Low,Increasing,High,3.1,2.1,3.5,1,0,2,1.3,1,1.5,Europe,2022-05-12 00:00:00
Complex crisis in DPRK,PRK001,DPRK,PRK,Complex crisis,3.8,4,High,Stable,Medium,4,4.6,3.6,4.5,5,4,2.4,2.7,2,Asia,2022-06-23 00:00:00
Conflict in Palestine,PSE002,Palestine,PSE,Conflict,3.7,4,High,Decreasing,High,3.7,3.4,3.9,4,4,4,3.2,2.1,4,Middle east,2022-06-27 00:00:00
Displacement from Ukraine conflict in Romania,ROU002,Romania,ROU,International displacement,1,1,Very Low,Stable,High,1.5,1.5,1.5,0.5,0,1,1.2,1.3,1,Europe,2022-05-12 00:00:00
Burundi and DRC refugees in Rwanda,RWA002,Rwanda,RWA,International displacement,2.4,3,Medium,Increasing,Medium,2.5,2.2,2.7,2.4,1.8,3,2.3,3,1.5,Africa,2022-06-01 00:00:00
Complex crisis in Sudan,SDN001,Sudan,SDN,Multiple crises country,4.4,5,Very High,Increasing,Very High,4.4,4.8,4.1,4.5,5,4,4.3,4.1,4.5,Africa,2022-06-26 00:00:00
Drought in Senegal,SEN002,Senegal,SEN,Drought,2.4,3,Medium,Stable,Medium,2.9,4.8,1.2,2.45,2.9,2,1.8,2,1.5,Africa,2022-06-29 00:00:00
Complex crisis in El Salvador,SLV001,El Salvador,SLV,Complex crisis,3.2,4,High,Increasing,High,3.4,3.8,3.2,3.35,3.7,3,2.7,2.4,3,Americas,2022-06-29 00:00:00
