,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Complex crisis in Congo,Complex crisis,COG001,Congo,COG,4.2,0.9487554904831625,4.7,4.45,0,0.11870242841609278,0.5,0.25,3,1.6,0.42748091603053434,2.1,1.85,3,0.48214285714285715,5,4,x,x,x,x,4,3.1
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,5,1.0290671473636774,5,5,5,1,5,5,5,4.2,0.21764705882352942,1,2.6,3.8,0.0409009009009009,1.4,2.6,3.8,4.18018018018018e-05,2.1,3,2.8,2.7
Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,3.5,0.12019648490310951,0.5,2,4.5,0.4502549019607843,2.2,3.35,2.7,3.7,0.23995122588511955,1.2,2.45,4.7,0.33430127041742286,5,4.9,3.7,6.569872958257713e-05,3.3,3.5,4.3,3.5
Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,1.1,0.08738738738738738,0.3,0.7000000000000001,0.2,0.21118359739049394,1,0.6,0.7,1.1,0.1323918799646955,0.6,0.8500000000000001,3.1,1,5,4.1,x,x,x,x,4.1,2.8
Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,2.3,1,5,3.65,0,1,5,2.5,3.1,2.1,0.576171875,2.9,2.5,2.2,0.061016949152542375,2,2.1,0,0,0,0,1.2,1.9
Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,2.3,1,5,3.65,0,1,5,2.5,3.1,0.1,0.03515625,0.1,0.1,2.2,1,5,3.6,0,0,0,0,2.2,1.3
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0,1,5,2.5,3.1,2.1,0.541015625,2.7,2.4000000000000004,x,x,x,x,0,0,0,0,0,1.3
Venezuela displacement in Dominican Republic,International displacement,DOM002,Dominican Republic,DOM,2.8,1,5,3.9,3.3,1,5,4.15,4,4.1,0.9434246163105627,4.7,4.4,2.9,0.012227538543328018,0.4,1.7,x,x,x,x,1.7,3.3
Mixed migration flows in Algeria,International displacement,DZA002,Algeria,DZA,5,0.9996888830481568,5,5,5,1,5,5,5,x,x,x,x,x,x,x,x,3.1,x,x,3.1,3.1,3.1
Sahrawi refugees in Algeria,International displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.005064038513943137,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,3.2,1,5,4.1,0,5.747126436781609e-06,0.3,0.2,2.6,2.6
Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,5,0.9996888830481568,5,5,5,1,5,5,5,x,x,x,x,x,x,x,x,3.1,x,x,3.1,3.1,3.1
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,0.9,0.013887099371879529,0,0.45,2.9,0.51138353765324,2.5,2.7,1.7,2.5,0.13342992623814542,0.6,1.55,3.7,0.4106614017769003,5,4.4,0,9.871668311944719e-07,0,0,2.8,2.2
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,3.3,0.09148827163594354,0.4,1.8499999999999999,4.6,0.23257177477671157,1.1,2.8499999999999996,2.4,3.2,0.11815126050420167,0.5,1.85,3.9,0.17780938833570412,5,4.5,0,0,0,0,2.9,2.4
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,3.3,1,5,4.15,2.6,1,5,3.8,4,2.6,0.19326783701079078,0.9,1.75,3.6,0.2675,5,4.3,x,x,x,x,4.3,3.3
Mixed migration flows in spain,International displacement,ESP002,Spain,ESP,3.3,0.18514224025909118,0.8,2.05,3.6,0.25454043375746116,1.2,2.4,2.2,0.9,0.009596928982725527,0,0.45,2.9,1,5,4,3,0.0011391304347826087,5,4,4,2.6
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,5,1.063652,5,5,5,0.8591549295774648,4.3,4.65,4.8,5,1,5,5,5,0.06506268081002893,2.2,3.6,5,5.211186113789778e-05,2.6,3.8,3.7,4.5
International Displacement,International displacement,ETH003,Ethiopia,ETH,5,1.063652,5,5,5,0.8591549295774648,4.3,4.65,4.8,4.6,0.17068466730954676,0.8,2.6999999999999997,2.8,0.004915254237288135,0.2,1.5,2,1.3559322033898304e-06,0.1,1.1,1.3,2.1
Northern Ethiopia Conflict,Conflict,ETH004,Ethiopia,ETH,4.2,0.311484,1.5,2.85,4.9,0.2526926263463132,1.2,3.0500000000000003,3,5,1,5,5,4.9,0.08196721311475409,2.7,3.8,4.3,3.3639344262295084e-05,1.7,3,3.4,4.4
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,4.7,0.61819,3.1,3.9000000000000004,5,0.5178127589063795,2.6,3.8,3.9,4,0.1296,0.6,2.3,3.7,0.05098765432098765,1.7,2.7,0,0,0,0,1.5,1.9
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,0.9,0.02609829325058185,0,0.45,0,0.037730652712751306,0.1,0.05,0.3,1.2,0.40389294403892945,2,1.6,3.2,1,5,4.1,2.8,0.0005301204819277109,5,3.9,4,3
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,3.4,1,5,4.2,4.1,1,5,4.55,4.4,3.8,0.3333333333333333,1.6,2.7,3.4,0.04245614035087719,1.4,2.4,3.9,9.701754385964913e-05,4.9,4.4,3.6,3.2
