,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,0,1.126,0.884,x,x,3.2,0,0.5601990049751244,0.43980099502487563,x,x,3,3.1
Multiple crises in Sri Lanka,"Socio-political,Food Security,Floods",LKA001,Sri Lanka,LKA,0,15.022,6.015,1,0,4.7,0,0.6816717339020738,0.2729500385714934,0.045378227526432814,0,3,3.85
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,0,15.037,6,1,0,4.7,0,0.6823524073149703,0.2722693651585969,0.045378227526432814,0,3,3.85
2023 Floods and Monsoon Rain,Floods,LKA003,Sri Lanka,LKA,4.354,0.06,0.015,0,0,0.3,0.9830661548882367,0.013547076089410703,0.0033867690223526757,0,0,1,0.65
Displacement from Russia-Ukraine conflict in Lithuania,"Conflict,Displacement",LTU002,Lithuania,LTU,2.833,0,0.051,x,x,1.2,0.9823162274618585,0,0.01768377253814147,x,x,1,1.1
Displacement from Russia-Ukraine conflict in Latvia,"Conflict,Displacement",LVA002,Latvia,LVA,1.883,0,0.032,x,x,0.8,0.982776617954071,0,0.016701461377870562,x,x,1,0.9
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,35.118,2.3,0.519,x,x,2.9,0.9256925956190526,0.06062682868966972,0.013680575691277645,x,x,2,2.45
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,37.918,0,0.019,x,x,0.5,0.9994991696760419,0,0.0005008303239581411,x,x,1,0.75
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,3.8,2.3,0.5,x,x,2.8,0.5757575757575758,0.3484848484848485,0.07575757575757576,x,x,3,2.9
DIsplacement from Russia-Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,2.592,0,0.113,x,x,1.8,0.9578713968957872,0,0.0417590539541759,x,x,1,1.4
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,0,6.197,2.211,0.079,0,3.9,0,0.7301755626251915,0.2605160834217038,0.009308353953104748,0,3,3.45
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,2.285,3.026,1.244,0.079,0,3.5,0.34443774495025625,0.45613506180283386,0.1875188423274043,0.011908350919505577,0,3,3.25
Tropical cyclone Freddy in Madagascar,Cyclone,MDG008,Madagascar,MDG,0,7.52,0.967,0,0,3.3,0,0.8860610345233887,0.11393896547661128,0,0,3,3.15
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,117.806,0.487,0.121,0,0,1.8,0.9948654719881095,0.004112689377945175,0.0010218386339453105,0,0,1,1.4
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,118.035,0.379,x,x,x,x,0.9967993649399565,0.003200635060043576,x,x,x,x,x
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,57.697,0.108,0.121,0,0,1.8,0.9960638757013379,0.0018644799309451877,0.0020889080707811826,0,0,1,1.4
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,8.8,4.1,6.8,1.8,0.2,4.9,0.4055299539170507,0.1889400921658986,0.31336405529953915,0.08294930875576037,0.009216589861751152,4,4.45
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,1.1,36.838,13.349,4.673,0,5,0.019656897784131523,0.6582916368834882,0.23854538956397428,0.083506075768406,0,4,4.5
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,0,1.8,0.434,1.238,0,3.7,0,0.5184331797235023,0.125,0.3565668202764977,0,4,3.85
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,0,3.4,1.165,0.308,0,3.6,0,0.697722142417402,0.2390724399753745,0.06320541760722348,0,4,3.8
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,1.1,32.138,11.25,3.127,0,5,0.02310196366691169,0.6749553712065525,0.23627008295705135,0.0656725821694844,0,4,4.5
Cyclone Mocha in Myanmar,"Cyclone,Floods",MMR005,Myanmar,MMR,10.143,0,0.5,0,0,2.8,0.9530207648219488,0,0.046979235178051304,0,0,1,1.9
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,21.459,9.814,3,x,x,4.1,0.6261196860502436,0.28634785399585677,0.08753245995389958,x,x,3,3.55
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,0,9.584,2,0,0,3.8,0,0.8273480662983426,0.17265193370165746,0,0,3,3.4
Tropical Cyclone Freddy in Mozambique,Cyclone,MOZ010,Mozambique,MOZ,16.794,0.231,1,x,x,3.3,0.9317059639389736,0.012815533980582524,0.05547850208044383,x,x,3,3.15
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,0,5.089,0.013,x,x,0.2,0,0.997451979615837,0.002548020384163073,x,x,2,1.1
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,2.248,0.823,0.444,0.028,0,2.8,0.6344905447360993,0.2322890206040079,0.12531752751905165,0.007902907140841095,0,3,2.9
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,9.123,6.167,4.136,0.266,0,4.4,0.46328458257160265,0.31317286207596995,0.21003453178955922,0.01350802356286817,0,3,3.7
Tropical Cyclone Freddy in Malawi,Cyclone,MWI005,Malawi,MWI,5.451,0.663,1.637,0,0,3.7,0.7032640949554896,0.08553735001935234,0.21119855502515805,0,0,3,3.35
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,0,9.906,0.184,0,0,2.1,0,0.9817641228939544,0.01823587710604559,0,0,2,2.05
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,1.004,0.943,0.63,0.065,0,3.1,0.38001514004542014,0.35692657077971235,0.2384557153671461,0.024602573807721424,0,3,3.05
