,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Complex crisis in Congo,Conflict,COG001,Congo,COG,4.2,1,5,4.6,0,0.11491228070175438,0.5,0.25,3.1,1.6,0.42748091603053434,2.1,1.85,2,0.09285714285714286,3.1,2.6,0.7,1.0714285714285714e-05,0.5,0.6,1.7,1.8
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,5,1,5,5,5,1,5,5,5,4.2,0.21764705882352942,1,2.6,5,0.47162162162162163,5,5,4,5.6666666666666664e-05,2.8,3.4,4.4,3.7
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,0,9.995493465525012e-07,0,0,4.7,0.5149411764705882,2.6,3.6500000000000004,2.2,3.7,0.21148427385576118,1,2.35,4.8,0.44616492617933023,5,4.9,3.7,6.607850198055455e-05,3.3,3.5,4.3,3.5
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,1.1,0.08738738738738738,0.3,0.7000000000000001,0.2,0.21118359739049394,1,0.6,0.7,1.4,0.2003530450132392,1,1.2,3.2,0.7929515418502202,5,4.1,x,x,x,x,4.1,3
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.2,0.5439932318104906,2.7,2.45,2.2,0.05598755832037325,1.9,2.1,0.7,4.665629860031104e-06,0.2,0.5,1.4,2
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,1.4,0.31492666091458155,1.5,1.45,0,0.5761421319796954,2.9,1.45,1.5,0.1,0.05286343612334802,0.2,0.15000000000000002,2.2,1,5,3.6,0.7,8.333333333333333e-05,4.2,2.5,3.1,1.9
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0.2,0.9788494077834179,4.9,2.5500000000000003,3.1,2.1,0.5246326707000865,2.6,2.35,x,x,x,x,x,x,x,x,x,2.35
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,2.8,1,5,3.9,3.3,1,5,4.15,4,4.1,0.9440142942227516,4.7,4.4,2.9,0.012092534174553101,0.4,1.7,x,x,x,x,1.7,3.3
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.5,0.005829346979641784,0,0.75,3.5,1,5,4.3,3.4,0.0009465648854961832,5,4.2,4.3,3
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.004961619757481366,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,x,x,x,x,0,0,0,0,0,1.4
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,5,0.9996888830481568,5,5,5,1.0049616197574813,5,5,5,1.9,0.00965285157633723,0,0.95,3.5,0.6009174311926605,5,4.3,3.4,0.0005688073394495412,5,4.2,4.3,3
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,4,1,5,4.5,4.2,1,5,4.6,4.6,4,0.47066825369835064,2.3,3.15,4.1,0.09670038535645473,3.2,3.7,0.9,4.816955684007707e-07,0,0.5,2.4,2.8
Syrian Refugee Crisis in Egypt,Displacement,EGY002,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,3.8,0.12723131903248747,0.6,2.1999999999999997,2,1.1,0.010258950049525966,0,0.55,3.1,1,5,4.1,0,0,0,0,2.6,1.7
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,3.3,1,5,4.15,2.6,1,5,3.8,4,2.6,0.19326783701079078,0.9,1.75,3.6,0.2675,5,4.3,0,0,0,0,2.8,2.3
Mixed migration flows in spain,Displacement,ESP002,Spain,ESP,3.3,0.1999160352651886,0.9,2.1,3.6,0.255146455831949,1.2,2.4,2.3,1.1,0.012032305917257293,0,0.55,3.1,1,5,4.1,3,0.0008013698630136986,5,4,4.1,2.7
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,5,1.128571,5,5,5,1,5,5,5,5,0.7481864697690987,3.7,4.35,5,0.05112917013840044,1.7,3.4,4.3,1.0734420481966822e-05,0.5,2.4,2.9,3.7
International Displacement,Displacement,ETH003,Ethiopia,ETH,5,1.128571,5,5,5,1,5,5,5,5,0.30937692282781176,1.5,3.25,4.2,0.02292413576531547,0.8,2.5,0,0,0,0,1.4,2.4
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,4.1,0.299,1.4,2.75,4.9,0.24369312477735677,1.2,3.0500000000000003,2.9,5,1,5,5,4.9,0.0846843853820598,2.8,3.9,4.3,3.1794019933554814e-05,1.6,3,3.5,4.4
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,4.8,0.7843,3.9,4.35,5,0.48576702613426603,2.4,3.7,4,4.8,0.40166666666666667,2,3.4,4.4,0.05394190871369295,1.8,3.1,2.2,1.4522821576763486e-06,0.1,1.2,2.3,2.9
Flood crisis in Gambia ,Floods,GMB002,Gambia,GMB,1.7,1,5,3.35,1.3,1,5,3.15,3.3,0.2,0.01765650080256822,0,0.1,1.1,0.13636363636363635,4.5,2.8,1.5,0.00025,5,3.3,3.1,1.8
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,0.9,0.02609829325058185,0,0.45,0,0.038822852760736194,0.1,0.05,0.3,1.2,0.3950617283950617,1.9,1.5499999999999998,3.1,1,5,4.1,0.4,1.25e-05,0.6,0.5,2.7,2.2
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,3.4,1,5,4.2,4.1,1,5,4.55,4.4,3.8,0.3333333333333333,1.6,2.7,3.4,0.04245614035087719,1.4,2.4,3.7,7.298245614035087e-05,3.6,3.7,3.1,2.9
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event,Cyclone",HND001,Honduras,HND,3.4,1,5,4.2,3.2,1,5,4.1,4.2,3.5,0.425531914893617,2.1,2.8,3.4,0.06175,2.1,2.8,3.9,0.00013775,5,4.5,3.8,3.3
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.4,1,5,3.7,3.5,1,5,4.25,4,4,0.7192982456140351,3.6,3.8,2,0.002926829268292683,0.1,1.1,4.8,0.0002996341463414634,5,4.9,3.6,3.7
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,1.8,0.46629172714078376,2.3,2.05,2.7,0.5639473684210526,2.8,2.75,2.4,2.2,0.10732617825478301,0.5,1.35,3.3,0.3188405797101449,5,4.2,4.8,0.0032579710144927535,5,4.9,4.6,3.4
Displacement from Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,1.3,0.06556942450016569,0.2,0.75,1.1,2.145145145145145,5,3.05,2.1,2.8,0.7419505366308913,3.7,3.25,4.6,1,5,4.8,0,0,0,0,3.2,3.2
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,4.4,0.23294214410704528,1.1,2.75,2.5,0.020124864458778816,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.018389113644722323,0.6,1.8,2.3,7.539536594336153e-06,0.4,1.4,1.6,3.3
Conflict in Jammu and Kashmir,Socio-political,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.7,0.009265470772504286,0,1.85,2,x,x,x,x,x,x,x,x,3.2,x,x,3.2,3.2,3.2
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,4,0.1470818291215403,0.6,2.3,4.6,0.28856236122897366,1.4,3,2.7,3.3,0.11602143173669581,0.5,1.9,4.9,1,5,5,x,x,x,x,5,3.9
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,1.1102182515598067,5,5,4.7,3.8,0.12730970239006364,0.6,2.1999999999999997,5,1.462555822741326,5,5,5,0.000531776021985572,5,5,5,4
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,0.9850695540287927,4.9,4.95,4.7,3.7,0.13061908517350157,0.6,2.15,5,1.5545283018867924,5,5,5,0.0005841509433962264,5,5,5,4
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,2.7,0.09357846748940873,0.4,1.55,2.4,0.12522152897477604,0.6,1.5,1.5,2,0.10120201628538193,0.5,1.25,3.5,0.5019157088122606,5,4.3,x,x,x,x,4.3,3.1
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,2.7,0.13957639219419324,0.6,1.6500000000000001,2.8,0.11141904113908296,0.5,1.65,1.7,1.4,0.03142686922847781,0.1,0.75,3.3,1,5,4.2,4.2,0.0038815165876777253,5,4.6,4.4,3.1
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,2.7,0.4557670646542014,2.2,2.45,3.1,0.8058486026281695,4,3.55,3,2.9,0.2111851171336702,1,1.95,4.5,0.7172376291462752,5,4.8,0,0,0,0,3.2,2.6
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,4.5,0.9123238570474751,4.6,4.55,4.1,0.3012747471870104,1.5,2.8,3.8,4.5,1,5,4.75,3.9,0.03279754166174211,1.1,2.5,x,x,x,x,2.5,3.9
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.2,0.019833357071642216,0,0.1,0.8,2.1,0.4982046678635548,2.5,2.3,3.9,1,5,4.5,x,x,x,x,4.5,3.6
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.5,0.9123238570474751,4.6,4.55,4.1,0.29970801880074066,1.5,2.8,3.8,4.5,1,5,4.75,x,x,x,x,x,x,x,x,x,4.75
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.8,0.922440537745605,4.6,4.199999999999999,4.5,0.2448750800768738,5,4.8,x,x,x,x,4.8,4.5
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.8,0.922440537745605,4.6,4.199999999999999,x,x,x,x,3.3,3.331197950032031e-05,1.7,2.5,2.5,3.5
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,5,1,5,5,3,1,5,4,4.6,3.5,0.46,2.3,2.9,4.6,0.4111876988335101,5,4.8,4.2,0.00021712619300106044,5,4.6,4.7,4
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,5,1,5,5,3,1,5,4,4.6,2.3,0.08658536585365853,0.4,1.3499999999999999,4.1,1,5,4.6,4.2,0.0011535211267605634,5,4.6,4.6,3.4
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,3,0.9999202678998564,5,4,4.5,1,5,4.75,4.4,4.7,1,5,4.85,0,0,0,0,1.4,4.5134500812421015e-07,0,0.7,0.4,3.4
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,2.5,1,5,3.75,1.2,1,5,3.1,3.4,2.8,0.6441265713047247,3.2,3,x,x,x,x,0,0,0,0,0,1.7
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,0,0.000560298826040555,0,0,1.9,1,5,3.5,3,0.005571428571428572,5,4,3.8,2.3
DIsplacement from Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,0.3,0.04852449041679343,0.1,0.2,0,0.23347483323226198,1.1,0.55,0.4,2.2,0.8571428571428571,4.3,3.25,4,1,5,4.5,0,0,0,0,2.9,3.1
