Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Southern Africa Regional Food Security Crisis,0,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",2755348,97791000,74261000,385000,4,343329,3248,437,437,#N/A,228,23530000,48372000,25807000,83000,0,5,#N/A,#N/A,2.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,3.0
Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",33014,3060000,508000,142000,250,x,562,x,x,#N/A,x,2552000,353000,154000,0,0,2,x,x,2.0,3.0,2.0,0.0,3.0,2.0,2.0,3.0,2.0
Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",2171646,142083000,138673000,3008000,4893,1032057,267,x,x,#N/A,7852053,9291000,108652000,11977000,12164000,0,5,x,x,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0
Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",155377,27000000,17900000,3123000,0,x,0,308000,10600,#N/A,x,9100000,14723000,3021000,150000,6000,5,x,x,1.0,3.0,3.0,0.0,2.0,3.0,3.0,3.0,1.0
Displacement from Russia-Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,238396,19125000,78000,78000,x,x,0,0,0,#N/A,x,19047000,0,78000,x,x,2,x,x,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Displacement from Russia-Ukraine conflict in Russia,"Conflict,Displacement",RUS002,Russia,RUS,16376870,145450000,1213000,1213000,x,x,0,x,x,#N/A,x,144237000,0,1213000,0,0,2,x,x,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0
Burundi and DRC refugees in Rwanda,Displacement,RWA002,Rwanda,RWA,20524,2518000,135000,135000,x,x,x,0,0,#N/A,0,2382000,0,135000,0,0,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Complex crisis in Sudan,"Displacement,Violence,Floods",SDN001,Sudan,SDN,1840687,49000000,49000000,9381000,6000,x,5023,48200,24800,#N/A,14851,0,24214000,10547000,10651000,3588000,5,x,x,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0
Refugees in Sudan,Displacement,SDN005,Sudan,SDN,1840687,49000000,13007000,917000,x,x,12,x,x,#N/A,x,35993000,12090000,917000,x,x,2,#N/A,#N/A,2.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0
Drought in Senegal,Drought,SEN002,Senegal,SEN,196710,18032000,3021000,4000,0,0,15,0,0,#N/A,x,15653000,2101000,279000,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
