,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,3.2,0.18620084195384062,0.8,2,3.7,0.44272727272727275,2.2,2.95,2.5,2.9,0.1421576370241668,0.7,1.7999999999999998,4.4,0.6438888888888888,5,4.7,4.1,0.0003916666666666667,5,4.6,4.7,3.6
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,3.9,0.48934441835374753,2.4,3.15,2.5,0.19783216783216784,0.9,1.7,2.5,1.9,0.08094733121244256,0.4,1.15,3.6,0.7467248908296943,5,4.3,1.5,2.6200873362445416e-05,1.3,1.4,3.2,2.3
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,5,1.0343221366974702,5,5,5,1,5,5,5,4.8,0.22359154929577466,1.1,2.95,5,0.44188976377952754,5,5,4.7,7.149606299212598e-05,3.6,4.2,4.6,3.9
Complex crisis in Congo,Conflict,COG001,Congo,COG,4.2,1.0014641288433381,5,4.6,2.6,1,5,3.8,4.2,2,0.08793969849246232,0.4,1.2,3.4,0.44,5,4.2,0,1.9047619047619047e-06,0.1,0.1,2.7,2
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,5,1,5,5,5,1,5,5,5,4.9,0.49859582542694497,2.5,3.7,5,0.32539199269295177,5,5,4.2,3.474653676358654e-05,1.7,3,4.2,4
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,2.6,0.031101397025687247,0.1,1.35,5,0.5883301707779887,2.9,3.95,2.9,4.5,0.4830188679245283,2.4,3.45,5,0.25707799145299143,5,5,0.7,2.003205128205128e-07,0,0.4,3.5,3.5
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,0,0.01964355660007834,0,0,1.3,0.4495597945707997,2.2,1.75,0.9,1.5,0.09587923296613628,0.4,0.95,3.4,1,5,4.2,2.9,0.000425531914893617,5,4,4.1,2.9
Displacement from Russia-Ukraine conflict in Czechia,"Conflict,Displacement",CZE002,Czech Republic,CZE,3.1,1.0000025911166157,5,4.05,3.5,1,5,4.25,4.2,1.7,0.03078739442375806,0.1,0.9,3.6,1,5,4.3,0,0,0,0,2.8,2
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.3,0.6082910321489001,3,2.65,2.3,0.05285118219749652,1.8,2.1,2.3,5.2851182197496523e-05,2.6,2.5,2.3,2.5
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,1.4,0.31492666091458155,1.5,1.45,0,0.571912013536379,2.8,1.4,1.4,0,0.047337278106508875,0.2,0.1,2.2,1,5,3.6,2.3,0.0011875,5,3.7,3.7,2.3
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.2,0.5812182741116751,2.9,2.55,1.1,0.008733624454148471,0.3,0.7,0,0,0,0,0.4,1.6
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,2.8,1.0163893038227683,5,3.9,3.5,1,5,4.25,4.1,1,0.011042835515183898,0,0.5,3,1,5,4,x,x,x,x,4,2.7
