,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,0.3,,,,
(a-z),,,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Sudan,Complex crisis,SDN001,Sudan,SDN,Complex crisis,4.6,5,Very High,Stable,High,4.2,4.8,3.9,4.95,4.9,5,4.2,3.9,4.5,Africa,2020-11-05 00:00:00
Refugees in Sudan,Refugees,SDN005,Sudan,SDN,International displacement,3.8,4,High,Stable,Medium,3.5,0.6,4.3,4.2,3.4,5,3.3,3.9,2.5,Africa,2020-08-21 00:00:00
Floods in Sudan ,Floods,SDN006,Sudan,SDN,Flood,2.6,3,Medium,-,High,3.8,4.8,3.1,1.1,1.2,1,3.5,3.9,3,Africa,2020-11-05 00:00:00
Syrian conflict,Conflict,SYR001,Syria,SYR,Complex crisis,4.9,5,Very High,Stable,Medium,4.8,4.5,4.9,5,5,5,4.8,4.5,5,Middle east,2020-10-26 00:00:00
Syrian Regional Crisis,Syrian Regional Crisis,REG004,"Syria, Turkey, Iraq, Egypt, Jordan, Lebanon","SYR, TUR, IRQ, EGY, JOR, LBN",Regional crisis,4.2,5,Very High,Stable,High,4,3.1,4.3,4.5,5,4,3.8,3.6,4,Middle east,2020-10-05 00:00:00
International Displacement in Tanzania,Refugees,TZA002,Tanzania,TZA,International displacement,1.7,2,Low,Increasing,High,2,2.3,1.9,1.7,2.4,1,1.6,1.7,1.5,Africa,2020-10-30 00:00:00
Multiple situations in Thailand,Country level,THA001,Thailand,THA,Multiple crises country,2.1,3,Medium,Stable,High,2.6,1.2,3.2,1.8,1.6,2,2.1,2.6,1.5,Asia,2020-10-28 00:00:00
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,Conflict,x,x,x,-,Low,2.6,1.1,3.2,x,x,x,1.9,2.6,1,Asia,2020-10-28 00:00:00
Myanmar refugees in Thailand,Refugees,THA003,Thailand,THA,International displacement,2.2,3,Medium,Increasing,High,2.5,0,3.4,2.3,1.6,3,1.9,2.6,1,Asia,2020-10-28 00:00:00
Venezuelan refugees in Trinidad and Tobago,Venezuelan refugees,TTO002,Trinidad and Tobago,TTO,International displacement,1.5,2,Low,Stable,Medium,2,2.9,1.4,1.15,1.3,1,1.5,1.4,1.5,Americas,2020-10-06 00:00:00
Mixed migration flows in Tunisia,Mixed Migration,TUN002,Tunisia,TUN,International displacement,x,x,x,-,Low,3.5,4.3,3,x,x,x,1.4,2.2,0.5,Africa,2020-11-02 00:00:00
Complex situation in Turkey,Country level,TUR001,Turkey,TUR,Multiple crises country,3.2,4,High,Stable,High,3.7,3.8,3.7,2.95,3.9,2,3.2,3.4,3,Middle east,2020-11-04 00:00:00
Syrian Refugees in Turkey,Syrian refugees,TUR002,Turkey,TUR,International displacement,3.3,4,High,Stable,High,3.6,2.9,3.9,3.4,3.8,3,2.8,3.4,2,Middle east,2020-11-04 00:00:00
Mixed Migration Flows in Turkey,Mixed Migration,TUR003,Turkey,TUR,International displacement,3.2,4,High,Stable,High,3.1,3.1,3.1,3.45,3.9,3,2.8,3.4,2,Middle east,2020-11-05 00:00:00
Kurdish Conflict,Kurdish conflict,TUR004,Turkey,TUR,Conflict,x,x,x,-,Medium,3.3,2.4,3.7,x,x,x,3.2,3.4,3,Middle east,2020-11-05 00:00:00
Eastern Mediterranean Route ,Eastern Mediterranean Route ,REG006,"Turkey, Greece","TUR, GRC",Regional crisis,x,x,x,-,Very Low,x,x,2,x,x,x,2.3,2.5,2,Europe,2020-11-05 00:00:00
Multiple crises in Uganda,Country level,UGA001,Uganda,UGA,Multiple crises country,2.9,3,Medium,Stable,High,3.2,2.9,3.3,3.3,3.6,3,2.1,2.7,1.5,Africa,2020-11-05 00:00:00
International Displacement in Uganda,Refugees,UGA005,Uganda,UGA,International displacement,2.9,3,Medium,Stable,High,3.3,2.1,3.7,3.3,3.6,3,2.1,2.7,1.5,Africa,2020-08-21 00:00:00
Floods and Landslides in Uganda,Floods and Landslides,UGA006,Uganda,UGA,Flood,x,x,x,-,Medium,2.1,1.8,2.2,x,x,x,2.1,2.7,1.5,Africa,2020-06-05 00:00:00
Conflict in Ukraine,Conflict,UKR002,Ukraine,UKR,Conflict,3.5,4,High,Stable,High,3.2,1.7,3.8,4.1,4.2,4,2.6,2.2,3,Europe,2020-11-05 00:00:00
Cyclone Harold in Vanuatu,Cyclone Harold,VUT002,Vanuatu,VUT,Tropical cyclone,2,2,Low,Stable,High,2.3,2.6,2.2,2.4,1.8,3,1.1,1.1,1,Pacific,2020-07-02 00:00:00
Complex crisis in Venezuela,Complex crisis,VEN001,Venezuela,VEN,Complex crisis,4.1,5,Very High,Stable,High,5,4.9,5,4,5,3,3.3,3.6,3,Americas,2020-11-05 00:00:00
Venezuela Regional Crisis,Venezuela Regional Crisis,REG002,"Venezuela, Brazil, Colombia, Ecuador, Peru, Trinidad and Tobago","VEN, BRA, COL, ECU, PER, TTO",Regional crisis,3.6,4,High,Stable,Medium,4,2.9,4.4,4,5,3,2.6,2.6,2.5,Americas,2020-10-06 00:00:00
Floods in central Vietnam,Floods,VNM002,Vietnam,VNM,Flood,2.4,3,Medium,-,Very High,2.9,1.9,3.3,2.05,2.1,2,2.5,3.3,1.5,Asia,2020-11-05 00:00:00
Conflict in Yemen,Complex crisis,YEM001,Yemen,YEM,Complex crisis,4.6,5,Very High,Decreasing,High,4.9,4.9,4.9,4.5,5,4,4.5,3.8,5,Middle east,2020-10-19 00:00:00
Mixed migration flows in Yemen,Mixed Migration,YEM002,Yemen,YEM,International displacement,2.9,3,Medium,Decreasing,Medium,2,0.7,2.5,2.85,2.7,3,3.7,3.8,3.5,Middle east,2020-10-19 00:00:00
Drought in Zambia,Drought,ZMB002,Zambia,ZMB,Drought,2.7,3,Medium,Stable,Low,2.4,3.9,1.4,3.45,3.9,3,1.7,1.8,1.5,Africa,2020-10-30 00:00:00
Complex crisis in Zimbabwe,Complex crisis,ZWE001,Zimbabwe,ZWE,Complex crisis,3.5,4,High,Decreasing,High,3.2,4.6,2.2,3.85,4.7,3,3.1,3.2,3,Africa,2020-10-30 00:00:00
Malaria Outbreak in Zimbabwe,Malaria Epidemic,ZWE003,Zimbabwe,ZWE,Epidemic,2.6,3,Medium,Stable,Medium,2.8,2.2,3.1,2.8,2.6,3,2.2,3.2,1,Africa,2020-10-30 00:00:00
0,0,0,0,0,0,0,0,Very Low,#N/A,Very Low,0,0,0,0,0,0,0,0,0,#N/A,#REF!
0,0,0,0,0,0,0,0,Very Low,#N/A,Very Low,0,0,0,0,0,0,0,0,0,#N/A,#REF!
0,0,0,0,0,0,0,0,Very Low,#N/A,Very Low,0,0,0,0,0,0,0,0,0,#N/A,#REF!
0,0,0,0,0,0,0,0,Very Low,#N/A,Very Low,0,0,0,0,0,0,0,0,0,#N/A,#REF!
0,0,0,0,0,0,0,0,Very Low,#N/A,Very Low,0,0,0,0,0,0,0,0,0,#N/A,#REF!
