,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,0.3,,,,
(a-z),,,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Darfur refugees in Chad,Darfur refugees,TCD005,Chad,TCD,International displacement,3.2,4,High,Decreasing,High,2.4,1.7,2.7,3.7,3.4,4,3,3.5,2.5,Africa,2020-11-04 00:00:00
Tibesti Conflict in Chad,Tibesti conflict,TCD006,Chad,TCD,Conflict,2.5,3,Medium,Decreasing,Medium,2.6,1.3,3.1,2.2,0.4,4,3,3.5,2.5,Africa,2020-11-04 00:00:00
Floods in Chad,Floods,TCD008,Chad,TCD,Flood,2.6,3,Medium,-,High,2.9,4.1,2,1.7,2.4,1,3.8,3.5,4,Africa,2020-11-04 00:00:00
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,Complex crisis,4.2,5,Very High,Stable,Medium,4.5,5,4.2,4.45,4.9,4,3.5,2.9,4,Americas,2020-10-15 00:00:00
Venezuela displacement in Colombia,Venezuelan refugees ,COL002,Colombia,COL,International displacement,3.4,4,High,Stable,Medium,3.6,3,3.9,3.6,4.2,3,3,2.9,3,Americas,2020-10-06 00:00:00
Floods in Congo,Floods,COG004,Congo,COG,Flood,2,2,Low,-,Medium,1.2,1.1,1.3,2.2,1.4,3,2.4,2.8,2,Africa,2020-11-05 00:00:00
Nicaraguan refugees in Costa Rica,Nicaraguan refugees,CRI002,Costa Rica,CRI,International displacement,1.1,2,Low,Increasing,High,1.3,1,1.5,1,1,1,1,0.9,1,Americas,2020-10-06 00:00:00
Multiple crises in Djibouti,Country level,DJI001,Djibouti,DJI,Multiple crises country,2.9,3,Medium,Stable,High,2.1,3.1,1.5,3.25,2.5,4,2.9,2.7,3,Africa,2020-11-05 00:00:00
Mixed migration in Djibouti,Mixed Migration,DJI002,Djibouti,DJI,International displacement,1.5,2,Low,Increasing,Medium,1.9,3.1,1.2,0.9,0.8,1,2.1,2.7,1.5,Africa,2020-10-07 00:00:00
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,Drought,2.9,3,Medium,Increasing,Medium,2.1,3.1,1.5,3.25,2.5,4,2.9,2.7,3,Africa,2020-10-07 00:00:00
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,Complex crisis,4.1,5,Very High,Stable,Very Low,4.8,4.6,4.9,4.5,5,4,2.9,3.2,2.5,Asia,2020-03-30 00:00:00
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,Complex crisis,4.5,5,Very High,Increasing,High,4.6,5,4.3,4.5,5,4,4.4,4.3,4.5,Africa,2020-11-04 00:00:00
Floods in south-eastern DRC,Floods,COD003,DRC,COD,Flood,2.6,3,Medium,Stable,Medium,1.8,2.9,1.1,1.95,2.9,1,4.2,4.3,4,Africa,2020-11-04 00:00:00
Venezuela displacement in Ecuador,Venezuelan refugees ,ECU002,Ecuador,ECU,International displacement,2.4,3,Medium,Stable,High,1.9,1.3,2.2,2.95,2.9,3,1.8,2.1,1.5,Americas,2020-10-06 00:00:00
Syrian Refugee Crisis in Egypt,Syrian refugees,EGY002,Egypt,EGY,International displacement,2.2,3,Medium,Stable,High,2.5,2.4,2.5,1.9,1.8,2,2.4,2.7,2,Africa,2020-08-21 00:00:00
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,Complex crisis,3,3,Medium,Increasing,High,3.5,3.8,3.4,3,3,3,2.5,2.4,2.5,Americas,2020-10-07 00:00:00
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,Complex crisis,3.7,4,High,Stable,Low,3.5,3.8,3.3,3.5,4,3,4.2,2.8,5,Africa,2020-11-05 00:00:00
Food Security Crisis in Eswatini,Food Security Crisis in Swaziland,SWZ001,Eswatini,SWZ,Food Security,2.6,3,Medium,-,Medium,2.2,3.1,1.6,3.3,2.6,4,1.9,3,0.5,Africa,2020-10-30 00:00:00
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,Complex crisis,4,4,High,Stable,High,3.9,4.3,3.7,4.45,4.9,4,3.4,3.3,3.5,Africa,2020-11-05 00:00:00
Flood Crisis in Ethiopia,Floods,ETH002,Ethiopia,ETH,Flood,2.4,3,Medium,Stable,Very High,3,4.1,2.3,1.85,2.7,1,2.7,3.3,2,Africa,2020-10-19 00:00:00
International Displacement,International Displacement,ETH003,Ethiopia,ETH,International displacement,2.8,3,Medium,Stable,High,3.7,4.4,3.3,2.05,3.1,1,3.2,3.3,3,Africa,2020-08-28 00:00:00
Mixed migration flows in Greece,Mixed Migration,GRC002,Greece,GRC,International displacement,1.8,2,Low,Decreasing,Very High,2,0.3,2.7,1.8,0.6,3,1.7,1.8,1.5,Europe,2020-11-05 00:00:00
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,Complex crisis,3.4,4,High,Stable,Very High,3.7,4.3,3.4,3.6,4.2,3,2.9,3.3,2.5,Americas,2020-10-07 00:00:00
