,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,2.6,0.07248207146030336,0.3,1.45,2.1,0.16872856206883263,0.8,1.4500000000000002,1.5,3.2,0.5758337140246688,2.9,3.05,3.9,0.22213407378024594,5,4.5,3.3,7.4970249900833e-05,3.7,3.5,4.1,3.6
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,3.1,0.16257324786867214,0.7,1.9,2.1,0.16857440166493237,0.8,1.4500000000000002,1.7,3.2,0.6316872427983539,3.1,3.1500000000000004,4.4,0.410061527325371,5,4.7,3.6,0.00011943539630836047,5,4.3,4.5,3.9
CAR refugees in Cameroon,International displacement,CMR004,Cameroon,CMR,3.7,0.3653466184341351,1.8,2.75,0.6,0.06031525802597603,0.3,0.44999999999999996,1.7,1.6,0.18146964856230033,0.9,1.25,3.5,1,5,4.3,0,0,0,0,2.8,2.1
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,4.7,1.0000321037593503,5,4.85,2.3,1,5,3.65,4.3,3.7,1,5,4.35,4.6,0.3514285714285714,5,4.8,3,2.3877551020408164e-05,1.2,2.1,3.8,4.1
Complex crisis in Chad,Multiple crises country,TCD001,Chad,TCD,5,1,5,5,4.1,0.9997617203788646,5,4.55,4.8,4.5,1.0002383364118452,5,4.75,4.2,0.05265979627092393,1.8,3,3.7,2.204086495502472e-05,1.1,2.4,2.7,3.9
Boko Haram in Chad,Conflict,TCD003,Chad,TCD,2.2,0.015815597204574334,0,1.1,0,0.04080538511943766,0.2,0.1,0.6,2.2,1,5,3.6,3.6,0.5007299270072992,5,4.3,3.5,0.00038102189781021896,5,4.3,4.3,4
CAR refugees in Chad,International displacement,TCD004,Chad,TCD,3.6,0.12279463151207115,0.5,2.05,2.2,0.2654434979448383,1.3,1.75,1.9,2.5,0.2253141831238779,1.1,1.8,3.2,0.16334661354581673,5,4.1,x,x,x,x,4.1,3.2
Darfur refugees in Chad,International displacement,TCD005,Chad,TCD,3.9,0.16333465692503177,0.7,2.3,1.4,0.153511645916483,0.7,1.0499999999999998,1.7,2.6,0.4357780364765231,2.2,2.4000000000000004,3.7,0.3303650934995548,5,4.4,1,4.452359750667854e-06,0.2,0.6,3,2.7
Tibesti Conflict in Chad,Conflict,TCD006,Chad,TCD,3.9,0.17471410419313851,0.8,2.35,0,0.0022636564007863227,0,0,1.3,0.1,1,5,2.55,x,x,x,x,2.2,0.0009736842105263158,5,3.6,3.6,3.1
Floods in Chad,Flood,TCD008,Chad,TCD,4.7,0.5417725540025413,2.7,3.7,4,0.9748019300649312,4.9,4.45,4.1,1.8,0.023710584209239795,0.1,0.9500000000000001,3,0.30927835051546393,5,4,1.4,2.577319587628866e-05,1.3,1.4,2.9,2
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,5,1,5,5,5,1,5,5,5,4.4,0.2774327122153209,1.4,2.9000000000000004,5,0.23328358208955224,5,5,x,x,x,x,5,4.2
Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,3.6,0.12167643082469581,0.5,2.05,4.8,0.5571428571428572,2.8,3.8,3,3.3,0.10497956150130063,0.5,1.9,4.9,0.9787610619469026,5,5,x,x,x,x,5,3.9
Floods in Congo,Flood,COG004,Congo,COG,3,0.19339385065885797,0.9,1.95,0,0.028397565922920892,0.1,0.05,1.1,0.5,0.42857142857142855,2.1,1.3,x,x,x,x,x,x,x,x,x,1.3
Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,1.2,0.0972581276929103,0.4,0.8,0.8,0.33690360272638753,1.7,1.25,1,0.7,0.04682080924855491,0.2,0.44999999999999996,2.7,1,5,3.9,0,0,0,0,2.4,1.5
Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,2.3,1,5,3.65,0,1,5,2.5,3.1,2.2,0.6330365974282888,3.1,2.6500000000000004,x,x,x,x,0,0,0,0,0,1.5
Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,2.3,1,5,3.65,0,1,5,2.5,3.1,0,0.02967359050445104,0.1,0.05,2.1,1,5,3.6,0,0,0,0,2.2,1.2
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0,1,5,2.5,3.1,2.2,0.6320474777448071,3.1,2.6500000000000004,x,x,x,x,0,0,0,0,0,1.5
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,3.5,1,5,4.25,4.7,1,5,4.85,4.6,4.8,1,5,4.9,x,x,x,x,x,x,x,x,x,4.9
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,5,0.999999117796255,5,5,5,1,5,5,5,5,0.43457943925233644,2.1,3.55,5,0.1957682969129379,5,5,5,8.357035495432998e-05,4.2,4.6,4.8,4.3
Floods in south-eastern DRC,Flood,COD003,DRC,COD,4.6,0.25405218235151406,1.2,2.9,4.5,0.23190634107124913,1.1,2.8,2.9,2.1,0.025436581878060405,0.1,1.1,x,x,x,x,x,x,x,x,x,1.1
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,0.9,0.013887099371879529,0,0.45,2.3,0.32446450222282097,1.6,1.95,1.3,2.1,0.11874610753581068,0.5,1.3,3.7,0.6346153846153846,5,4.4,0,1.7482517482517483e-06,0.1,0.1,2.9,2.2
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,4.5,0.21799418257162212,1.1,2.8,2.4,3.3,0.14426064704807165,0.7,2,3.9,0.15932847640164713,5,4.5,0,0,0,0,2.9,2.5
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,2.2,1,5,3.6,2.8,1,5,3.9,3.8,2.7,0.208955223880597,1,1.85,3.8,0.3242857142857143,5,4.4,3.7,0.000285,5,4.4,4.4,3.4
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,3.3,1,5,4.15,1.7,1,5,3.35,3.8,3.3,1,5,4.15,3.5,0.09296560272699102,3.1,3.3,0,0,0,0,2,3.3
Food Security Crisis in Eswatini,Food Security,SWZ001,Eswatini,SWZ,2.1,1.0002325581395348,5,3.55,0.2,0.9955985915492958,5,2.6,3.1,2.3,0.6648983200707339,3.3,2.8,0,0,0,0,x,x,x,x,0,1.6
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,5,1,5,5,4.9,0.26581472554459046,1.3,3.1,4.3,4.6,0.6422583404619333,3.2,3.9,4.6,0.09243473628129995,3.1,3.9,3.9,3.0420884389984016e-05,1.5,2.7,3.4,3.7
Flood Crisis in Ethiopia,Flood,ETH002,Ethiopia,ETH,4.8,0.742878,3.7,4.25,5,0.5634817408704352,2.8,3.9,4.1,2.5,0.01643207644628099,0,1.25,3.5,0.2888015717092338,5,4.3,1.5,1.1787819253438114e-05,0.6,1.1,3.1,2.3
International Displacement,International displacement,ETH003,Ethiopia,ETH,4.9,0.90705,4.5,4.7,5,0.6583382600391104,3.3,4.15,4.4,2.3,0.010624335115569003,0,1.15,4.1,1,5,4.6,x,x,x,x,4.6,3.3
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,0.9,0.02609829325058185,0,0.45,0,0.030787611432772723,0.1,0.05,0.3,1,0.3611940298507463,1.8,1.4,3,1,5,4,1.8,0.00015702479338842976,5,3.4,3.7,2.7
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,3.4,1,5,4.2,3.9,1,5,4.45,4.3,3.7,0.3691275167785235,1.8,2.75,3.4,0.044,1.5,2.5,4.6,0.000302,5,4.8,3.9,3.4
