,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,0,80.2,0.925,17.15,5.425,5,0,0.7733847637415622,0.008919961427193828,0.16538090646094503,0.05231436837029894,5,5
International Displacement,International displacement,ETH003,Ethiopia,ETH,86,16.856,0.844,0,0,3.2,0.8293153326904532,0.16254580520732884,0.008138862102217936,0,0,2,2.6
Northern Ethiopia Conflict,Conflict,ETH004,Ethiopia,ETH,0,21.1,6.899,2.1,0.401,5,0,0.6918032786885245,0.22619672131147542,0.06885245901639345,0.013147540983606557,4,4.5
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,54.5,7.587,0.413,0,0,2.7,0.872,0.121392,0.006608,0,0,2,2.35
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,0.245,0.147,0.019,0,0,0.5,0.5961070559610706,0.35766423357664234,0.046228710462287104,0,0,2,1.25
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,11.4,1.9,3.3,0.174,0.326,4.3,0.6666666666666666,0.1111111111111111,0.19298245614035087,0.010175438596491228,0.019064327485380117,3,3.65
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,5.4,0.706,2.679,0.615,0,4.2,0.574468085106383,0.07510638297872341,0.285,0.06542553191489361,0,4,4.1
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,3.948,1.9,2.55,1.5,1,4.5,0.3622683061112131,0.17434391631492016,0.2339878876858139,0.13763993393283172,0.09175995595522114,5,4.75
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,5.629,0.15,0.65,0,0,3,0.8755638512988023,0.02333177788147457,0.10110437081972314,0,0,3,3
Displacement from Ukraine conflict in Hungary,International displacement,HUN002,Hungary,HUN,0.116,0.404,0,0,0,0,0.2230769230769231,0.7769230769230769,0,0,0,2,1
Papua Conflict,Conflict,IDN002,Indonesia,IDN,3.494,0,0.1,0,0,1.7,0.9721758486366165,0,0.027824151363383415,0,0,1,1.35
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,12.541,x,x,x,x,x,1,x,x,x,x,x,x
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,21.423,0,0.8,2.6,0,4.2,0.8630302541997341,0,0.0322281754824155,0.10474157031785038,0,4,4.1
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,34.986,2.833,2.232,0.379,0.146,4.1,0.8622338328075709,0.06981959779179811,0.05500788643533123,0.009340496845425867,0.003598186119873817,3,3.55
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,35.276,2.8,2.15,0.225,0.125,4,0.8693809148264984,0.06900630914826499,0.05298698738170347,0.005545149842271294,0.0030806388012618296,3,3.5
