iter	RMSE
114	0.08131762323
115	0.07984162705
116	0.07841699033
117	0.07700648562
118	0.07572287902
119	0.07447924961
120	0.07328766264
121	0.07210511484
122	0.07102573604
123	0.06996247366
124	0.06892102158
125	0.06786316903
126	0.0668614156
127	0.0658828593
128	0.06496806899
129	0.06403316126
130	0.06313843674
131	0.06231876337
132	0.06149991826
133	0.06067391246
134	0.05993834227
135	0.05922549158
136	0.05851693319
137	0.05777582086
138	0.05714948004
139	0.05651299075
140	0.05577993211
141	0.05519307367
142	0.05459077686
143	0.05405054909
144	0.05354839898
145	0.05299673578
146	0.05249002813
147	0.05197608554
148	0.05141454741
149	0.05084795594
150	0.05039295269
151	0.05000942506
152	0.04950956558
153	0.04915142485
154	0.04875802013
155	0.04837009896
156	0.04797005203
157	0.04758399118
158	0.04723533805
159	0.04696496223
160	0.0466466604
161	0.04636903821
162	0.0460940321
163	0.04577516479
164	0.04546021369
165	0.04521565664
166	0.04489849296
167	0.04463958125
168	0.04438728914
169	0.04414985278
170	0.04392566112
171	0.04368951818
172	0.04345704069
173	0.04324308962
174	0.04302739699
175	0.04282458407
176	0.04262448224
177	0.0424325094
178	0.04222928307
179	0.0420449586
180	0.04187533873
181	0.04162226415
182	0.04142167555
183	0.04125910785
184	0.04110554536
185	0.04092810802
186	0.04077811956
187	0.04061232686
188	0.04049792619
189	0.04034948116
190	0.04019174152
191	0.04002984918
192	0.03990446306
193	0.03975958924
194	0.03964440209
195	0.03950930661
196	0.03936094031
197	0.03915001652
198	0.03901895698
199	0.03887948437
200	0.03878186476
201	0.03862051196
202	0.0384630653
203	0.03837405986
204	0.03826534445
205	0.03816310368
206	0.03805740543
207	0.03797404478
208	0.03770005469
209	0.03751782457
210	0.0372988322
211	0.0371730805
212	0.03707175882
213	0.03697014234
214	0.0368492452
215	0.0367541451
216	0.03655251349
217	0.0364397734
218	0.03631969642
219	0.03622114956
220	0.03610354952
221	0.03596726053
222	0.03589200155
223	0.03578983214
224	0.03561428262
225	0.0355238753
226	0.0354347202
227	0.03532579075
228	0.03521936947
229	0.03508261304
230	0.03493440739
231	0.03483651352
232	0.03474664227
233	0.03464749568
234	0.03457284262
235	0.03447597089
236	0.03438581096
237	0.03431125591
238	0.0342244353
239	0.03409565891
240	0.03390950982
241	0.03380465718
242	0.03374894987
243	0.03357213341
244	0.03342704177
245	0.03334710344
246	0.03328162056
247	0.03318941721
248	0.03310272833
249	0.03301819621
250	0.03294925907
251	0.03279119171
252	0.03272240279
253	0.03263108298
254	0.03252175824
255	0.03246598757
256	0.03238946955
257	0.03231011904
258	0.03221925935
259	0.03204164719
260	0.03196980737
261	0.03187473089
262	0.03181616998
263	0.03169962043
264	0.03156645363
265	0.03138092013
266	0.0313358061
267	0.03126821641
268	0.03121157931
269	0.03113203436
270	0.03109316513
271	0.0310229305
272	0.03091701761
273	0.03084822838
274	0.03079341086
275	0.03073920544
276	0.03069394756
277	0.03061360217
278	0.03055544483
279	0.03045273222
280	0.03030180026
281	0.03024579407
282	0.03008405879
283	0.03001538811
284	0.029961235
285	0.02987063906
286	0.02981905543
287	0.02976564671
288	0.02970194238
289	0.02960829294
290	0.02952389069
291	0.02942956664
292	0.0293364951
293	0.02917708969
294	0.02905390863
295	0.0289950856
296	0.02894486977
297	0.02889460996
298	0.02884198418
299	0.0287415645
300	0.02867806986
301	0.02863609573
302	0.02855560251
303	0.02845014013
304	0.02836812579
305	0.02830050012
306	0.02822406603
307	0.02817491392
308	0.02813327419
309	0.02807612271
310	0.02800179656
311	0.02793815641
312	0.02789432944
313	0.0278583664
314	0.02774364385
315	0.0276841252
316	0.02754865318
317	0.02749528545
318	0.02744837883
319	0.02739773197
320	0.02727918977
321	0.02718702733
322	0.02711162762
323	0.02703174334
324	0.02694875143
325	0.02689815784
326	0.02683363969
327	0.02676720976
328	0.0266502276
329	0.02652878775
330	0.0264798181
331	0.02643738338
332	0.02639370008
333	0.0263303517
334	0.02624550182
335	0.0261735352
336	0.02612263882
337	0.02604227372
338	0.02598524841
339	0.02594184832
340	0.02589734349
341	0.02585939869
342	0.02578210468
343	0.02573867556
344	0.02566289629
345	0.02558866874
346	0.02552108953
347	0.02545041391
348	0.02537809531
349	0.02530314074
350	0.02519092214
351	0.02511288578
352	0.02506854226
353	0.02498779325
354	0.02492894367
355	0.02487079678
356	0.02482276843
357	0.0247785236
358	0.0247381947
359	0.0246680792
360	0.02463067891
361	0.02459152513
362	0.02456384007
363	0.02452362163
364	0.0244829862
365	0.02444942044
366	0.02436401447
367	0.02433090433
368	0.02426452954
369	0.0242206493
370	0.02418865929
371	0.02415811893
372	0.02409584863
373	0.02403482517
374	0.02400053907
375	0.02389906176
376	0.02386091333
377	0.02381948271
378	0.02377064257
379	0.02374224307
380	0.02364593083
381	0.02356156452
382	0.02353254409
383	0.02349218192
384	0.02344351079
385	0.02337196515
386	0.02329602306
387	0.02323497596
388	0.02320118999
389	0.02314533311
390	0.02311018029
391	0.02307260823
392	0.0230230233
393	0.02298407065
394	0.02292921928
395	0.02285384078
396	0.02282174218
397	0.02278606019
398	0.02272988716
399	0.02266897536
400	0.02261596415
401	0.02258205585
402	0.02254749534
403	0.02249362543
404	0.02244787753
405	0.02241192216
406	0.02237267263
407	0.02232375814
408	0.0222693076
409	0.02222074211
410	0.02218543188
411	0.022140397
412	0.0221097384
413	0.02208030196
414	0.02204395562
415	0.02200508559
416	0.02195637802
417	0.02191621638
418	0.02184723117
419	0.02181652486
420	0.02177366466
421	0.02173211929
422	0.02169381354
423	0.02165159385
424	0.02161502215
425	0.02157086529
426	0.02152741322
427	0.02150295278
428	0.02147073739
429	0.02143805493
430	0.02139493593
431	0.0213667753
432	0.02134479379
433	0.02130653709
434	0.02123435226
435	0.0211962918
436	0.02116581722
437	0.02112589174
438	0.02108205806
439	0.02105494541
440	0.02101475396
441	0.02098524545
442	0.02095041648
443	0.02088259968
444	0.02084877375
445	0.02078187427
446	0.02073868193
447	0.02070037095
448	0.02067242728
449	0.02063629887
450	0.02061056053
451	0.02059179622
452	0.02056514297
453	0.02053769268
454	0.02051038424
455	0.02048325219
456	0.02044985974
457	0.0204244985
458	0.02039172338
459	0.02035557981
460	0.02033166208
461	0.0202964937
462	0.02027024213
463	0.02024630954
464	0.02022004715
465	0.02017983518
466	0.02012893301
467	0.0200929684
468	0.02006612731
469	0.0200368764
470	0.01997165281
471	0.0199317486
472	0.01987552865
473	0.01985729597
474	0.01982403323
475	0.01979996164
476	0.01977214841
477	0.01974327592
478	0.01972603111
479	0.01969402191
480	0.01966073036
481	0.01960602267
482	0.0195630946
483	0.01952984005
484	0.01949666083
485	0.01946029072
486	0.01939799051
487	0.0193632496
488	0.01934202498
489	0.01931779358
490	0.01930268331
491	0.01927863181
492	0.01925181899
493	0.01922445784
494	0.01918192672
495	0.01912581694
496	0.01908949987
497	0.01906019441
498	0.01904377286
499	0.0190130535
500	0.01898493061
501	0.01896359508
502	0.01891859564
503	0.01889353925
504	0.01886426669
505	0.01883922908
506	0.01880697478
507	0.01878145504
508	0.01875860348
509	0.0187310957
510	0.01871688094
511	0.01869123591
512	0.01867251893
513	0.01864464387
514	0.01860817358
515	0.01859970826
516	0.01857418273
517	0.01854729294
518	0.01853583337
519	0.01851144817
520	0.01848133821
521	0.01845586933
522	0.01841882512
523	0.01837184687
524	0.01834764397
525	0.01832953708
526	0.01830292894
527	0.01827955082
528	0.01824845901
529	0.01823971137
530	0.01820329779
531	0.01815487694
532	0.01811795563
533	0.01809329775
534	0.01805755722
535	0.01803688083
536	0.01800524325
537	0.01798088868
538	0.01795693441
539	0.01793266117
540	0.01789946887
541	0.01787337068
542	0.01785053301
543	0.01782813002
544	0.01780331123
545	0.01778403772
546	0.01776720365
547	0.0177420491
548	0.01771356622
549	0.01767515267
550	0.01764691552
551	0.01762459164
552	0.0176086407
553	0.01758726545
554	0.0175651948
555	0.01754191269
556	0.01753129974
557	0.01751106843
558	0.01748787903
559	0.01746995404
560	0.01744702008
561	0.01740523467
562	0.01738360371
563	0.01735231536
564	0.01733175127
565	0.01731180463
566	0.01729867187
567	0.01728217914
568	0.01726272494
569	0.01725396547
570	0.01722893491
571	0.01720299377
572	0.01719312569
573	0.01716465273
574	0.01712138817
575	0.01710725007
576	0.01708961592
577	0.01705771057
578	0.01703588304
579	0.01701627481
580	0.01698561665
581	0.01694495543
582	0.01690786903
583	0.01688600311
584	0.01685826858
585	0.01683702344
586	0.01681005294
587	0.01678176947
588	0.01676837363
589	0.01675942473
590	0.01673959317
591	0.0167217295
592	0.01670032829
593	0.01666949354
594	0.01664769949
595	0.01663434661
596	0.01661529556
597	0.01658942707
598	0.01657174146
599	0.01655081356
600	0.01651033239
601	0.01647943544
602	0.01645948661
603	0.01644186655
604	0.01642077442
605	0.01640061721
606	0.01638138404
607	0.01636454503
608	0.01633814426
609	0.01631080497
610	0.01628616549
611	0.01626788184
612	0.01624857083
613	0.01620686165
614	0.01619401149
615	0.01617961841
616	0.01614632729
617	0.01612864649
618	0.0160944101
619	0.01606609391
620	0.01604437891
621	0.01602833269
622	0.01601196238
623	0.01599377848
624	0.01597680137
625	0.01596915132
626	0.01595023759
627	0.01593229969
628	0.01590015431
629	0.01586255913
630	0.01584441423
631	0.01582902043
632	0.01580307839
633	0.01578537015
634	0.01577064757
635	0.01574601534
636	0.01572398094
637	0.01568812989
638	0.01566703618
639	0.01564362919
640	0.01562763133
641	0.0156113269
642	0.01558954498
643	0.01556777692
644	0.0155601708
645	0.01553946101
646	0.0155204621
647	0.01550252302
648	0.01548535237
649	0.01547006156
650	0.01546185476
651	0.01545260387
652	0.01542988466
653	0.01541295467
654	0.01538360808
655	0.01535087432
656	0.01533384845
657	0.01532332899
658	0.01530327089
659	0.01528376319
660	0.01525268345
661	0.01523781892
662	0.01522376652
663	0.01521284374
664	0.01520012114
665	0.01518248939
666	0.01516009665
667	0.01513571367
668	0.01512121297
669	0.01510400868
670	0.01509393749
671	0.01507954653
672	0.01505935643
673	0.0150536659
674	0.01504722317
675	0.01502092709
676	0.01500972722
677	0.01498337854
678	0.01496507166
679	0.014951453
680	0.01493417992
681	0.01492151951
682	0.01489185699
683	0.01487615609
684	0.01485657838
685	0.01484419186
686	0.01482697962
687	0.01481139919
688	0.01479792841
689	0.01478488097
690	0.0147753401
691	0.01476022886
692	0.01473111168
693	0.01471564023
694	0.01469239921
695	0.01467534919
696	0.01466611668
697	0.01465356895
698	0.01464200973
699	0.01463611999
700	0.01462062809
701	0.01460608238
702	0.01459252949
703	0.01458441521
704	0.01457168818
705	0.01456719605
706	0.01454290249
707	0.01453001098
708	0.01451905358
709	0.01449196295
710	0.01447637585
711	0.01445812789
712	0.0144455648
713	0.01442636436
714	0.01441034674
715	0.01439663706
716	0.01438623806
717	0.0143750473
718	0.01435894996
719	0.01434111808
720	0.01432983624
721	0.01430752061
722	0.01428567027
723	0.01425844978
724	0.01424817991
725	0.01423377677
726	0.01422105001
727	0.01420549182
728	0.01418643094
729	0.01417591127
730	0.01416195808
731	0.01414919645
732	0.01412913875
733	0.01411104449
734	0.01408913747
735	0.01407409086
736	0.01406392479
737	0.01405250968
