iter	Passed	Remaining
408	5026	7263
409	5038	7250
410	5050	7237
411	5063	7226
412	5077	7216
413	5090	7205
414	5103	7193
415	5115	7181
416	5127	7168
417	5138	7154
418	5152	7145
419	5164	7131
420	5177	7120
421	5188	7106
422	5199	7092
423	5211	7079
424	5223	7066
425	5234	7053
426	5246	7040
427	5259	7028
428	5270	7015
429	5283	7003
430	5295	6990
431	5306	6977
432	5318	6964
433	5329	6950
434	5341	6938
435	5353	6924
436	5365	6912
437	5377	6900
438	5390	6888
439	5401	6875
440	5414	6863
441	5427	6851
442	5439	6839
443	5452	6827
444	5464	6815
445	5477	6803
446	5490	6792
447	5505	6783
448	5518	6772
449	5532	6761
450	5543	6748
451	5556	6736
452	5568	6724
453	5584	6716
454	5597	6704
455	5611	6693
456	5622	6680
457	5634	6667
458	5646	6655
459	5658	6642
460	5671	6630
461	5682	6616
462	5693	6603
463	5705	6591
464	5716	6577
465	5727	6563
466	5738	6549
467	5751	6537
468	5763	6525
469	5775	6512
470	5786	6498
471	5798	6486
472	5809	6473
473	5821	6460
474	5833	6447
475	5844	6433
476	5856	6420
477	5867	6407
478	5878	6394
479	5889	6380
480	5902	6368
481	5913	6355
482	5926	6343
483	5938	6331
484	5949	6317
485	5962	6305
486	5974	6293
487	5986	6281
488	5998	6268
489	6010	6255
490	6023	6244
491	6033	6230
492	6045	6216
493	6056	6203
494	6069	6191
495	6083	6181
496	6096	6170
497	6109	6158
498	6120	6145
499	6132	6132
500	6147	6122
501	6160	6111
502	6172	6098
503	6184	6086
504	6197	6075
505	6210	6063
506	6223	6051
507	6235	6039
508	6246	6025
509	6258	6013
510	6269	5999
511	6282	5987
512	6293	5974
513	6305	5962
514	6318	5950
515	6329	5937
516	6341	5924
517	6352	5911
518	6364	5898
519	6376	5885
520	6387	5872
521	6397	5858
522	6410	5846
523	6422	5834
524	6434	5821
525	6445	5808
526	6459	5798
527	6472	5786
528	6483	5772
529	6495	5759
530	6508	5748
531	6520	5736
532	6533	5724
533	6546	5713
534	6560	5701
535	6573	5690
536	6585	5678
537	6596	5665
538	6609	5652
539	6622	5641
540	6634	5628
541	6646	5616
542	6659	5604
543	6671	5591
544	6683	5579
545	6694	5566
546	6706	5554
547	6718	5541
548	6729	5527
549	6740	5515
550	6752	5502
551	6763	5489
552	6775	5476
553	6786	5463
554	6797	5450
555	6808	5437
556	6823	5426
557	6837	5416
558	6849	5403
559	6860	5390
560	6872	5378
561	6885	5365
562	6895	5352
563	6908	5340
564	6921	5328
565	6934	5316
566	6946	5304
567	6958	5292
568	6969	5279
569	6982	5267
570	6995	5255
571	7007	5243
572	7018	5230
573	7031	5218
574	7044	5206
575	7055	5193
576	7066	5180
577	7082	5171
578	7094	5158
579	7107	5146
580	7119	5134
581	7130	5121
582	7144	5109
583	7160	5100
584	7172	5087
585	7184	5075
586	7195	5062
587	7206	5049
588	7216	5035
589	7228	5023
590	7240	5010
591	7252	4998
592	7264	4985
593	7276	4973
594	7287	4960
595	7300	4948
596	7312	4936
597	7324	4923
598	7336	4911
599	7349	4899
600	7361	4887
601	7373	4874
602	7384	4861
603	7398	4850
604	7408	4837
605	7420	4824
606	7432	4812
607	7446	4801
608	7459	4789
609	7471	4776
610	7484	4765
611	7495	4751
612	7508	4740
613	7519	4727
614	7530	4713
615	7541	4701
616	7553	4689
617	7564	4675
618	7577	4663
619	7589	4651
620	7602	4639
621	7613	4626
622	7624	4613
623	7636	4601
624	7648	4588
625	7661	4577
626	7672	4564
627	7684	4551
628	7697	4540
629	7708	4527
630	7720	4514
631	7732	4502
632	7743	4489
633	7755	4476
634	7767	4464
635	7780	4452
636	7792	4440
637	7804	4428
638	7815	4415
639	7826	4402
640	7838	4390
641	7851	4378
642	7864	4366
643	7876	4353
644	7887	4341
645	7899	4328
646	7911	4316
647	7925	4304
648	7938	4293
649	7951	4281
650	7963	4268
651	7974	4256
652	7987	4244
653	8000	4232
654	8012	4220
655	8023	4207
656	8034	4194
657	8046	4182
658	8058	4170
659	8072	4158
660	8085	4146
661	8098	4135
662	8111	4122
663	8123	4110
664	8139	4100
665	8151	4088
666	8164	4075
667	8175	4063
668	8187	4050
669	8200	4039
670	8213	4027
671	8224	4014
672	8236	4002
673	8248	3989
674	8260	3977
675	8272	3965
676	8284	3952
677	8295	3939
678	8307	3927
679	8319	3915
680	8332	3903
681	8344	3890
682	8357	3878
683	8368	3866
684	8379	3853
685	8390	3840
686	8402	3828
687	8414	3815
688	8428	3804
689	8442	3793
690	8455	3781
691	8468	3769
692	8480	3756
693	8493	3744
694	8504	3732
695	8515	3719
696	8528	3707
697	8543	3696
698	8555	3683
699	8566	3671
700	8579	3659
701	8591	3647
702	8603	3634
703	8616	3622
704	8628	3610
705	8639	3597
706	8650	3585
707	8662	3572
708	8675	3560
709	8689	3549
710	8700	3536
711	8711	3523
712	8723	3511
713	8735	3499
714	8746	3486
715	8757	3473
716	8769	3461
717	8782	3449
718	8793	3436
719	8805	3424
720	8817	3411
721	8828	3399
722	8839	3386
723	8850	3374
724	8862	3361
725	8873	3349
726	8886	3336
727	8897	3324
728	8909	3312
729	8921	3299
730	8934	3287
731	8947	3275
732	8959	3263
733	8971	3251
734	8983	3238
735	8994	3226
736	9005	3213
737	9017	3201
738	9028	3188
739	9040	3176
740	9052	3164
741	9064	3151
742	9076	3139
743	9088	3127
744	9100	3115
745	9112	3102
746	9127	3091
747	9138	3078
748	9150	3066
749	9162	3054
750	9174	3041
751	9187	3030
752	9199	3017
753	9211	3005
754	9223	2993
755	9235	2980
756	9247	2968
757	9259	2956
758	9271	2943
759	9283	2931
760	9294	2918
761	9306	2906
762	9317	2894
763	9329	2881
764	9340	2869
765	9352	2856
766	9364	2844
767	9378	2832
768	9390	2820
769	9403	2808
770	9415	2796
771	9426	2784
772	9439	2771
773	9450	2759
774	9461	2746
775	9472	2734
776	9485	2722
777	9496	2709
778	9509	2697
779	9521	2685
780	9533	2673
781	9544	2660
782	9556	2648
783	9568	2636
784	9580	2623
785	9592	2611
786	9604	2599
787	9616	2587
788	9628	2574
789	9641	2563
790	9653	2550
791	9665	2538
792	9678	2526
793	9689	2514
794	9701	2501
795	9712	2489
796	9725	2477
797	9738	2465
798	9751	2453
799	9762	2440
800	9775	2428
801	9785	2415
802	9798	2403
803	9810	2391
804	9821	2379
805	9832	2366
806	9844	2354
807	9855	2341
808	9867	2329
809	9879	2317
810	9891	2305
811	9903	2292
812	9916	2280
813	9927	2268
814	9938	2256
815	9950	2243
816	9962	2231
817	9974	2219
818	9986	2207
819	10000	2195
820	10012	2182
821	10024	2170
822	10037	2158
823	10048	2146
824	10060	2133
825	10075	2122
826	10088	2110
827	10099	2097
828	10111	2085
829	10125	2073
830	10136	2061
831	10147	2049
832	10159	2036
833	10172	2024
834	10184	2012
835	10195	2000
836	10208	1987
837	10220	1975
838	10233	1963
839	10246	1951
840	10257	1939
841	10269	1927
842	10282	1914
843	10294	1902
844	10307	1890
845	10320	1878
846	10330	1866
847	10342	1853
848	10354	1841
849	10368	1829
850	10381	1817
851	10393	1805
852	10405	1793
853	10417	1781
854	10431	1769
855	10442	1756
856	10452	1744
857	10465	1731
858	10477	1719
859	10489	1707
860	10501	1695
861	10514	1683
862	10526	1671
863	10539	1659
864	10550	1646
865	10562	1634
866	10574	1622
867	10586	1609
868	10598	1597
869	10611	1585
870	10622	1573
871	10633	1560
872	10645	1548
873	10657	1536
874	10669	1524
875	10681	1511
876	10691	1499
877	10703	1487
878	10714	1474
879	10726	1462
880	10737	1450
881	10748	1438
882	10761	1425
883	10773	1413
884	10786	1401
885	10799	1389
886	10812	1377
887	10824	1365
888	10835	1352
889	10847	1340
890	10859	1328
891	10872	1316
892	10885	1304
893	10896	1291
894	10907	1279
895	10918	1267
896	10930	1255
897	10942	1242
898	10955	1230
899	10966	1218
900	10978	1206
901	10990	1194
902	11003	1182
903	11015	1169
904	11026	1157
905	11039	1145
906	11050	1133
907	11062	1120
908	11078	1109
909	11089	1096
910	11101	1084
911	11116	1072
912	11129	1060
913	11140	1048
914	11151	1035
915	11163	1023
916	11175	1011
917	11186	999
918	11197	986
919	11209	974
920	11219	962
921	11232	950
922	11244	938
923	11256	925
924	11267	913
925	11280	901
926	11292	889
927	11303	876
928	11314	864
929	11326	852
930	11337	840
931	11349	828
932	11360	815
933	11371	803
934	11383	791
935	11394	779
936	11406	766
937	11417	754
938	11429	742
939	11441	730
940	11453	718
941	11464	705
942	11477	693
943	11487	681
944	11498	669
945	11511	657
946	11524	644
947	11535	632
948	11546	620
949	11558	608
950	11569	596
951	11581	583
952	11598	572
953	11612	559
954	11627	547
955	11641	535
956	11656	523
957	11671	511
958	11688	499
959	11703	487
960	11718	475
961	11733	463
962	11747	451
963	11762	439
964	11777	427
965	11790	414
966	11806	402
967	11821	390
968	11837	378
969	11851	366
970	11865	354
971	11884	342
972	11899	330
973	11916	318
974	11931	305
975	11946	293
976	11960	281
977	11976	269
978	11990	257
979	12006	245
980	12021	232
981	12041	220
982	12064	208
983	12082	196
984	12098	184
985	12113	171
986	12131	159
987	12147	147
988	12163	135
989	12178	123
990	12192	110
991	12207	98
992	12224	86
993	12239	73
994	12254	61
995	12270	49
996	12286	36
997	12301	24
998	12315	12
999	12330	0
