,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,1.1,0.08738738738738738,0.3,0.7000000000000001,0.2,0.21118359739049394,1,0.6,0.7,1.5,0.21800529567519858,1.1,1.3,3.3,0.8097165991902834,5,4.2,x,x,x,x,4.2,3.1
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.3,0.6074450084602369,3,2.65,2.2,0.05153203342618384,1.7,2,1.2,9.749303621169916e-06,0.5,0.9,1.5,2.1
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,1.4,0.31492666091458155,1.5,1.45,0,0.571912013536379,2.8,1.4,1.4,0,0.04585798816568047,0.2,0.1,2.1,1,5,3.6,1.2,0.00022580645161290321,5,3.1,3.4,2.1
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.2,0.5812182741116751,2.9,2.55,1.1,0.008733624454148471,0.3,0.7,0,0,0,0,0.4,1.6
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,2.8,1,5,3.9,3.5,1.2529569292568623,5,4.25,4.1,0.9,0.010241339389081842,0,0.45,2.9,1,5,4,x,x,x,x,4,2.6
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.5,0.005771720762832752,0,0.75,3.5,1,5,4.3,2.4,0.00018250950570342206,5,3.7,4,2.7
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.0048938925099304325,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,x,x,x,x,0.4,1.1494252873563218e-05,0.6,0.5,0.5,1.6
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,5,1,5,5,5,1.0048938925099304,5,5,5,1.9,0.009543568464730291,0,0.95,3.5,0.6018306636155606,5,4.3,2.5,0.00013272311212814646,5,3.8,4.1,2.9
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,4,1,5,4.5,4.2,1,5,4.6,4.6,4,0.4217543469807233,2.1,3.05,3.9,0.0661222339304531,2.2,3.1,2.4,6.059009483667018e-06,0.3,1.4,2.3,2.7
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,3.8,0.12687362364140087,0.6,2.1999999999999997,2,1.6,0.020926651735722286,0.1,0.8500000000000001,3.5,1,5,4.3,0,0,0,0,2.8,1.9
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,3.3,1,5,4.15,1.9,1,5,3.45,3.8,2.6,0.2937249666221629,1.4,2,3.6,0.3190909090909091,5,4.3,0,0,0,0,2.8,2.4
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,3.3,0.1999160352651886,0.9,2.1,3.6,0.25623921552123224,1.2,2.4,2.3,1.2,0.013139525334647286,0,0.6,3.1,1,5,4.1,2.9,0.000625,5,4,4.1,2.8
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,5,1.128571,5,5,5,1,5,5,5,5,0.6791510513235236,3.4,4.2,5,0.04847872303349249,1.6,3.3,4.2,9.82818108946433e-06,0.5,2.4,2.9,3.6
International Displacement,Displacement,ETH003,Ethiopia,ETH,5,1.128571,5,5,5,1,5,5,5,5,0.331208331689613,1.6,3.3,4.2,0.02205864837180495,0.7,2.5,x,x,x,x,2.5,2.9
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,4.1,0.299,1.4,2.75,4.9,0.23748471340092311,1.1,3,2.9,5,1,5,5,4.9,0.09069767441860466,3,4,4.2,3.0033222591362126e-05,1.5,2.9,3.5,4.4
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,4.8,0.7843,3.9,4.35,5,0.4733914552842321,2.3,3.65,4,4.8,0.40166666666666667,2,3.4,3.9,0.021410788381742738,0.7,2.3,2,9.95850622406639e-07,0,1,1.7,2.6
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,0.9,0.026097750193948797,0,0.45,0,0.03987788589963747,0.2,0.1,0.3,1.2,0.4138755980861244,2,1.6,3.2,1,5,4.1,2.9,0.0006300578034682081,5,4,4.1,3.1
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,3.4,1,5,4.2,4.1,1,5,4.55,4.4,3.7,0.28901734104046245,1.4,2.55,3.4,0.0484,1.6,2.5,3,2.66e-05,1.3,2.2,2.4,2.5
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event,Cyclone",HND001,Honduras,HND,3.4,1,5,4.2,3.3,1,5,4.15,4.2,3.3,0.3333333333333333,1.6,2.45,3.4,0.0771875,2.6,3,4.1,0.0002403125,5,4.6,3.9,3.3
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.4,1,5,3.7,3.5,1,5,4.25,4,4,0.6578947368421053,3.3,3.65,3.1,0.021066666666666668,0.7,1.9,4.7,0.00027866666666666665,5,4.9,3.8,3.7
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,1.8,0.46629172714078376,2.3,2.05,2.7,0.5639473684210526,2.8,2.75,2.4,2.2,0.10732617825478301,0.5,1.35,1.8,0.02463768115942029,0.8,1.3,4.8,0.0032579710144927535,5,4.9,3.7,2.7
Displacement from Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,1.3,0.06556942450016569,0.2,0.75,0,0.0595062456968624,0.3,0.15,0.5,0.4,0.0859504132231405,0.4,0.4,2.5,1,5,3.8,0,0,0,0,2.3,1.4
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,4.4,0.23294214410704528,1.1,2.75,2.5,0.020124864458778816,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.018389113644722323,0.6,1.8,2.5,9.746230231702832e-06,0.5,1.5,1.7,3.3
Country Level,"Earthquake,Socio-political,Violence",IDN007,Indonesia,IDN,4.4,0.2402992983986266,1.1,2.75,4.5,0.08252378679042088,0.4,2.45,2.6,3.9,0.32458854657159514,1.6,2.75,3.3,0.029704338214976513,1,2.2,2.5,7.32246476927328e-06,0.4,1.5,1.9,2.3
Earthquake in West Java province,Earthquake,IDN008,Indonesia,IDN,1.9,0.007357154291581336,0,0.95,4.1,0.06239892233164208,0.3,2.1999999999999997,1.6,2.9,0.10675523397188778,0.5,1.7,2.9,0.06388888888888888,2.1,2.5,0,0,0,0,1.4,1.6
Conflict in Jammu and Kashmir,Socio-political,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.9,0.010516448120304969,0,1.95,2,x,x,x,x,3.6,x,x,3.6,2.5,x,x,2.5,3.1,3.1
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,4,0.1470818291215403,0.6,2.3,4.6,0.28856236122897366,1.4,3,2.7,3.6,0.18035692704346776,0.9,2.25,5,1,5,5,x,x,x,x,5,4
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,1,5,5,4.7,3.7,0.1252247393024092,0.6,2.15,5,1.4998205312275663,5,5,4.2,0.0001512921751615219,5,4.6,4.8,3.8
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,0.9817062207838907,4.9,4.95,4.7,3.7,0.12133144086809212,0.6,2.15,5,1.5269811320754716,5,5,4.2,0.0001590566037735849,5,4.6,4.8,3.8
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,2.6,0.08288819303739178,0.3,1.45,2.6,0.13722581805106077,0.6,1.6,1.5,2.2,0.11267605633802817,0.5,1.35,3.5,0.3953488372093023,5,4.3,0,0,0,0,2.8,2.1
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,2.7,0.13957639219419324,0.6,1.6500000000000001,2.8,0.1114876650884625,0.5,1.65,1.7,1.7,0.04634182685143794,0.2,0.95,3.6,1,5,4.3,4.6,0.005553054662379421,5,4.8,4.6,3.3
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,2.7,0.4557670646542014,2.2,2.45,3.1,0.8058486026281695,4,3.55,3,2.9,0.2111851171336702,1,1.95,4.5,0.7172376291462752,5,4.8,0,0,0,0,3.2,2.6
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5298339329190741,2.6,3.75,4.3,4.9,1,5,4.95,4.1,0.0267137615308117,0.9,2.5,x,x,x,x,2.5,4
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.2,0.020858316072531705,0.1,0.15000000000000002,0.8,2.1,0.5130662020905923,2.5,2.3,4,1,5,4.5,x,x,x,x,4.5,3.6
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5191322359097351,2.6,3.75,4.3,4.9,1,5,4.95,x,x,x,x,x,x,x,x,x,4.95
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,4.5,0.2631578947368421,5,4.8,0,0,0,0,3.2,3.9
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,4.6,0.2807017543859649,5,4.8,1.2,1.2280701754385965e-06,0.1,0.7,3.4,4
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,3.9,1,5,4.45,4.6,0.22966298663567694,5,4.8,4.7,0.0002684485764090645,5,4.9,4.9,4.7
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,2.3,0.10909355026147588,0.5,1.4,4.1,1,5,4.6,4.7,0.002432756324900133,5,4.9,4.8,3.6
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,3,0.9999202678998564,5,4,4.5,1,5,4.75,4.4,4.7,1,5,4.85,0,0,0,0,0,4.513450081242102e-08,0,0,0,3.3
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,0,0.0005024062615685653,0,0,1.8,1,5,3.4,2.9,0.005263157894736842,5,4,3.7,2.3
DIsplacement from Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,0.3,0.04852449041679343,0.1,0.2,0,0.06389776357827476,0.3,0.15,0.2,0.9,0.5045454545454545,2.5,1.7,2.9,1,5,4,0,0,0,0,2.5,2.1
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,3.9,0.4006428325885184,1.9,2.9,3.1,0.2731398043254377,1.3,2.2,2.6,4,1,5,4.5,2.9,0.013550135501355014,0.5,1.7,1.8,2.0030635088959585e-06,0.1,1,1.4,3.3
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,2.6,0.2005020597322348,1,1.8,2.1,3.6,0.6913322632423756,3.4,3.5,1.3,0.0018574413745066172,0.1,0.7,x,x,x,x,0.7,2.3
Tropical cyclone Freddy in Madagascar,Cyclone,MDG008,Madagascar,MDG,3.9,0.4006428325885184,1.9,2.9,3.1,0.2731398043254377,1.3,2.2,2.6,4,1,5,4.5,2.4,0.005302226935312832,0.2,1.3,1.8,2.0030635088959585e-06,0.1,1,1.2,3.3
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,5,1,5,5,5,1,5,5,5,2.1,0.005126083064502508,0,1.05,4,1,5,4.5,5,0.01385831960461285,5,5,4.8,3.5
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,5,1,5,5,5,1,5,5,5,1.8,0.003200635060043576,0,0.9,3.7,1,5,4.4,5,0.0198311345646438,5,5,4.7,3.4
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,5,0.8599696494251395,4.3,4.65,5,0.9642525377066901,4.8,4.9,4.8,1.4,0.0019968295951165254,0,0.7,3.4,1,5,4.2,4.2,0.003929824561403509,5,4.6,4.4,3
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,5,1.0163908899433696,5,5,4.5,1,5,4.75,4.9,4.4,0.5944700460829493,3,3.7,4.5,0.11651162790697675,3.9,4.2,4.6,0.00012728682170542636,5,4.8,4.5,4.1
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,4.7,1.0359802780670055,5,4.85,5,1,5,5,4.9,5,0.9802669345579793,4.9,4.95,5,0.054278603323329185,1.8,3.4,5,0.0001398506697899129,5,5,4.4,4.7
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.6,0.056314693452563236,0.2,1.4000000000000001,1.8,0.062284730195177954,0.3,1.05,1.2,3.4,1,5,4.2,4.4,0.37413594470046085,5,4.7,1.9,6.048387096774193e-06,0.3,1.1,3.4,3.8
