Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Drought in Senegal,Drought,SEN002,Senegal,SEN,196712,17876000,5625000,4000,0,0,15,0,0,#N/A,x,12251000,4361000,1206000,57000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Complex crisis in El Salvador,"Displacement,Violence,Floods,Drought",SLV001,El Salvador,SLV,20720,6300000,1115000,73000,x,1269,79,x,x,#N/A,977450,5185000,0,446000,669000,0,3,x,x,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0
Complex crisis in Somalia,"Conflict,Displacement,Floods,Drought",SOM001,Somalia,SOM,627340,16900000,16900000,6427000,608,1800000,46811,x,x,#N/A,x,0,8788000,4056000,2535000,1521000,5,x,x,2.0,3.0,2.0,0.0,2.0,2.0,3.0,2.0,3.0
Mixed Migration Flows in Somalia,Displacement,SOM002,Somalia,SOM,98924,2694000,36000,36000,x,x,43,0,0,#N/A,0,2658000,0,36000,x,x,1,x,x,2.0,3.0,2.0,0.0,2.0,2.0,3.0,2.0,3.0
Complex crisis in South Sudan,"Conflict,Floods,Displacement",SSD001,South Sudan,SSD,644329,12777000,12777000,7087000,x,2141832,497,x,x,#N/A,14369,0,3370000,1410000,7896000,94000,5,x,1500000,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0
Displacement from Ukraine conflict in Slovakia,"Displacement,Conflict",SVK002,Slovakia,SVK,15700,1679000,107000,107000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,1573000,0,107000,x,x,2,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Security Crisis in Eswatini,Drought,SWZ001,Eswatini,SWZ,17200,1188000,660000,x,0,0,4,#N/A,#N/A,#N/A,#N/A,528000,422000,238000,0,0,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Syrian conflict,"Conflict,Displacement,Violence",SYR001,Syria,SYR,185180,22125000,22125000,17810000,x,x,1657,x,x,#N/A,x,0,2648000,14233000,5093000,152000,5,x,1160000,2.0,3.0,3.0,0.0,2.0,3.0,3.0,2.0,3.0
Türkiye / Syria earthquake in Syria,Earthquake,SYR002,Syria,SYR,57285,13578000,8800000,2700000,11200,x,0,10000,10600,#N/A,x,4778000,4700000,2993000,1066000,41000,5,x,x,2.0,3.0,3.0,0.0,2.0,3.0,3.0,2.0,3.0
Complex crisis in Chad,"Conflict,Displacement",TCD001,Chad,TCD,1284000,18294000,5373000,1313000,x,x,153,x,x,#N/A,x,12921000,0,2531000,1744000,1098000,4,x,x,1.0,3.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0
