Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,91071.77,23300000,1439000,503000,x,x,0,x,x,#N/A,x,21861000,936000,165000,338000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,101000,3227000,2582000,314000,x,x,0,x,x,#N/A,x,645000,0,2582000,0,0,5,x,x,3.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0
Mixed migration flows in spain,International displacement,ESP002,Spain,ESP,92610,11983000,115000,115000,x,x,131,x,x,#N/A,x,11868000,0,115000,0,0,2,x,x,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,1063652,103700000,103700000,6515000,0,0,11492,x,x,#N/A,x,0,80200000,925000,17150000,5425000,4,0,10000,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
International Displacement,International displacement,ETH003,Ethiopia,ETH,1063652,103700000,17744000,824000,0,0,0,x,x,#N/A,x,86000000,16876000,824000,0,0,3,0,0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0
Northern Ethiopia Conflict,Conflict,ETH004,Ethiopia,ETH,311484,30500000,30500000,2172000,0,0,7172,#N/A,#N/A,#N/A,#N/A,0,21100000,6899000,2100000,401000,4,0,10000,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,3364.07,414000,169000,169000,0,x,8,x,x,#N/A,x,245000,151000,18000,0,0,2,x,x,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,108889,17100000,5700000,242000,x,x,2960,0,0,#N/A,x,11400000,1900000,3300000,174000,326000,3,x,x,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,111900,9400000,4000000,245000,x,113000,1909,x,x,#N/A,12965,5400000,706000,2679000,615000,0,3,x,x,0.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,2.0
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,27166,10898000,6950000,180000,0,0,2208,52953,52953,#N/A,x,3948000,1900000,2550000,1500000,1000000,3,x,x,0.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,3.0
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,12851,6429000,800000,160000,12268,9915,2189,92821,61689,#N/A,x,5629000,150000,650000,0,0,3,x,x,0.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,3.0
Papua Conflict,Conflict,IDN002,Indonesia,IDN,416060,3594000,3594000,60000,x,x,43,x,x,#N/A,x,3534000,0,60000,0,0,4,x,x,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,222236,12541000,x,x,x,x,180,x,x,#N/A,x,12541000,x,x,x,x,x,x,x,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,239561,24823000,3400000,3400000,x,x,0,x,x,#N/A,x,21423000,0,800000,2600000,0,2,x,x,1.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,435052,41191000,6393000,8493000,x,x,1238,x,x,#N/A,133900,34797000,3686000,1365000,874000,468000,5,1500000,300000,1.0,2.0,2.0,0.0,3.0,3.0,1.0,3.0,1.0
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,435052,41191000,6139000,8239000,x,x,1238,x,x,#N/A,133900,35052000,3686000,1284000,721000,448000,5,1500000,300000,1.0,2.0,2.0,0.0,3.0,3.0,1.0,3.0,1.0
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,40643,5147000,486000,255000,x,x,0,x,0,#N/A,x,4661000,0,313000,153000,20000,5,x,0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,41054,7012000,208000,208000,x,x,696,x,0,#N/A,x,6804000,0,208000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,40463,8708000,1838000,1318000,x,x,0,x,x,#N/A,x,6870000,1149000,530000,159000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,519240,16907000,3440000,540000,0,0,0,0,0,#N/A,0,13467000,0,3073000,368000,0,2,0,0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,38244,1099000,540000,540000,0,0,0,0,0,#N/A,0,559000,0,540000,0,0,2,0,x,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0
