,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
MDG002,6,6,6,6,1,6,6,6,6,6,6,96,96,96,96,96,96,96,96,96,14.5
MDG006,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,2
MEX001,125,125,125,125,125,125,125,125,125,125,125,103,103,103,103,103,103,103,103,103,122.8
MEX002,125,125,125,125,368,125,125,125,125,125,794,104,104,104,104,104,104,104,104,104,214.1
MEX003,125,125,125,125,125,125,125,125,125,125,125,103,103,103,103,103,103,103,103,103,122.8
MLI001,483,325,325,73,73,325,325,325,325,325,1103,96,96,96,96,96,96,96,96,96,329.5
MMR001,7,7,7,7,8,7,7,7,7,7,364,95,95,95,95,95,95,95,95,95,51.6
MMR002,364,7,8,8,8,8,8,8,8,8,364,95,95,95,95,95,95,95,95,95,52.3
MMR003,364,7,7,7,8,7,7,7,7,7,364,95,95,95,95,95,95,95,95,95,51.6
MMR004,7,7,7,7,8,7,7,7,7,7,222,96,96,96,96,96,96,96,96,96,37.5
MOZ001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZ004,339,200,0,115,0,0,0,0,0,0,200,0,94,94,94,94,94,94,94,0,31.5
MOZ008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRT002,1082,173,173,173,173,173,173,173,173,173,1082,98,98,98,98,98,98,98,98,98,256.4
MRT003,490,173,173,523,173,173,173,173,173,354,523,98,98,98,98,98,98,98,98,98,253.6
MWI002,141,141,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,14.1
MWI004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYS001,311,308,8,8,311,8,311,8,308,308,308,98,98,98,98,98,98,98,98,98,167.6
NAM002,204,35,35,724,1,35,35,35,35,35,204,96,96,96,96,96,96,96,96,96,123.5
NER001,1084,367,367,70,70,367,367,367,367,367,1084,93,93,93,93,93,93,93,93,93,351.9
NER002,1084,367,367,124,124,367,367,367,367,367,1084,93,93,93,93,93,93,93,93,93,362.7
NER003,1084,367,367,124,124,367,367,367,367,367,1084,94,94,94,94,94,94,94,94,94,362.8
NER004,367,367,367,124,124,367,367,367,367,367,777,93,93,93,93,93,93,93,93,93,332
NGA001,943,174,66,66,66,66,66,66,66,66,943,94,94,94,94,94,94,94,94,94,156.5
NGA003,427,174,66,66,66,66,66,66,66,66,944,94,94,94,94,94,94,94,94,94,156.6
