,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,0.3,,,,
(a-z),,,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,Complex crisis,4.4,5,Very High,Decreasing,High,4.8,4.7,4.8,3.9,4.8,3,4.6,4.6,4.5,Africa,2022-01-27 00:00:00
Mixed Migration Flows in Somalia,Mixed Migration,SOM002,Somalia,SOM,International displacement,1.9,2,Low,Stable,High,1.4,0.8,1.7,0.85,0.7,1,3.8,4.6,2.5,Africa,2022-01-27 00:00:00
Drought in Somalia,Drought,SOM005,Somalia,SOM,Drought,3.7,4,High,-,High,3.2,4.7,1.9,3.6,4.2,3,4.3,4.6,4,Africa,2022-01-28 00:00:00
Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,Complex crisis,4.6,5,Very High,Stable,Medium,4.7,4.6,4.7,4.45,4.9,4,4.6,4.7,4.5,Africa,2021-10-27 00:00:00
Food Security Crisis in Eswatini,Food Security Crisis,SWZ001,Eswatini,SWZ,Food Security,2.5,3,Medium,Increasing,High,2.1,3.1,1.5,2.75,2.5,3,2.5,3.3,1.5,Africa,2022-01-30 00:00:00
Syrian conflict,Conflict,SYR001,Syria,SYR,Complex crisis,5,5,Very High,Stable,High,4.8,4.5,4.9,5,5,5,5.1,5.2,5,Middle east,2022-01-23 00:00:00
Complex crisis in Chad,Complex crisis,TCD001,Chad,TCD,Multiple crises country,4.3,5,Very High,Increasing,Medium,4,4.8,3.4,4.35,4.7,4,4.3,4.6,4,Africa,2021-11-22 00:00:00
Boko Haram in Chad,Boko Haram ,TCD003,Chad,TCD,Conflict,3.8,4,High,Stable,Medium,3.1,0.6,3.9,3.8,2.6,5,4.3,4.6,4,Africa,2021-10-29 00:00:00
CAR refugees in Chad,CAR refugees,TCD004,Chad,TCD,International displacement,3.5,4,High,Stable,Medium,2.8,1.9,3.2,3.65,3.3,4,3.8,4.6,2.5,Africa,2021-10-29 00:00:00
Darfur refugees in Chad,Darfur refugees,TCD005,Chad,TCD,International displacement,3.4,4,High,Decreasing,Medium,2.5,1.7,2.9,3.7,3.4,4,3.6,4.6,2,Africa,2021-10-29 00:00:00
Tibesti Conflict in Chad,Tibesti conflict,TCD006,Chad,TCD,Conflict,2.7,3,Medium,Decreasing,Medium,2.4,1.3,2.8,2.2,0.4,4,3.8,4.6,2.5,Africa,2021-10-29 00:00:00
Multiple situations in Thailand,Country level,THA001,Thailand,THA,Multiple crises country,1.9,2,Low,Decreasing,High,2,1.2,2.4,1.3,1.6,1,2.8,3,2.5,Asia,2022-01-23 00:00:00
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,Conflict,x,x,x,-,Very Low,1.7,1.1,2,x,x,x,2.3,3,1.5,Asia,2022-01-23 00:00:00
Myanmar refugees in Thailand,Refugees,THA003,Thailand,THA,International displacement,2.3,3,Medium,Stable,Medium,2.5,0,3.4,2.3,1.6,3,2.3,3,1.5,Asia,2022-01-23 00:00:00
Tonga Volcano Eruption,Volcano Eruption,TON002,Tonga,TON,Volcano,1.3,2,Low,-,Very High,2,2.5,1.7,1,0,2,1.2,0.9,1.5,Pacific,2022-01-30 00:00:00
Venezuelan refugees in Trinidad and Tobago,Venezuelan refugees,TTO002,Trinidad and Tobago,TTO,International displacement,1.8,2,Low,Increasing,Medium,2.6,2.9,2.4,1.15,1.3,1,1.9,1.8,2,Americas,2021-10-26 00:00:00
Mixed migration flows in Tunisia,Mixed Migration,TUN002,Tunisia,TUN,International displacement,x,x,x,-,Low,4.2,4.3,4.2,x,x,x,1.9,2.9,0.5,Africa,2021-10-21 00:00:00
Complex situation in Turkey,Country level,TUR001,Turkey,TUR,Multiple crises country,3.4,4,High,Stable,High,3.5,3.7,3.4,3,4,2,3.8,4.1,3.5,Middle east,2021-12-29 00:00:00
Syrian Refugees in Turkey,Syrian refugees,TUR002,Turkey,TUR,International displacement,3.4,4,High,Decreasing,High,3.2,2.9,3.3,3.45,3.9,3,3.4,4.1,2.5,Middle east,2021-12-29 00:00:00
Mixed Migration Flows in Turkey,Mixed Migration,TUR003,Turkey,TUR,International displacement,3.4,4,High,Stable,High,3.2,3.1,3.3,3.5,4,3,3.4,4.1,2.5,Middle east,2021-12-29 00:00:00
Kurdish Conflict,Kurdish conflict,TUR004,Turkey,TUR,Conflict,x,x,x,-,Medium,3,2.4,3.2,x,x,x,3.4,4.1,2.5,Middle east,2021-12-29 00:00:00
International Displacement in Tanzania,Refugees,TZA002,Tanzania,TZA,International displacement,2.5,3,Medium,Stable,Very High,3.1,2.3,3.5,2.15,2.3,2,2.4,3.1,1.5,Africa,2022-01-30 00:00:00
International Displacement in Uganda,Refugees,UGA005,Uganda,UGA,International displacement,3.2,4,High,Stable,Medium,3.3,2.1,3.7,3.3,3.6,3,2.8,3.5,2,Africa,2021-10-29 00:00:00
Conflict in Ukraine,Conflict,UKR002,Ukraine,UKR,Conflict,3.7,4,High,Increasing,Medium,3.2,1.7,3.7,4.1,4.2,4,3.3,3,3.5,Europe,2021-10-27 00:00:00
Complex crisis in Venezuela,Complex crisis,VEN001,Venezuela,VEN,Complex crisis,4.2,5,Very High,Stable,Medium,5,4.9,5,4,5,3,3.8,4.1,3.5,Americas,2021-10-20 00:00:00
Conflict in Yemen,Complex crisis,YEM001,Yemen,YEM,Complex crisis,4.8,5,Very High,Decreasing,High,4.6,4.9,4.4,5,5,5,4.6,4.7,4.5,Middle east,2022-01-24 00:00:00
Mixed migration flows in Yemen,Mixed Migration,YEM002,Yemen,YEM,International displacement,4.6,5,Very High,Increasing,High,4.6,4.9,4.4,5,5,5,4,4.7,3,Middle east,2022-01-24 00:00:00
Drought in Zambia,Drought,ZMB002,Zambia,ZMB,Drought,2.9,3,Medium,Stable,Very High,3,4.3,2,3.35,3.7,3,2.1,2.1,2,Africa,2022-01-30 00:00:00
Complex crisis in Zimbabwe,Complex crisis,ZWE001,Zimbabwe,ZWE,Complex crisis,3.8,4,High,Increasing,Very High,3.8,4.6,3.2,4.35,4.7,4,3,3.5,2.5,Africa,2022-01-30 00:00:00
