,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,0.3,,,,
(a-z),,,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Northern Ethiopia Conflict,Northern Ethiopia Conflict,ETH004,Ethiopia,ETH,Conflict,4.5,5,Very High,Decreasing,High,4.3,3,4.7,4.5,5,4,4.6,4.6,4.5,Africa,2022-01-30 00:00:00
Mixed migration flows in Greece,Mixed Migration,GRC002,Greece,GRC,International displacement,1.6,2,Low,Decreasing,High,1.9,0.3,2.5,1.2,0.4,2,2.1,2.2,2,Europe,2021-12-29 00:00:00
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,Complex crisis,3.6,4,High,Increasing,Very High,3.8,4.4,3.5,3.65,4.3,3,3.2,3.8,2.5,Americas,2021-11-16 00:00:00
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,Complex crisis,3.8,4,High,Increasing,Very High,3.8,4.2,3.5,4.1,4.2,4,3.3,3.6,3,Americas,2021-11-17 00:00:00
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,Complex crisis,4.1,5,Very High,Stable,High,3.8,4,3.7,4.75,4.5,5,3.3,3.6,3,Americas,2021-10-26 00:00:00
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,Earthquake,3.1,4,High,Stable,High,3.1,2.4,3.4,3,3,3,3.3,3.6,3,Americas,2021-10-26 00:00:00
Papua Conflict,Papua Conflict,IDN002,Indonesia,IDN,Conflict,2.2,3,Medium,-,Medium,2.8,1.9,3.2,1.15,1.3,1,3.3,3,3.5,Asia,2022-01-23 00:00:00
Conflict in Jammu and Kashmir,Kashmir conflict ,IND002,India,IND,Conflict,x,x,x,-,Very Low,2.8,2,3.2,x,x,x,2.2,3.1,1,Asia,2022-01-23 00:00:00
Afghan Refugees in Iran,Afghan Refugees,IRN004,Iran,IRN,International displacement,3.5,4,High,Increasing,High,2.8,2.7,2.8,4.1,4.2,4,2.9,3.3,2.5,Middle east,2021-12-28 00:00:00
Multiple crises in Iraq,Country level,IRQ001,Iraq,IRQ,Multiple crises country,4,4,High,Decreasing,High,4.3,4.9,3.9,3.55,4.1,3,4.5,4.4,4.5,Middle east,2022-01-23 00:00:00
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,Conflict,4,4,High,Decreasing,Very High,4.3,4.9,3.9,3.5,4,3,4.5,4.4,4.5,Middle east,2022-01-23 00:00:00
Syrian and Palestinian refugees in iraq,Syrian Refugees,IRQ003,Iraq,IRQ,International displacement,3,3,Medium,Stable,Medium,1.8,1.5,2,2.9,2.8,3,4,4.4,3.5,Middle east,2022-01-23 00:00:00
Mixed migration flows in Italy,Mixed Migration,ITA002,Italy,ITA,International displacement,1.9,2,Low,Stable,Medium,2.7,1.7,3.1,1.6,2.2,1,1.5,1.5,1.5,Europe,2021-10-25 00:00:00
Syrian refugees in Jordan,Syrian refugees,JOR002,Jordan,JOR,International displacement,2.7,3,Medium,Decreasing,High,2.7,3,2.6,3.05,3.1,3,2.3,3,1.5,Middle east,2022-01-23 00:00:00
Multiple crisis in Kenya ,Country level ,KEN001,Kenya,KEN,Multiple crises country,3.3,4,High,Stable,High,3.1,3.8,2.6,3.6,4.2,3,3.1,3.6,2.5,Africa,2021-12-17 00:00:00
Refugee situation in Kenya,Refugee situation,KEN002,Kenya,KEN,International displacement,2.8,3,Medium,Stable,High,2.1,0.8,2.6,2.95,2.9,3,2.9,3.6,2,Africa,2021-12-17 00:00:00
Drought in Kenya,Drought,KEN003,Kenya,KEN,Drought,3.1,4,High,Increasing,Medium,2.2,3.8,1.1,3.55,4.1,3,2.9,3.6,2,Africa,2021-12-17 00:00:00
Syrian refugees in Lebanon,Syrian refugees,LBN002,Lebanon,LBN,International displacement,3.4,4,High,Stable,High,3.2,3.6,3,3.8,3.6,4,2.9,3.3,2.5,Middle east,2022-01-23 00:00:00
Socioeconomic crisis in Lebanon,Socioeconomic crisis,LBN004,Lebanon,LBN,Political and economic crisis,3.6,4,High,Stable,Medium,2.9,3.6,2.5,4.1,4.2,4,3.2,3.3,3,Middle east,2022-01-23 00:00:00
Complex crisis in Libya,Complex crisis,LBY001,Libya,LBY,Multiple crises country,3.9,4,High,Stable,Medium,4,4.6,3.7,3.75,3.5,4,4.2,4.4,4,Africa,2021-10-27 00:00:00
Mixed migration flows in Libya,Mixed Migration,LBY002,Libya,LBY,International displacement,3.1,4,High,Stable,High,3.9,4.6,3.4,2.3,2.6,2,3.6,4.4,2.5,Africa,2021-10-27 00:00:00
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,Drought,2.2,3,Medium,Stable,Very High,2.1,3,1.5,2.75,2.5,3,1.3,1.6,1,Africa,2022-01-30 00:00:00
Mixed migration flows in Morocco,Mixed Migration,MAR002,Morocco,MAR,International displacement,x,x,x,-,Very Low,3.9,4.8,3.2,x,x,x,2.7,3.6,1.5,Africa,2021-10-25 00:00:00
Multiple crisis in Madagascar,Country level,MDG001,Madagascar,MDG,Multiple crises country,2.7,3,Medium,-,Very High,2.5,3.2,2.1,3.35,3.7,3,1.9,2.3,1.5,Africa,2022-01-30 00:00:00
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,Drought,2.9,3,Medium,Increasing,Very High,2.2,2.2,2.2,3.85,3.7,4,1.9,2.3,1.5,Africa,2022-01-30 00:00:00
