,,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected,
Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,0.988,0,0.035,0,0,0.9,0.9657869012707723,0,0.03421309872922776,0,0,1,0.95,
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,0.44,0.389,0.167,0.027,0,2.1,0.43010752688172044,0.38025415444770283,0.16324535679374388,0.026392961876832845,0,3,2.55,
Mixed migration flows in Algeria,International displacement,DZA002,Algeria,DZA,x,x,x,x,x,x,x,x,x,x,x,x,x,
Sahrawi refugees in Algeria,International displacement,DZA003,Algeria,DZA,0.049,0.084,0.09,0,0,1.6,0.21973094170403587,0.37668161434977576,0.40358744394618834,0,0,3,2.3,
Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,x,x,x,x,x,x,x,x,x,x,x,x,x,
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,4.817,0.209,0.416,0,0,2.7,0.8853151994118729,0.03841205660724131,0.07645653372541812,0,0,3,2.85,
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,21.861,0.936,0.165,0.338,0,2.8,0.9382403433476395,0.04017167381974249,0.007081545064377683,0.014506437768240343,0,2,2.4,
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,0.645,0,2.582,0,0,4,0.19987604586303068,0,0.8001239541369694,0,0,3,3.5,
Mixed migration flows in spain,International displacement,ESP002,Spain,ESP,11.868,0,0.115,0,0,1.8,0.9904030710172744,0,0.009596928982725527,0,0,1,1.4,
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,0,80.2,0.925,17.15,5.425,5,0,0.7733847637415622,0.008919961427193828,0.16538090646094503,0.05231436837029894,5,5,
International Displacement,International displacement,ETH003,Ethiopia,ETH,86,16.876,0.824,0,0,3.2,0.8293153326904532,0.16273866923818708,0.007945998071359692,0,0,2,2.6,
Northern Ethiopia Conflict,Conflict,ETH004,Ethiopia,ETH,0,21.1,6.899,2.1,0.401,5,0,0.6918032786885245,0.22619672131147542,0.06885245901639345,0.013147540983606557,4,4.5,
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,0.245,0.151,0.018,0,0,0.4,0.5917874396135265,0.3647342995169082,0.043478260869565216,0,0,2,1.2,
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,11.4,1.9,3.3,0.174,0.326,4.3,0.6666666666666666,0.1111111111111111,0.19298245614035087,0.010175438596491228,0.019064327485380117,3,3.65,
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,5.4,0.706,2.679,0.615,0,4.2,0.574468085106383,0.07510638297872341,0.285,0.06542553191489361,0,4,4.1,
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,3.948,1.9,2.55,1.5,1,4.5,0.3622683061112131,0.17434391631492016,0.2339878876858139,0.13763993393283172,0.09175995595522114,5,4.75,
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,5.629,0.15,0.65,0,0,3,0.8755638512988023,0.02333177788147457,0.10110437081972314,0,0,3,3,
Papua Conflict,Conflict,IDN002,Indonesia,IDN,3.534,0,0.06,0,0,1.3,0.9833055091819699,0,0.01669449081803005,0,0,1,1.15,
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,12.541,x,x,x,x,x,1,x,x,x,x,x,x,
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,21.423,0,0.8,2.6,0,4.2,0.8630302541997341,0,0.0322281754824155,0.10474157031785038,0,4,4.1,
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,34.797,3.686,1.365,0.874,0.468,4.1,0.8447719161952854,0.08948556723556117,0.03313830691170401,0.021218227282658833,0.011361705226869948,3,3.55,
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,35.052,3.686,1.284,0.721,0.448,4,0.8509625889150543,0.08948556723556117,0.03117185793013037,0.017503823650797504,0.010876162268456701,3,3.5,
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,4.661,0,0.313,0.153,0.02,2.8,0.9055760637264426,0,0.06081212356712648,0.029726054012045852,0.0038857586943850785,3,2.9,
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,6.804,0,0.208,0,0,2.2,0.9703365658870508,0,0.02966343411294923,0,0,1,1.6,
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,6.87,1.149,0.53,0.159,0,3.1,0.788929719797887,0.13194763435920992,0.06086357372531006,0.018259072117593016,0,3,3.05,
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,13.467,0,3.073,0.368,0,4.2,0.7965339800082806,0,0.181759034719347,0.021766132371207194,0,3,3.6,
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,0.559,0,0.54,0,0,2.9,0.5086442220200182,0,0.4913557779799818,0,0,3,2.95,
Drought in Kenya,Drought,KEN003,Kenya,KEN,13.91,0,2.532,0.368,0,4.1,0.8274836406900654,0,0.1506246281975015,0.021891731112433074,0,3,3.55,
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,3.798,1.5,0.105,1.363,0.06,3.6,0.5564835164835165,0.21978021978021978,0.015384615384615385,0.1997069597069597,0.008791208791208791,4,3.8,
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,3.028,0.37,1.321,2.047,0.06,4.2,0.44366300366300365,0.054212454212454214,0.19355311355311355,0.29992673992673996,0.008791208791208791,4,4.1,
