,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
LBY002,518,7,7,7,7,7,7,7,7,7,670,124,124,124,124,124,124,124,124,124,85
LSO002,169,29,29,507,5,29,29,29,29,29,169,124,124,124,124,124,124,124,124,124,97.9
MAR002,517,628,628,628,207,822,822,822,822,822,1109,126,126,126,126,126,126,126,126,126,680.8
MDG001,5,5,5,5,5,5,5,5,5,5,34,34,34,34,34,34,34,34,34,34,10.8
MDG002,34,34,34,34,5,34,34,34,34,34,34,124,124,124,124,124,124,124,124,124,40.1
MDG006,5,5,5,5,5,5,5,5,5,5,34,34,34,34,34,34,34,34,34,34,10.8
MEX001,153,153,153,153,153,153,153,153,153,153,153,131,131,131,131,131,131,131,131,131,150.8
MEX002,153,153,153,153,396,153,153,153,153,153,822,132,132,132,132,132,132,132,132,132,242.1
MEX003,153,11,11,153,153,11,11,11,11,11,153,131,131,131,131,131,131,131,131,131,65.6
MLI001,511,353,353,0,0,353,353,353,353,353,1131,124,124,124,124,124,124,124,124,124,337.3
MMR001,35,35,35,6,36,35,35,35,35,35,392,123,123,123,123,123,123,123,123,123,76.7
MMR002,392,35,36,6,36,36,36,36,36,36,392,123,123,123,123,123,123,123,123,123,77.3
MMR003,392,35,35,6,36,35,35,35,35,35,392,123,123,123,123,123,123,123,123,123,76.7
MMR004,35,35,35,6,36,35,35,35,35,35,250,124,124,124,124,124,124,124,124,124,62.6
MOZ001,28,28,12,28,12,12,12,12,12,12,28,28,28,28,28,28,28,28,28,28,16.8
MOZ004,367,228,28,143,28,28,28,28,28,28,228,28,122,122,122,122,122,122,122,28,59.5
MOZ008,28,28,12,28,12,12,12,12,12,12,28,28,28,28,28,28,28,28,28,28,16.8
MRT002,1110,201,201,201,201,201,201,201,201,201,1110,126,126,126,126,126,126,126,126,126,284.4
MRT003,518,201,201,551,201,201,201,201,201,382,551,126,126,126,126,126,126,126,126,126,281.6
MWI002,169,169,5,5,5,5,5,5,5,5,5,28,28,28,28,28,28,28,28,28,7.3
MWI004,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
MYS001,339,336,36,36,339,36,339,36,336,336,336,126,126,126,126,126,126,126,126,126,195.6
NAM002,232,63,63,752,5,63,63,63,63,63,232,124,124,124,124,124,124,124,124,124,149.1
NER001,1112,395,395,0,0,395,395,395,395,395,1112,121,121,121,121,121,121,121,121,121,360.3
NER002,1112,395,395,0,0,395,395,395,395,395,1112,121,121,121,121,121,121,121,121,121,360.3
NER003,1112,395,395,0,0,395,395,395,395,395,1112,122,122,122,122,122,122,122,122,122,360.4
NER004,395,395,395,152,152,395,395,395,395,395,805,121,121,121,121,121,121,121,121,121,360
NGA001,971,5,5,5,5,5,5,5,5,5,971,122,122,122,122,122,122,122,122,122,113.3
NGA003,455,202,94,94,5,94,94,94,94,94,972,122,122,122,122,122,122,122,122,122,175.7
NGA004,973,5,5,5,5,5,5,5,5,5,973,122,122,122,122,122,122,122,122,122,113.5
NGA007,671,202,94,94,5,94,94,94,94,94,805,122,122,122,122,122,122,122,122,122,159
NGA008,244,244,94,94,244,94,94,94,94,94,761,122,122,122,122,122,122,122,122,122,178.5
NIC001,753,510,1131,510,396,851,851,851,1131,1131,1131,123,123,123,123,123,123,123,123,123,810.6
PAK001,62,49,49,62,5,49,49,49,49,49,1117,131,131,131,131,131,131,131,131,131,160.9
