,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Crisis in Tigray,Conflict,ETH004,Ethiopia,ETH,0,0,5.126,0,0.03,4.5,0,0,0.9941815360744763,0,0.0058184639255236615,3,3.75
Tropical cyclone Yasa in Fiji,Tropical cyclone,FJI002,Fiji,FJI,0.797,0.08,0.013,0,0,0.2,0.895505617977528,0.0898876404494382,0.014606741573033709,0,0,2,1.1
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,0.245,0.101,0.018,0,0,0.4,0.6730769230769231,0.2774725274725275,0.04945054945054945,0,0,2,1.2
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,4.931,6.669,2.872,0.428,0,4.2,0.33093959731543626,0.4475838926174497,0.192751677852349,0.0287248322147651,0,3,3.6
Hurricane Eta and Iota in Guatemala,Tropical cyclone,GTM003,Guatemala,GTM,7.101,0.639,1.8,0,0,3.8,0.7443396226415094,0.0669811320754717,0.18867924528301888,0,0,3,3.4
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,6.458,1.4,0.95,0.35,0,3.5,0.7051758025769819,0.15287180607119458,0.1037344398340249,0.038217951517798644,0,3,3.25
Hurricane Eta and Iota in Honduras,Tropical cyclone,HND002,Honduras,HND,2.79,1.9,2.8,0,0,4.1,0.3724966622162884,0.253671562082777,0.37383177570093457,0,0,3,3.55
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,0.6,2.3,3.083,0.905,0,4.3,0.05504587155963303,0.21100917431192662,0.2828440366972477,0.08302752293577982,0,4,4.15
Papua Conflict,Conflict,IDN002,Indonesia,IDN,x,x,x,x,x,x,x,x,x,x,x,x,x
Sulawesi Earthquake,Earthquake,IDN006,Indonesia,IDN,0.79,0,0.095,0,0,1.6,0.8936651583710408,0,0.1074660633484163,0,0,3,2.3
Country Level,Multiple crises country,IDN007,Indonesia,IDN,0.79,3.594,0.095,0,0,1.6,0.17641804376953998,0.8025904421616793,0.02121482804823582,0,0,2,1.8
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,12.541,x,x,x,x,x,1,x,x,x,x,x,x
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,21.872,0,0.951,2,0,4.1,0.8811183176892399,0,0.03831124360472143,0.08057043870603875,0,4,4.05
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,33.18,1.753,3.108,1.094,0.175,4.4,0.8440600356143475,0.04459425082676164,0.0790638514372933,0.027830068684813025,0.004451793436784533,3,3.7
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,0.51,1.52,2.911,1.025,0.164,4.4,0.08319738988580751,0.24796084828711257,0.4748776508972268,0.16721044045676997,0.026753670473083198,4,4.2
