,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,3.9,0.48934441835374753,2.4,3.15,2.5,0.19783216783216784,0.9,1.7,2.5,1.9,0.08094733121244256,0.4,1.15,3.6,0.7489082969432315,5,4.3,1.4,2.1834061135371177e-05,1.1,1.3,3.1,2.2
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,5,1.0343221366974702,5,5,5,1,5,5,5,4.8,0.2258274647887324,1.1,2.95,5,0.4413346846495673,5,5,4.6,6.88001871053247e-05,3.4,4,4.6,3.9
Complex crisis in Congo,Conflict,COG001,Congo,COG,4.2,1.0014641288433381,5,4.6,2.6,1,5,3.8,4.2,2,0.08793969849246232,0.4,1.2,3.4,0.44,5,4.2,0,0,0,0,2.7,2
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,5,1,5,5,5,1,5,5,5,4.3,0.2144212523719165,1,2.65,5,0.7566371681415929,5,5,4.2,8.079646017699115e-05,4,4.1,4.6,3.8
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,2.6,0.031101397025687247,0.1,1.35,5,0.5883301707779887,2.9,3.95,2.9,4.5,0.4830188679245283,2.4,3.45,5,0.25707799145299143,5,5,0.7,2.003205128205128e-07,0,0.4,3.5,3.5
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,0,0.01964355660007834,0,0,1.3,0.4495597945707997,2.2,1.75,0.9,1.5,0.09587923296613628,0.4,0.95,3.4,1,5,4.2,2.9,0.000425531914893617,5,4,4.1,2.9
Displacement from Russia-Ukraine conflict in Czechia,"Conflict,Displacement",CZE002,Czech Republic,CZE,3.1,1.0000025911166157,5,4.05,3.5,1,5,4.25,4.2,1.7,0.03078739442375806,0.1,0.9,3.6,1,5,4.3,0,0,0,0,2.8,2
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.3,0.6057529610829103,3,2.65,2.2,0.04888268156424581,1.6,1.9,2.3,5.307262569832402e-05,2.7,2.5,2.2,2.4
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,1.4,0.31492666091458155,1.5,1.45,0,0.571912013536379,2.8,1.4,1.4,0,0.042899408284023666,0.2,0.1,2.1,1,5,3.6,2.3,0.001310344827586207,5,3.7,3.7,2.3
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.2,0.5812182741116751,2.9,2.55,1.1,0.008733624454148471,0.3,0.7,0,0,0,0,0.4,1.6
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,2.8,1.0163893038227683,5,3.9,3.5,1,5,4.25,4.1,1,0.011042835515183898,0,0.5,3,1,5,4,x,x,x,x,4,2.7
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.5,0.005653143884424614,0,0.75,3.5,1,5,4.3,4.3,0.003727969348659004,5,4.7,4.5,3.1
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.004830080790140571,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,x,x,x,x,0,5.747126436781609e-06,0.3,0.2,0.2,1.5
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,5,1,5,5,5,1.0048300807901405,5,5,5,1.9,0.009376616658044491,0,0.95,3.5,0.6,5,4.3,4.3,0.002239080459770115,5,4.7,4.5,3.2
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,4,1,5,4.5,4.2,1,5,4.6,4.6,4,0.4217543469807233,2.1,3.05,3.8,0.06256585879873551,2.1,3,0,0,0,0,1.7,2.4
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,5,1,5,5,3.9,2.1,0.005056456435330121,0,1.05,3.9,1,5,4.5,0.7,5.2173913043478265e-06,0.3,0.5,3.1,2.2
