,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,0.495,0.402,0.185,0.1,0,2.4,0.41878172588832485,0.3401015228426396,0.15651438240270726,0.08460236886632826,0,4,3.2
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,11.105,0.005,0.119,0,0,1.8,0.9889571644848161,0.00044527562561225397,0.010597559889571645,0,0,1,1.4
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,45.908,0,0.261,x,x,2.4,0.9943468561155754,0,0.005653143884424614,x,x,1,1.7
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,0.049,0.084,0.09,x,x,1.6,0.21973094170403587,0.37668161434977576,0.40358744394618834,x,x,3,2.3
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,45.957,0.084,0.351,x,x,2.6,0.9906233833419555,0.0018106570098292809,0.0075659596482152095,x,x,1,1.8
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,10.409,7.267,0.325,x,x,2.5,0.5782456530192767,0.40369979445586357,0.01805455252485973,x,x,2,2.25
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,113.141,0,0.575,x,x,2.9,0.9949435435646699,0,0.005056456435330121,x,x,1,1.95
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,2.702,0,1.1,x,x,3.4,0.7106785902156759,0,0.289321409784324,x,x,3,3.2
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,47.405,0,0.076,x,x,1.5,0.9983993597438976,0,0.001600640256102441,x,x,1,1.25
Displacement from Russia-Ukraine conflict in Estonia,"Conflict,Displacement",EST002,Estonia,EST,1.349,0,0.036,0,0,0.9,0.9740072202166065,0,0.025992779783393503,0,0,1,0.95
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,0,107.649,9.874,11.486,x,5,0,0.8344301560356254,0.07653729584757653,0.08903254811679805,x,4,4.5
International Displacement,Displacement,ETH003,Ethiopia,ETH,95.651,0,0.973,0,0,3.3,0.9899300380857758,0,0.010069961914224209,0,0,1,2.15
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,0,21.546,3.482,5.621,x,4.9,0,0.7029919410094946,0.1136089268817906,0.1833991321087148,x,4,4.45
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,0,75.118,8.083,11.423,x,5,0,0.7938577950625634,0.08542230300980724,0.12071990192762935,x,4,4.5
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,0.463,0,0.187,x,x,2.1,0.7123076923076923,0,0.2876923076923077,x,x,3,2.55
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,7.744,4.556,4.948,0.352,0,4.5,0.44,0.25886363636363635,0.28113636363636363,0.02,0,3,3.75
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,4.212,2.733,1.428,1.372,0,4.1,0.4322216521292971,0.2804515135967163,0.1465366854797332,0.14079014879425347,0,4,4.05
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,3.042,3.158,3.511,1.989,0,4.6,0.26,0.2699145299145299,0.3000854700854701,0.17,0,4,4.3
Displacement from Russia-Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,9.643,0,0.059,0,0,1.3,0.9939187796330653,0,0.006081220366934653,0,0,1,1.15
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,0,5.338,0.1,0,0,1.7,0,0.9816108863552777,0.018389113644722323,0,0,2,1.85
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,20.346,0,1.377,3.1,0,4.4,0.8196430729565323,0,0.05547274704910768,0.12488417999436006,0,4,4.2
