INFORM Severity Index - all crises. Release: April 2023,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,DRIVERS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Türkiye / Syria earthquake in Syria,SYR002,Syria,SYR,Earthquake,3.4,4,High,-,High,3.6,2.8,3.9,2.45,2.9,2,4.5,4.4,4.5,Middle east,2023-04-25 00:00:00
Complex crisis in Chad,TCD001,Chad,TCD,"Conflict,Displacement",4.5,5,Very High,Stable,Medium,4,4.7,3.5,4.8,4.6,5,4.2,3.8,4.5,Africa,2023-04-03 00:00:00
Lake Chad basin crisis,TCD003,Chad,TCD,Conflict,3.9,4,High,Stable,Medium,2.8,0.7,3.5,4.1,3.2,5,4.2,3.8,4.5,Africa,2023-04-03 00:00:00
CAR refugees in Chad,TCD004,Chad,TCD,Displacement,3.7,4,High,Stable,Medium,2.2,1.7,2.4,4.25,3.5,5,3.7,3.8,3.5,Africa,2023-04-03 00:00:00
Darfur refugees in Chad,TCD005,Chad,TCD,Displacement,3.8,4,High,Stable,High,2.5,1.7,2.9,4.25,3.5,5,3.7,3.8,3.5,Africa,2023-04-03 00:00:00
Conflict in southern Thailand ,THA002,Thailand,THA,Conflict,x,x,x,-,Low,1.6,1.1,1.9,x,x,x,2,2.5,1.5,Asia,2023-04-29 00:00:00
Myanmar refugees in Thailand,THA003,Thailand,THA,Conflict,2.1,3,Medium,Decreasing,Medium,1.4,0.5,1.8,2.3,1.6,3,2.3,2.5,2,Asia,2023-04-29 00:00:00
Venezuelan refugees in Trinidad and Tobago,TTO002,Trinidad and Tobago,TTO,Displacement,2,2,Low,Stable,Very High,2.8,2.9,2.8,1.45,0.9,2,2.2,1.9,2.5,Americas,2023-02-28 00:00:00
Mixed migration flows in Tunisia,TUN002,Tunisia,TUN,Displacement,1.8,2,Low,Stable,High,3.2,4.3,2.5,0.55,0.1,1,2.2,2.4,2,Africa,2023-04-27 00:00:00
Syrian Refugees in Türkiye,TUR002,Türkiye,TUR,Displacement,3.3,4,High,Stable,Medium,3.8,2.9,4.2,3.4,3.8,3,2.8,3.4,2,Middle east,2023-04-26 00:00:00
Mixed Migration Flows in Türkiye,TUR003,Türkiye,TUR,Displacement,2.4,3,Medium,Stable,High,2.7,3.1,2.5,2.05,2.1,2,2.8,3.4,2,Middle east,2023-04-26 00:00:00
Kurdish Conflict,TUR004,Türkiye,TUR,Conflict,x,x,x,-,Medium,3.9,2.4,4.4,x,x,x,3,3.4,2.5,Middle east,2023-04-26 00:00:00
Türkiye / Syria earthquake in Türkiye,TUR005,Türkiye,TUR,Earthquake,3.3,4,High,-,High,3.9,2.1,4.5,3.1,3.2,3,3,3.4,2.5,Middle east,2023-04-26 00:00:00
International Displacement in Tanzania,TZA002,Tanzania,TZA,Displacement,2.3,3,Medium,Stable,Very High,3.2,2.5,3.5,2.15,2.3,2,1.8,2,1.5,Africa,2023-04-30 00:00:00
Food Security Crisis in North-East Tanzania,TZA003,Tanzania,TZA,Drought,2.4,3,Medium,Stable,Very High,2.1,2.7,1.7,3.15,3.3,3,1.5,2,1,Africa,2023-04-30 00:00:00
International Displacement in Uganda,UGA005,Uganda,UGA,Displacement,3.2,4,High,Stable,Medium,3.2,1.7,3.7,3.3,3.6,3,2.9,3.6,2,Africa,2023-04-18 00:00:00
Conflict in Ukraine,UKR002,Ukraine,UKR,"Conflict,Displacement",4.3,5,Very High,Increasing,Very High,4.6,4.9,4.4,5,5,5,2.8,2.6,3,Europe,2023-04-30 00:00:00
Complex crisis in Venezuela,VEN001,Venezuela,VEN,"Socio-political,Violence,Floods",4,4,High,Stable,High,4.4,4.9,4.1,4,5,3,3.8,3.6,4,Americas,2023-04-30 00:00:00
Cyclone Judy and cyclone Kevin in Vanuatu,VUT003,Vanuatu,VUT,Cyclone,2.2,3,Medium,-,Medium,2.1,3,1.5,3,2,4,1,0.9,1,Pacific,2023-04-30 00:00:00
Conflict in Yemen,YEM001,Yemen,YEM,Conflict,4.7,5,Very High,Increasing,Very High,4.7,4.8,4.6,5,5,5,4.3,4.1,4.5,Middle east,2023-03-30 00:00:00
Mixed migration flows in Yemen,YEM002,Yemen,YEM,Displacement,2.3,3,Medium,Decreasing,Very High,2.4,1.6,2.7,1.35,1.7,1,3.8,4.1,3.5,Middle east,2023-03-30 00:00:00
Drought in Zambia,ZMB002,Zambia,ZMB,Drought,2.9,3,Medium,Stable,High,3.1,4.3,2.2,3.4,3.8,3,1.9,1.8,2,Africa,2023-04-23 00:00:00
Complex crisis in Zimbabwe,ZWE001,Zimbabwe,ZWE,"Socio-political,Drought",3.5,4,High,Decreasing,Very High,3.9,4.6,3.5,3.55,4.1,3,3,3,3,Africa,2023-04-23 00:00:00
