,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Crisis,Crisis ID,Trend,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00
Burundi,Political and economic crisis in Burundi,BDI002,-,-,3.5,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burundi,Flooding in Burundi,BDI003,-,-,1.7,1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benin,N/A,BEN001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burkina Faso,N/A,BFA001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burkina Faso,Conflict in Burkina Faso,BFA002,Stable,-,3,3.1,3.2,3.2,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.4,3.4,3.4,3.4,3.9,3.9,3.9,3.8,3.9,3.9,4
Burkina Faso,Floods in Burkina Faso,BFA003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,2.4,2.4,2.4
Burkina Faso,Multiple crises in Burkina Faso,BFA004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.9,3.9
Bangladesh,Mutliple crises in Bangladesh,BGD001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.9,3.2,3.2,3.2,2.9,2.9,-
Bangladesh,Rohingya refugee crisis,BGD002,Increasing,-,3.3,3.3,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.3,3.3
Bangladesh,Floods in Bangladesh,BGD003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,-
