,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,0.906,0.047,0.18,0,0,2.1,0.7996469549867609,0.04148278905560459,0.1588702559576346,0,0,3,2.55
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,0.562,0.415,0.231,0.012,0,2.3,0.460655737704918,0.3401639344262295,0.18934426229508197,0.009836065573770493,0,3,2.65
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,0.63,0,0.051,0,0,1.2,0.9251101321585903,0,0.07488986784140969,0,0,3,2.1
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,0.575,0.415,0.18,0.012,0,2.1,0.48646362098138746,0.35109983079526225,0.15228426395939088,0.01015228426395939,0,3,2.55
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,0.564,9.409,0.102,0,0,1.7,0.05598570577724836,0.9339884852094501,0.01012507444907683,0,0,2,1.85
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,45.017,0,0.262,0,0,2.4,0.9942136531283818,0,0.0057863468716181895,0,0,1,1.7
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,0.049,0.084,0.09,0,0,1.6,0.21973094170403587,0.37668161434977576,0.40358744394618834,0,0,3,2.3
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,45.066,0.084,0.352,0,0,2.6,0.9904180036042372,0.0018460727001010945,0.007735923695661729,0,0,1,1.8
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,9.339,7.431,0.873,0,0,3.2,0.5293317463016494,0.42118687298078555,0.04948138071756504,0,0,2,2.6
Syrian Refugee Crisis in Egypt,Displacement,EGY002,Egypt,EGY,13.989,0,0.145,0,0,1.9,0.9897410499504741,0,0.010258950049525966,0,0,1,1.45
