,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,2.645,0,1.1,0,0,3.4,0.7062750333778371,0,0.2937249666221629,0,0,3,3.2
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,12.018,0,0.16,0,0,2,0.9869425966986942,0,0.013139525334647286,0,0,1,1.5
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,40.666,57.479,16.2,11.195,1.205,5,0.3208489486764764,0.4535011243047063,0.12781569292674266,0.08832695569844964,0.009507278393624995,4,4.5
International Displacement,Displacement,ETH003,Ethiopia,ETH,84.766,41.053,0.926,0,0,3.3,0.6687916683103869,0.3239023235630597,0.007306008126553316,0,0,2,2.65
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,0,21.3,8.8,0,0,4.9,0,0.707641196013289,0.292358803986711,0,0,3,3.95
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,35.9,13.1,11,0,0,5,0.5983333333333334,0.21833333333333332,0.18333333333333332,0,0,3,4
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,0.245,0.153,0.021,0,0,0.5,0.5861244019138756,0.3660287081339713,0.050239234449760764,0,0,3,1.75
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,12.3,0,4.55,0.45,0,4.5,0.7109826589595376,0,0.2630057803468208,0.02601156069364162,0,3,3.75
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,6.4,0,1.632,1.568,0,4.2,0.6666666666666666,0,0.17,0.16333333333333333,0,4,4.1
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,3.9,2.6,2.7,1.4,0.8,4.5,0.34210526315789475,0.22807017543859648,0.23684210526315788,0.12280701754385964,0.07017543859649122,5,4.75
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,5.739,0.04,0.65,0,0,3,0.892673821745217,0.006221807435059885,0.10110437081972314,0,0,3,3
Displacement from Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,0.553,0,0.052,0,0,1.2,0.9140495867768595,0,0.0859504132231405,0,0,3,2.1
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,0,5.338,0.1,0,0,1.7,0,0.9816108863552777,0.018389113644722323,0,0,2,1.85
Country Level,"Earthquake,Socio-political,Violence",IDN007,Indonesia,IDN,15.061,7.023,0.215,0,0,2.2,0.6754114534284048,0.31494685860352484,0.009641687968070318,0,0,2,2.1
Earthquake in West Java province,Earthquake,IDN008,Indonesia,IDN,15.061,1.685,0.115,0,0,1.8,0.8932447660281122,0.09993476069035051,0.006820473281537276,0,0,2,1.9
Conflict in Jammu and Kashmir,Socio-political,IND002,India,IND,14.999,x,x,x,x,x,1,x,x,x,x,x,x
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,20.346,0,1.377,3.1,0,4.4,0.8196430729565323,0,0.05547274704910768,0.12488417999436006,0,4,4.2
