Headers
YYYY_MM
Crisis Id
Crisis
Drivers
Country
Iso3
Empowerment
Bti - Democracy Status
Trust In Society
Ethnic Fractionalisation
Size Of Excluded Ethnic Groups
Gender Inequality
Income Gini Coefficient
Inequality
Social Cohesion
Conflict Intensity
Total Killed In All Crisis
Safety And Security
Corruption Perception
Rule Of Law (Wgi)
Rule Of Law (Bti)
Freedom In The World
Rule Of Law
Society And Safety
# Of Different Types Of Affected Population Groups
Diversity Of Groups Affected
Impediments To Entry Into Country (Bureaucratic And Administrative)
Restriction Of Movement (Impediments To Freedom Of Movement And/Or Administrative Restrictions)
Interference Into Implementation Of Humanitarian Activities
"Violence Against Personnel, Facilities And Assets"
Access Of Humanitarian Actors To Affected Populations
Denial Of Existence Of Humanitarian Needs Or Entitlements To Assistance
Restriction And Obstruction Of Access To Services And Assistance
Access Of People In Need To Aid
Ongoing Insecurity/Hostilities Affecting Humanitarian Assistance
Presence Of Mines And Improvised Explosive Devices 
"Physical Constraints In The Environment (Obstacles Related To Terrain, Climate, Lack Of Infrastructure, Etc.)"
Physical And Security Constraints
Humanitarian Access
Operating Environment
# Of People In None/Minimal Conditions - Level 1
# Of People In Stressed Conditions - Level 2
# Of People In Moderate Conditions - Level 3
# Of People Severe Conditions - Level 4
# Of People Extreme Conditions - Level 5
People In Need
% Of People In None/Minimal Conditions - Level 1
% Of People In Stressed Conditions - Level 2
% Of People In Moderate Conditions - Level 3
% Of People Severe Conditions - Level 4
% Of People Extreme Conditions - Level 5
Concentration Of Conditions
Conditions Of People Affected
Total Population [Helper 0]
Total Population [Figure]
Total Population [Source]
Total Population [Reliability]
Total Population [Reliability Score]
Total Population [Justification]
Total Population [Link]
Total Population [Date]
Landmass Affected [Helper 1]
Landmass Affected [Figure]
Landmass Affected [Source]
Landmass Affected [Reliability]
Landmass Affected [Reliability Score]
Landmass Affected [Justification]
Landmass Affected [Link]
Landmass Affected [Date]
People Exposed [Helper 2]
People Exposed [Figure]
People Exposed [Source]
People Exposed [Reliability]
People Exposed [Reliability Score]
People Exposed [Justification]
People Exposed [Link]
People Exposed [Date]
People Affected [Helper 3]
People Affected [Figure]
People Affected [Source]
People Affected [Reliability]
People Affected [Reliability Score]
People Affected [Justification]
People Affected [Link]
People Affected [Date]
People Displaced [Helper 4]
People Displaced [Figure]
People Displaced [Source]
People Displaced [Reliability]
People Displaced [Reliability Score]
People Displaced [Justification]
People Displaced [Link]
People Displaced [Date]
Injuries Reported [Helper 5]
Injuries Reported [Figure]
Injuries Reported [Source]
Injuries Reported [Reliability]
Injuries Reported [Reliability Score]
Injuries Reported [Justification]
Injuries Reported [Link]
Injuries Reported [Date]
Illness Cases Reported [Helper 6]
Illness Cases Reported [Figure]
Illness Cases Reported [Source]
Illness Cases Reported [Reliability]
Illness Cases Reported [Reliability Score]
Illness Cases Reported [Justification]
Illness Cases Reported [Link]
Illness Cases Reported [Date]
Fatalities Reported [Helper 7]
Fatalities Reported [Figure]
Fatalities Reported [Source]
Fatalities Reported [Reliability]
Fatalities Reported [Reliability Score]
Fatalities Reported [Justification]
Fatalities Reported [Link]
Fatalities Reported [Date]
Buildings Damaged [Helper 8]
Buildings Damaged [Figure]
Buildings Damaged [Source]
Buildings Damaged [Reliability]
Buildings Damaged [Reliability Score]
Buildings Damaged [Justification]
Buildings Damaged [Link]
Buildings Damaged [Date]
Buildings Destroyed [Helper 9]
Buildings Destroyed [Figure]
Buildings Destroyed [Source]
Buildings Destroyed [Reliability]
Buildings Destroyed [Reliability Score]
Buildings Destroyed [Justification]
Buildings Destroyed [Link]
Buildings Destroyed [Date]
Buildings In The Affected Area [Helper 10]
Buildings In The Affected Area [Figure]
Buildings In The Affected Area [Source]
Buildings In The Affected Area [Reliability]
Buildings In The Affected Area [Reliability Score]
Buildings In The Affected Area [Justification]
Buildings In The Affected Area [Link]
Buildings In The Affected Area [Date]
Economic Losses [Helper 11]
Economic Losses [Figure]
Economic Losses [Source]
Economic Losses [Reliability]
Economic Losses [Reliability Score]
Economic Losses [Justification]
Economic Losses [Link]
Economic Losses [Date]
People In Need [Helper 12]
People In Need [Figure]
People In Need [Source]
People In Need [Reliability]
People In Need [Reliability Score]
People In Need [Justification]
People In Need [Link]
People In Need [Date]
Minimal Humanitarian Conditions - Level 1 [Helper 13]
Minimal Humanitarian Conditions - Level 1 [Figure]
Minimal Humanitarian Conditions - Level 1 [Source]
Minimal Humanitarian Conditions - Level 1 [Reliability]
Minimal Humanitarian Conditions - Level 1 [Reliability Score]
Minimal Humanitarian Conditions - Level 1 [Justification]
Minimal Humanitarian Conditions - Level 1 [Link]
Minimal Humanitarian Conditions - Level 1 [Date]
Stressed Humanitarian Conditions - Level 2 [Helper 14]
Stressed Humanitarian Conditions - Level 2 [Figure]
Stressed Humanitarian Conditions - Level 2 [Source]
Stressed Humanitarian Conditions - Level 2 [Reliability]
Stressed Humanitarian Conditions - Level 2 [Reliability Score]
Stressed Humanitarian Conditions - Level 2 [Justification]
Stressed Humanitarian Conditions - Level 2 [Link]
Stressed Humanitarian Conditions - Level 2 [Date]
Moderate Humanitarian Conditions - Level 3 [Helper 15]
Moderate Humanitarian Conditions - Level 3 [Figure]
Moderate Humanitarian Conditions - Level 3 [Source]
Moderate Humanitarian Conditions - Level 3 [Reliability]
Moderate Humanitarian Conditions - Level 3 [Reliability Score]
Moderate Humanitarian Conditions - Level 3 [Justification]
Moderate Humanitarian Conditions - Level 3 [Link]
Moderate Humanitarian Conditions - Level 3 [Date]
Severe Humanitarian Conditions - Level 4 [Helper 16]
Severe Humanitarian Conditions - Level 4 [Figure]
Severe Humanitarian Conditions - Level 4 [Source]
Severe Humanitarian Conditions - Level 4 [Reliability]
Severe Humanitarian Conditions - Level 4 [Reliability Score]
Severe Humanitarian Conditions - Level 4 [Justification]
Severe Humanitarian Conditions - Level 4 [Link]
Severe Humanitarian Conditions - Level 4 [Date]
Extreme Humanitarian Conditions - Level 5 [Helper 17]
Extreme Humanitarian Conditions - Level 5 [Figure]
Extreme Humanitarian Conditions - Level 5 [Source]
Extreme Humanitarian Conditions - Level 5 [Reliability]
Extreme Humanitarian Conditions - Level 5 [Reliability Score]
Extreme Humanitarian Conditions - Level 5 [Justification]
Extreme Humanitarian Conditions - Level 5 [Link]
Extreme Humanitarian Conditions - Level 5 [Date]
Fatalities In All Crises [Helper 18]
Fatalities In All Crises [Figure]
Fatalities In All Crises [Source]
Fatalities In All Crises [Reliability]
Fatalities In All Crises [Reliability Score]
Fatalities In All Crises [Justification]
Fatalities In All Crises [Link]
Fatalities In All Crises [Date]
Crisis Affected Groups [Helper 19]
Crisis Affected Groups [Figure]
Crisis Affected Groups [Source]
Crisis Affected Groups [Reliability]
Crisis Affected Groups [Reliability Score]
Crisis Affected Groups [Justification]
Crisis Affected Groups [Link]
Crisis Affected Groups [Date]
People Facing Limited Access Constraints [Helper 20]
People Facing Limited Access Constraints [Figure]
People Facing Limited Access Constraints [Source]
People Facing Limited Access Constraints [Reliability]
People Facing Limited Access Constraints [Reliability Score]
People Facing Limited Access Constraints [Justification]
People Facing Limited Access Constraints [Link]
People Facing Limited Access Constraints [Date]
People Facing Restricted Access Constraints [Helper 21]
