,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
GTM001,72,72,72,72,72,72,72,72,72,72,72,12,12,12,12,12,12,12,12,12,66,,
HND001,72,72,72,72,72,72,72,72,72,72,72,12,12,12,12,12,12,12,12,12,66,,
HTI001,72,72,72,72,72,72,72,72,72,72,72,12,12,12,12,12,12,12,12,12,66,,
HUN002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
IDN002,3,3,3,3,3,3,3,3,3,3,3,13,13,13,13,13,13,13,13,13,4,,
IRN004,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,6.6,,
IRQ001,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,1.7,,
IRQ002,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,1.1,,
IRQ003,0,0,0,0,213,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,23,,
ITA002,700,1,1,30,1,1,1,1,1,1,700,13,13,13,13,13,13,13,13,13,75,,
JOR002,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,1.7,,
KEN001,3,3,3,3,152,3,3,3,3,3,3,18,18,18,18,18,18,18,18,18,19.4,,
KEN002,3,3,3,3,3,3,3,3,3,3,3,18,18,18,18,18,18,18,18,18,4.5,,
KEN003,3,3,3,3,3,3,3,3,3,3,3,18,18,18,18,18,18,18,18,18,4.5,,
LBN002,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,1.3,,
LBN006,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,1.3,,
LBY001,1,1,1,1,1,1,1,1,1,1,278,14,14,14,14,14,14,14,14,14,30,,
LBY002,1,1,1,34,1,1,1,1,1,1,700,14,14,14,14,14,14,14,14,14,75.5,,
LBY003,1,1,1,1,1,1,1,1,1,1,279,14,14,14,14,14,14,14,14,14,30.1,,
LKA002,34,34,34,34,34,34,34,34,34,34,34,216,216,216,216,216,216,216,216,216,52.2,,
LTU002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
LVA002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
MAR001,278,0,0,0,0,0,0,0,0,0,278,20,20,20,20,20,20,20,20,20,29.8,,
MAR002,700,0,0,0,0,0,0,0,0,0,700,20,20,20,20,20,20,20,20,20,72,,
MAR003,122,0,0,0,0,0,0,0,0,0,278,20,20,20,20,20,20,20,20,20,29.8,,
MDA002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
MDG001,30,30,30,30,30,30,30,30,30,30,30,18,18,18,18,18,18,18,18,18,28.8,,
MDG002,30,30,30,30,30,30,30,30,30,30,30,18,18,18,18,18,18,18,18,18,28.8,,
MDG009,30,30,30,30,30,30,30,30,30,30,30,18,18,18,18,18,18,18,18,18,28.8,,
MEX001,32,32,32,32,32,32,32,32,32,32,32,12,12,12,12,12,12,12,12,12,30,,
MEX002,32,32,32,32,32,32,32,32,32,32,32,12,12,12,12,12,12,12,12,12,30,,
MEX003,32,32,32,32,32,32,32,32,32,32,32,12,12,12,12,12,12,12,12,12,30,,
MLI001,73,34,34,0,0,34,34,34,34,34,0,7,7,7,7,7,7,7,7,7,21.1,,
MMR001,3,3,3,3,3,3,3,3,3,3,3,17,17,17,17,17,17,17,17,17,4.4,,
MMR002,3,3,3,3,3,3,3,3,3,3,3,17,17,17,17,17,17,17,17,17,4.4,,
MMR003,3,3,3,3,3,3,3,3,3,3,3,17,17,17,17,17,17,17,17,17,4.4,,
MMR004,3,3,3,3,3,3,3,3,3,3,3,17,17,17,17,17,17,17,17,17,4.4,,
MNG004,34,34,34,34,34,34,34,34,34,34,34,13,13,13,13,13,13,13,13,13,31.9,,
MOZ001,74,30,30,30,30,30,30,30,30,30,74,11,11,11,11,11,11,11,11,11,32.5,,
MOZ004,74,30,30,30,30,30,30,30,30,30,74,11,11,11,11,11,11,11,11,11,32.5,,
MOZ011,74,30,30,30,30,30,30,30,30,30,74,11,11,11,11,11,11,11,11,11,32.5,,
MRT002,427,1,1,1,1,1,1,1,1,1,427,19,19,19,19,19,19,19,19,19,45.4,,
MRT003,1371,1,1,1,1,1,1,1,1,1,535,19,19,19,19,19,19,19,19,19,56.2,,
MWI002,30,30,30,30,30,30,30,30,30,30,429,17,17,17,17,17,17,17,17,17,68.6,,
