,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human,,,
Sahrawi refugees in Algeria,International displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.005174013921113689,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,3.2,1,5,4.1,0,0,0,0,2.6,2.6,,,
Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,5,0.9996888830481568,5,5,5,1,5,5,5,x,x,x,x,x,x,x,x,4,x,x,4,4,4,,,
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,0.9,0.013887099371879529,0,0.45,2.5,0.366496025865553,1.8,2.15,1.4,2.2,0.11486859033265943,0.5,1.35,3.7,0.6656,5,4.4,0,1.6e-06,0.1,0.1,2.9,2.2,,,
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,4.6,0.23209945411802207,1.1,2.8499999999999996,2.4,2.8,0.061759656652360516,0.3,1.5499999999999998,3.9,0.34954829742876997,5,4.5,0,0,0,0,2.9,2.3,,,
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,3.3,1,5,4.15,1.7,1,5,3.35,3.8,3.2,0.8001239541369694,4,3.6,3.6,0.12161115414407436,4.1,3.9,0,0,0,0,2.4,3.1,,,
Mixed migration flows in spain,International displacement,ESP002,Spain,ESP,3.3,0.18514224025909118,0.8,2.05,3.6,0.25454043375746116,1.2,2.4,2.2,0.9,0.009596928982725527,0,0.45,2.9,1,5,4,3,0.0011391304347826087,5,4,4,2.6,,,
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,5,1.063652,5,5,5,1,5,5,5,5,1,5,5,5,0.06027965284474446,2,3.5,5,9.145612343297975e-05,4.6,4.8,4.3,4.7,,,
Flood Crisis in Ethiopia,Flood,ETH002,Ethiopia,ETH,4.8,0.742878,3.7,4.25,5,0.8486017357762777,4.2,4.6,4.4,2.2,0.007011363636363637,0,1.1,3.3,0.34683954619124796,5,4.2,2.1,4.5380875202593194e-05,2.3,2.2,3.4,2.4,,,
International Displacement,International displacement,ETH003,Ethiopia,ETH,5,1.063652,5,5,5,1,5,5,5,4.6,0.1711089681774349,0.8,2.6999999999999997,4.2,0.045536519386834985,1.5,2.9,0,0,0,0,1.7,2.2,,,
Northern Ethiopia Conflict,Conflict,ETH004,Ethiopia,ETH,4.2,0.311484,1.5,2.85,4.9,0.29411764705882354,1.4,3.1500000000000004,3,5,1,5,5,4.9,0.08337704918032787,2.8,3.9,5,0.0002118032786885246,5,5,4.5,4.8,,,
