,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Complex crisis in Congo,Conflict,COG001,Congo,COG,4.2,1,5,4.6,2.5,1,5,3.75,4.2,1.6,0.050517241379310344,0.2,0.9,3,0.45733788395904434,5,4,0.7,1.0238907849829352e-05,0.5,0.6,2.7,1.9
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,5,1,5,5,5,1,5,5,5,4.2,0.18992248062015504,0.9,2.5500000000000003,5,0.5558163265306122,5,5,3.5,2.7959183673469386e-05,1.4,2.5,4.1,3.4
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,5,1,5,5,5,0.7057558139534884,3.5,4.25,4.7,3.8,0.15871708268116538,0.8,2.3,4.9,0.5,5,5,1.4,1.7301038062283736e-06,0.1,0.8,3.6,3
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,0,0.01965178221699961,0,0,1.3,0.4495597945707997,2.2,1.75,0.9,1.3,0.08159934720522236,0.4,0.8500000000000001,3.3,1,5,4.2,x,x,x,x,4.2,2.9
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.2,0.5922165820642978,2.9,2.55,1.8,0.027142857142857142,0.9,1.4,0.9,5.7142857142857145e-06,0.3,0.6,1,1.8
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,1.4,0.31492666091458155,1.5,1.45,0,0.571912013536379,2.8,1.4,1.4,0,0.019230769230769232,0,0,1.6,1,5,3.3,0.9,0.0003076923076923077,5,3,3.2,1.9
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.2,0.5812182741116751,2.9,2.55,1.1,0.008733624454148471,0.3,0.7,0,0,0,0,0.4,1.6
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,2.8,1,5,3.9,3.5,1.2529569292568623,5,4.25,4.1,0.9,0.010241339389081842,0,0.45,3,1.0782608695652174,5,4,x,x,x,x,4,2.6
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.5,0.005753916163472477,0,0.75,3.5,1,5,4.3,2.1,0.00011787072243346008,5,3.6,4,2.7
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.004878795834427234,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,x,x,x,x,0,0,0,0,0,1.4
