,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
KEN002,280,38,38,38,280,38,38,38,38,38,280,154,154,154,154,154,154,154,154,154,98,,
KEN003,38,38,38,280,207,16,16,16,16,16,280,154,154,154,154,154,154,154,154,154,103.9,,
LBN002,7,7,39,7,352,7,7,7,7,7,1029,151,151,151,151,151,151,151,151,151,161.3,,
LBN004,7,7,7,352,7,7,7,7,7,7,1066,151,151,151,151,151,151,151,151,151,161.8,,
LBY001,60,3,3,3,3,3,3,3,3,3,243,156,156,156,156,156,156,156,156,156,42.3,,
LBY002,60,3,3,3,3,3,3,3,3,3,243,156,156,156,156,156,156,156,156,156,42.3,,
LKA002,284,127,127,284,3,284,127,92,92,92,284,151,151,151,151,151,151,151,151,151,153.6,,
MAR002,243,3,243,243,3,3,243,243,243,243,243,158,158,158,158,158,158,158,158,158,186.5,,
MDA002,16,16,16,16,16,16,16,16,16,16,243,154,154,154,154,154,154,154,154,154,52.5,,
MDG001,51,3,3,3,51,3,3,3,3,3,51,151,151,151,151,151,151,151,151,151,27.4,,
MDG002,51,3,3,3,51,3,3,3,3,3,51,151,151,151,151,151,151,151,151,151,27.4,,
MDG007,51,3,3,3,51,3,3,3,51,51,51,51,51,51,51,51,51,51,51,51,27,,
MEX001,3,3,3,3,3,3,3,3,3,3,3,153,153,153,153,153,153,153,153,153,18,,
MEX002,3,3,3,3,3,3,3,3,3,3,3,153,153,153,153,153,153,153,153,153,18,,
MEX003,3,3,3,3,3,3,3,3,3,3,3,153,153,153,153,153,153,153,153,153,18,,
MLI001,212,63,63,10,9,63,63,63,63,63,9,153,153,153,153,153,153,153,153,153,55.9,,
MMR001,60,60,60,31,31,60,60,60,60,60,788,151,151,151,151,151,151,151,151,151,136.1,,
MMR002,60,60,60,31,31,60,60,60,60,432,788,151,151,151,151,151,151,151,151,151,173.3,,
MMR003,60,60,60,31,31,60,60,60,60,60,788,151,151,151,151,151,151,151,151,151,136.1,,
MMR004,60,60,60,31,31,60,60,60,60,60,646,151,151,151,151,151,151,151,151,151,121.9,,
MOZ001,36,36,36,36,8,36,36,36,36,36,36,35,35,35,35,35,35,35,35,35,33.1,,
