Crisis,Crisis ID,Country,Indicator,Figure,Source and Date,Reliability,Reliability Score,Link,Justification,Helper,Date of entry,Type of entry
Syrian conflict,SYR001,Syria,People facing restricted access constraints,1160000,OCHA,Medium,2,https://reliefweb.int/sites/reliefweb.int/files/resources/acc-11_syr_overview_of_hard_to_reach_areas_20181029.pdf,"This number represents the number of people that are hard to reach as defined by OCHA. This definition is ""An area that is not regularly accessible to humanitarian actors for the purposes of sustained humanitarian programming as a result of denial of access,including the need to negotiate access on an ad hoc basis,or due to restrictions such as active conflict,multiple security checkpoints,or failure of the a uthorities to provide timely approval"" . It is a groslly conservative estimate at best",SYR001People facing restricted access constraints,2019-01-30,Humanitarian development
International Displacement in Tanzania,TZA002,Tanzania,Buildings damaged,x,,x,x,,,TZA002Buildings damaged,2019-01-30,Humanitarian development
International Displacement in Tanzania,TZA002,Tanzania,Economic Losses,x,,x,x,,,TZA002Economic Losses,2019-01-30,Humanitarian development
International Displacement in Tanzania,TZA002,Tanzania,Illness cases reported,x,,x,x,,,TZA002Illness cases reported,2019-01-30,Humanitarian development
International Displacement in Tanzania,TZA002,Tanzania,People facing limited access constraints,x,,x,x,,,TZA002People facing limited access constraints,2019-01-30,Humanitarian development
International Displacement in Tanzania,TZA002,Tanzania,People facing restricted access constraints,x,,x,x,,,TZA002People facing restricted access constraints,2019-01-30,Humanitarian development
Complex crisis in Somalia,SOM001,Somalia,Buildings damaged,x,,x,x,,,SOM001Buildings damaged,2019-01-31,Humanitarian development
Complex crisis in Somalia,SOM001,Somalia,Buildings destroyed,x,,x,x,,,SOM001Buildings destroyed,2019-01-31,Humanitarian development
Complex crisis in Somalia,SOM001,Somalia,Crisis affected groups,5,,High,1,,,SOM001Crisis affected groups,2019-01-31,Humanitarian development
Complex crisis in Somalia,SOM001,Somalia,People facing limited access constraints,x,,x,x,,,SOM001People facing limited access constraints,2019-01-31,Humanitarian development
Complex crisis in Somalia,SOM001,Somalia,People facing restricted access constraints,x,,x,x,,,SOM001People facing restricted access constraints,2019-01-31,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,Buildings damaged,x,,x,x,,,GRC002Buildings damaged,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,Buildings destroyed,x,,x,x,,,GRC002Buildings destroyed,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,Crisis affected groups,2,,Medium,2,,"AS + Refs, Host population",GRC002Crisis affected groups,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,Economic Losses,x,,x,x,,,GRC002Economic Losses,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,Illness cases reported,x,,x,x,,,GRC002Illness cases reported,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,People facing limited access constraints,x,,x,x,,,GRC002People facing limited access constraints,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,People facing restricted access constraints,x,,x,x,,,GRC002People facing restricted access constraints,2019-02-05,Humanitarian development
Complex crisis in Zimbabwe,ZWE001,Zimbabwe,Economic Losses,x,,x,x,,,ZWE001Economic Losses,2019-02-06,Humanitarian development
Complex crisis in Zimbabwe,ZWE001,Zimbabwe,People facing limited access constraints,x,,x,x,,,ZWE001People facing limited access constraints,2019-02-06,Humanitarian development
Complex crisis in Zimbabwe,ZWE001,Zimbabwe,People facing restricted access constraints,x,,x,x,,,ZWE001People facing restricted access constraints,2019-02-06,Humanitarian development
Rohingya refugee crisis,BGD002,Bangladesh,People facing limited access constraints,0,,Medium,2,,There is no indication that there are direct access constraints.,BGD002People facing limited access constraints,2019-02-07,Humanitarian development
Rohingya refugee crisis,BGD002,Bangladesh,People facing restricted access constraints,0,Acaps Access Map,Medium,2,,There is no indication that there are direct access constraints.,BGD002People facing restricted access constraints,2019-02-07,Humanitarian development
