,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
MDG002,61,61,61,173,152,61,61,61,61,61,636,125,125,125,125,125,125,125,125,125,145.2
MEX001,488,475,488,274,62,475,488,475,488,488,488,488,488,488,488,488,488,488,488,488,421.4
MEX002,488,475,475,488,62,475,488,475,488,488,488,488,488,488,488,488,488,488,488,488,441.5
MEX003,488,475,475,475,62,475,475,475,488,488,488,488,488,488,488,488,488,488,488,488,438.9
MLI001,177,19,19,19,5,19,19,19,19,19,797,121,121,121,121,121,121,121,121,121,105.6
MMR001,58,58,58,16,8,58,58,58,58,58,58,121,121,121,121,121,121,121,121,121,55.1
MMR002,58,58,58,16,8,58,58,58,58,58,58,121,121,121,121,121,121,121,121,121,55.1
MMR003,58,58,58,28,8,58,58,58,58,58,58,121,121,121,121,121,121,121,121,121,56.3
MOZ001,33,33,33,33,33,33,33,33,33,62,610,122,122,122,122,122,122,122,122,122,102.5
MOZ004,33,33,33,33,33,33,33,33,33,33,122,519,223,519,519,519,519,224,519,519,90.5
MOZ006,33,33,62,246,418,62,62,62,62,62,418,418,418,418,418,418,418,418,418,418,187.2
MOZ007,49,49,33,33,49,33,33,33,33,33,49,49,49,49,49,49,49,49,49,49,37.8
MRT002,776,48,48,48,642,48,48,48,48,48,776,124,124,124,124,124,124,124,124,124,187.8
MRT003,184,48,48,217,217,48,48,48,48,48,217,124,124,124,124,124,124,124,124,124,106.3
MWI002,737,61,61,580,61,61,61,61,61,61,579,125,125,125,125,125,125,125,125,125,171.1
MYS001,5,2,2,2,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,3.2
NAM002,418,152,152,418,152,152,152,152,152,152,418,125,125,125,125,125,125,125,125,125,202.5
NER001,778,61,61,5,5,61,61,61,61,61,778,121,121,121,121,121,121,121,121,121,127.5
NER002,778,61,61,5,5,61,61,61,61,61,778,121,121,121,121,121,121,121,121,121,127.5
NER003,778,61,61,5,5,61,61,61,61,61,778,121,121,121,121,121,121,121,121,121,127.5
NER004,61,61,61,5,5,61,61,61,61,61,471,121,121,121,121,121,121,121,121,121,96.8
NGA001,637,34,34,5,5,34,34,34,34,34,637,125,125,125,125,125,125,125,125,125,97.6
NGA003,121,61,5,5,5,5,5,5,5,5,638,125,125,125,125,125,125,125,125,125,80.3
NGA004,639,5,5,5,5,5,5,5,5,5,639,125,125,125,125,125,125,125,125,125,80.4
NGA007,337,61,5,5,5,5,5,5,5,5,471,125,125,125,125,125,125,125,125,125,63.6
NGA008,446,121,121,121,121,121,121,121,121,121,427,125,125,125,125,125,125,125,125,125,152
NIC001,419,176,797,176,62,517,517,517,797,797,797,517,517,517,517,517,517,517,517,517,549.4
NIC002,121,121,62,121,121,62,62,121,121,121,121,121,121,121,121,121,121,121,121,121,103.3
PAK001,176,176,176,544,8,176,176,176,176,176,783,121,121,121,121,121,121,121,121,121,251.2
PAK004,681,681,763,427,8,490,763,763,763,763,763,121,121,121,121,121,121,121,121,121,562.4
PER002,419,419,62,62,176,419,419,419,419,419,775,516,121,516,516,516,121,516,516,516,368.6
PHL001,5,5,5,28,8,5,5,5,5,5,471,121,121,121,121,121,121,121,121,121,65.8
PHL003,488,488,28,28,8,28,28,28,28,28,488,121,121,121,121,121,121,121,121,121,81.3
PHL004,471,471,180,180,299,180,180,180,180,180,471,121,121,121,121,121,121,121,121,121,215.1
PHL009,36,36,36,36,36,36,36,36,36,36,36,121,121,121,121,121,121,121,121,121,44.5
PRK001,8,8,8,8,8,366,366,366,366,366,793,124,124,124,124,124,124,124,124,124,277.1
PSE002,32,32,32,32,3,32,32,32,32,32,783,124,124,124,124,124,124,124,124,124,113.4
REG001,307,5,5,5,5,5,5,5,5,5,700,125,125,125,125,125,125,125,125,125,86.5
REG002,419,62,62,62,488,62,62,62,62,62,701,516,516,516,516,516,516,516,516,516,213.9
REG003,499,499,176,499,8,499,706,706,706,706,706,121,121,121,121,121,121,121,121,121,483.3
REG004,31,2,1,1,121,1,1,1,1,1,680,124,124,124,124,124,124,124,124,124,93.2
REG006,683,683,683,683,104,683,683,683,683,683,683,121,121,121,121,121,121,121,121,121,568.9
REG007,705,705,705,705,0,705,705,705,705,705,705,121,121,121,121,121,121,121,121,121,576.1
REG008,705,705,705,705,0,705,705,705,705,705,705,121,121,121,121,121,121,121,121,121,576.1
REG011,16,16,16,16,8,16,16,16,16,16,16,121,121,121,121,121,121,121,121,121,25.7
REG012,5,5,5,5,5,5,5,5,5,5,412,125,125,125,125,125,125,125,125,125,57.7
REG013,126,63,63,63,147,147,147,147,147,147,147,126,126,126,126,126,126,126,126,126,128.1
RWA002,775,61,61,61,152,61,61,61,61,61,775,125,125,125,125,125,125,125,125,125,147.9
SDN001,418,34,34,34,34,34,34,34,34,34,418,122,122,122,122,122,122,122,122,122,81.2
SDN005,418,34,34,34,418,34,34,34,34,34,122,418,418,418,418,418,418,418,418,418,119.6
SDN006,176,166,62,176,146,166,166,166,166,166,222,222,222,222,222,222,222,222,222,222,165.8
SDN007,99,34,34,34,99,34,34,34,34,34,99,99,99,99,99,99,99,99,99,99,53.5
SEN002,177,61,61,475,797,61,61,61,61,61,797,121,121,121,121,121,121,121,121,121,255.6
SLV001,175,176,176,176,62,62,62,62,62,176,777,517,517,517,517,517,517,517,517,517,213.2
SOM001,527,7,7,7,7,7,7,7,7,7,790,122,122,122,122,122,122,122,122,122,96.8
SOM002,250,250,250,250,222,702,702,250,250,250,702,517,517,517,517,517,517,517,517,517,409.5
SOM004,250,250,250,250,250,250,250,250,335,335,335,335,335,335,335,335,335,335,335,335,284
SSD001,642,610,610,37,122,37,37,37,37,37,642,122,122,122,122,122,122,122,122,122,171.8
SWZ001,176,34,34,412,152,34,34,34,34,34,418,125,125,125,125,125,125,125,125,125,131.1
SYR001,32,32,32,32,3,32,32,32,32,32,791,124,124,124,124,124,124,124,124,124,114.2
TCD001,99,5,99,5,5,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,80.2
TCD003,775,5,5,5,5,167,167,167,167,167,775,125,125,125,125,125,125,125,125,125,175
TCD004,372,372,372,5,775,372,372,372,372,372,775,125,125,125,125,125,125,125,125,125,391.2
TCD005,372,372,372,5,5,372,372,372,372,372,775,125,125,125,125,125,125,125,125,125,314.2
TCD006,775,372,372,775,5,245,245,245,245,245,517,125,125,125,125,125,125,125,125,125,301.9
THA001,610,62,62,62,36,62,62,62,62,62,777,121,121,121,121,121,121,121,121,121,136.8
THA002,610,610,610,610,36,366,366,366,366,366,777,121,121,121,121,121,121,121,121,121,398.4
THA003,495,62,62,62,62,62,62,62,62,62,777,121,121,121,121,121,121,121,121,121,139.4
TTO002,762,488,733,733,122,176,419,419,419,419,488,122,122,122,122,122,122,122,122,122,405
TUN002,183,294,294,294,127,775,775,775,775,775,775,124,124,124,124,124,124,124,124,124,548.9
TUR001,775,775,2,2,2,2,2,2,2,2,775,125,125,125,125,125,125,125,125,125,91.6
TUR002,775,735,2,2,775,2,2,2,2,2,775,125,125,125,125,125,125,125,125,125,168.9
TUR003,775,775,2,2,2,2,2,2,2,2,775,125,125,125,125,125,125,125,125,125,91.6
TUR004,775,775,775,775,2,775,775,775,775,775,775,125,125,125,125,125,125,125,125,125,632.7
TZA002,616,61,61,61,616,61,61,61,61,61,791,125,125,125,125,125,125,125,125,125,195.9
UGA001,299,166,122,122,146,222,222,222,222,222,247,122,122,122,122,122,122,122,122,122,186.9
UGA005,488,299,122,122,299,222,222,222,222,222,247,488,488,488,488,488,488,488,488,488,238.8
UKR002,775,366,366,16,0,16,16,16,16,16,366,121,121,121,121,121,121,121,121,121,94.9
VEN001,175,62,62,62,419,62,62,62,146,146,642,516,516,516,516,516,516,516,516,516,217.9
VNM002,146,146,146,146,121,5,5,5,5,5,146,121,121,121,121,121,121,121,121,121,70.5
VUT002,336,336,336,272,350,336,336,336,336,336,350,350,350,350,350,350,350,350,350,350,333.8
YEM001,163,163,163,163,163,707,163,163,163,163,793,714,714,714,714,714,714,714,714,714,335.5
YEM002,163,163,163,163,163,707,707,267,267,707,763,714,714,714,714,714,714,714,714,714,462.1
ZMB002,104,104,104,579,152,104,104,104,104,104,777,125,125,125,125,125,125,125,125,125,225.7
ZWE001,176,61,61,427,5,61,61,61,61,61,125,125,125,125,125,125,125,125,125,125,104.8
0,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286
0,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286,44286
